Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2004/05

;;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);
Ale;Samtliga;197;47,9;80,2;93,9;213,9;214;52,1;76,2;91,1;203,3;
Ale;Kommunal;197;47,9;80,2;93,9;213,9;214;52,1;76,2;91,1;203,3;
Alingsås;Samtliga;279;50,9;82,2;94,2;224,6;269;49,1;84,3;93,7;208,6;
Alingsås;Kommunal;228;48,5;81,1;93,4;221,4;242;51,5;83,5;93,0;207,9;
Alingsås;Enskild;51;65,4;87,5;~100;239,7;27;34,6;92,3;100,0;215,2;
Alvesta;Samtliga;134;48,6;76,9;85,8;206,1;142;51,4;71,1;85,9;180,0;
Alvesta;Kommunal;134;48,6;76,9;85,8;206,1;142;51,4;71,1;85,9;180,0;
Aneby;Samtliga;61;50,8;88,5;~100;215,0;59;49,2;83,1;89,8;194,9;
Aneby;Kommunal;61;50,8;88,5;~100;215,0;59;49,2;83,1;89,8;194,9;
Arboga;Samtliga;94;48,5;75,5;92,6;225,2;100;51,5;59,0;87,0;181,9;
Arboga;Kommunal;94;48,5;75,5;92,6;225,2;100;51,5;59,0;87,0;181,9;
Arjeplog;Samtliga;20;57,1;90,0;100,0;242,8;15;42,9;..;100,0;203,0;
Arjeplog;Kommunal;20;57,1;90,0;100,0;242,8;15;42,9;..;100,0;203,0;
Arvidsjaur;Samtliga;53;53,5;86,8;100,0;218,2;46;46,5;93,5;~100;200,2;
Arvidsjaur;Kommunal;53;53,5;86,8;100,0;218,2;46;46,5;93,5;~100;200,2;
Arvika;Samtliga;179;48,2;81,6;94,4;227,9;192;51,8;69,3;87,5;201,8;
Arvika;Kommunal;171;47,2;81,3;94,7;226,6;191;52,8;69,1;87,4;201,7;
Arvika;Enskild;..;..;..;..;..;..;..;..;..;..;
Askersund;Samtliga;67;46,2;74,6;~100;221,8;78;53,8;59,0;91,0;195,1;
Askersund;Kommunal;67;46,2;74,6;~100;221,8;78;53,8;59,0;91,0;195,1;
Avesta;Samtliga;136;44,4;76,5;91,2;202,5;170;55,6;70,6;87,6;183,7;
Avesta;Kommunal;136;44,4;76,5;91,2;202,5;170;55,6;70,6;87,6;183,7;
Bengtsfors;Samtliga;76;55,9;73,7;92,1;209,1;60;44,1;68,3;85,0;166,3;
Bengtsfors;Kommunal;76;55,9;73,7;92,1;209,1;60;44,1;68,3;85,0;166,3;
Berg;Samtliga;69;54,8;82,6;88,4;214,1;57;45,2;77,2;87,7;192,2;
Berg;Kommunal;69;54,8;82,6;88,4;214,1;57;45,2;77,2;87,7;192,2;
Bjurholm;Samtliga;15;38,5;73,3;100,0;210,7;24;61,5;95,8;100,0;206,0;
Bjurholm;Kommunal;15;38,5;73,3;100,0;210,7;24;61,5;95,8;100,0;206,0;
Bjuv;Samtliga;89;48,6;67,4;93,3;207,5;94;51,4;53,2;84,0;171,6;
Bjuv;Kommunal;77;49,0;64,9;92,2;205,9;80;51,0;51,3;85,0;169,1;
Bjuv;Enskild;12;46,2;83,3;100,0;217,9;14;53,8;..;~100;185,4;
Boden;Samtliga;215;50,8;82,3;91,6;223,4;208;49,2;77,9;89,9;201,5;
Boden;Kommunal;215;50,8;82,3;91,6;223,4;208;49,2;77,9;89,9;201,5;
Bollebygd;Samtliga;40;42,6;87,5;~100;247,6;54;57,4;85,2;88,9;199,3;
Bollebygd;Kommunal;40;42,6;87,5;~100;247,6;54;57,4;85,2;88,9;199,3;
Bollnäs;Samtliga;175;49,9;80,6;92,0;199,5;176;50,1;79,0;91,5;193,2;
Bollnäs;Kommunal;175;49,9;80,6;92,0;199,5;176;50,1;79,0;91,5;193,2;
Borgholm;Samtliga;69;43,4;69,6;~100;195,7;90;56,6;53,3;88,9;191,1;
Borgholm;Kommunal;69;43,4;69,6;~100;195,7;90;56,6;53,3;88,9;191,1;
Borlänge;Samtliga;322;49,2;72,0;88,5;201,4;332;50,8;75,0;89,8;202,9;
Borlänge;Kommunal;318;49,1;72,6;89,0;202,1;330;50,9;75,2;89,7;203,3;
Borlänge;Enskild;..;..;..;..;..;..;..;..;..;..;
Borås;Samtliga;685;50,9;76,2;86,3;208,1;662;49,1;68,1;84,4;188,9;
Borås;Kommunal;658;50,8;75,7;85,9;207,7;637;49,2;67,7;84,0;188,4;
Borås;Enskild;27;51,9;88,9;~100;217,4;25;48,1;80,0;~100;202,2;
Botkyrka;Samtliga;484;47,6;71,7;86,0;212,8;533;52,4;64,0;80,7;189,9;
Botkyrka;Kommunal;407;46,3;69,8;85,0;208,1;473;53,8;62,8;79,1;185,3;
Botkyrka;Enskild;77;56,2;81,8;90,9;237,6;60;43,8;73,3;~100;225,8;
Boxholm;Samtliga;35;47,9;77,1;~100;209,6;38;52,1;63,2;~100;204,9;
Boxholm;Kommunal;35;47,9;77,1;~100;209,6;38;52,1;63,2;~100;204,9;
Bromölla;Samtliga;101;58,4;86,1;93,1;226,5;72;41,6;70,8;87,5;192,8;
Bromölla;Kommunal;101;58,4;86,1;93,1;226,5;72;41,6;70,8;87,5;192,8;
Bräcke;Samtliga;41;39,8;80,5;85,4;206,8;62;60,2;74,2;85,5;195,5;
Bräcke;Kommunal;41;39,8;80,5;85,4;206,8;62;60,2;74,2;85,5;195,5;
Burlöv;Samtliga;117;52,0;83,8;92,3;222,6;108;48,0;75,9;91,7;202,6;
Burlöv;Kommunal;117;52,0;83,8;92,3;222,6;108;48,0;75,9;91,7;202,6;
Båstad;Samtliga;71;39,7;85,9;~100;220,2;108;60,3;85,2;~100;202,9;
Båstad;Kommunal;71;39,7;85,9;~100;220,2;108;60,3;85,2;~100;202,9;
Dals-Ed;Samtliga;36;49,3;83,3;~100;222,6;37;50,7;75,7;~100;204,7;
