Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2012/13

;;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (16);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (16);
Ale;Samtliga;154;45,6;72,1;87,0;220,7;184;54,4;58,2;81,5;181,8;
Ale;Kommunal;129;44,0;69,0;84,5;218,7;164;56,0;54,3;79,9;178,8;
Ale;Enskild;25;55,6;88,0;100,0;231,0;20;44,4;90,0;~100;206,3;
Alingsås;Samtliga;210;47,0;84,8;95,7;240,5;237;53,0;81,4;89,9;207,9;
Alingsås;Kommunal;152;43,6;83,6;94,7;238,6;197;56,4;79,7;88,8;203,0;
Alingsås;Enskild;58;59,2;87,9;~100;245,4;40;40,8;90,0;~100;231,6;
Alvesta;Samtliga;98;51,6;77,6;84,7;215,0;92;48,4;71,7;82,6;193,2;
Alvesta;Kommunal;98;51,6;77,6;84,7;215,0;92;48,4;71,7;82,6;193,2;
Aneby;Samtliga;29;43,3;86,2;~100;222,8;38;56,7;94,7;~100;218,9;
Aneby;Kommunal;29;43,3;86,2;~100;222,8;38;56,7;94,7;~100;218,9;
Arboga;Samtliga;67;46,5;77,6;86,6;220,6;77;53,5;76,6;93,5;208,4;
Arboga;Kommunal;67;46,5;77,6;86,6;220,6;77;53,5;76,6;93,5;208,4;
Arjeplog;Samtliga;..;..;..;..;..;..;..;..;..;..;
Arjeplog;Kommunal;..;..;..;..;..;..;..;..;..;..;
Arvidsjaur;Samtliga;26;46,4;92,3;100,0;219,5;30;53,6;76,7;80,0;209,1;
Arvidsjaur;Kommunal;26;46,4;92,3;100,0;219,5;30;53,6;76,7;80,0;209,1;
Arvika;Samtliga;134;50,8;75,4;89,6;214,2;130;49,2;73,1;90,8;195,9;
Arvika;Kommunal;109;48,4;72,5;89,0;212,3;116;51,6;69,8;89,7;191,6;
Arvika;Enskild;25;64,1;88,0;~100;222,7;14;35,9;100,0;100,0;231,6;
Askersund;Samtliga;46;44,2;71,7;80,4;220,6;58;55,8;60,3;79,3;182,5;
Askersund;Kommunal;46;44,2;71,7;80,4;220,6;58;55,8;60,3;79,3;182,5;
Avesta;Samtliga;90;48,6;72,2;83,3;221,8;95;51,4;80,0;86,3;203,6;
Avesta;Kommunal;90;48,6;72,2;83,3;221,8;95;51,4;80,0;86,3;203,6;
Bengtsfors;Samtliga;49;53,3;75,5;87,8;217,9;43;46,7;69,8;86,0;201,1;
Bengtsfors;Kommunal;49;53,3;75,5;87,8;217,9;43;46,7;69,8;86,0;201,1;
Berg;Samtliga;36;50,7;80,6;80,6;203,8;35;49,3;74,3;77,1;197,6;
Berg;Kommunal;36;50,7;80,6;80,6;203,8;35;49,3;74,3;77,1;197,6;
Bjurholm;Samtliga;12;48,0;83,3;~100;216,5;13;52,0;..;~100;207,5;
Bjurholm;Kommunal;12;48,0;83,3;~100;216,5;13;52,0;..;~100;207,5;
Bjuv;Samtliga;81;48,5;72,8;92,6;205,2;86;51,5;67,4;93,0;192,6;
Bjuv;Kommunal;69;49,3;71,0;92,8;203,9;71;50,7;62,0;93,0;189,9;
Bjuv;Enskild;12;44,4;83,3;~100;212,7;15;55,6;93,3;~100;205,0;
Boden;Samtliga;131;44,6;88,5;91,6;236,1;163;55,4;87,7;93,3;214,2;
Boden;Kommunal;107;48,6;88,8;91,6;235,9;113;51,4;87,6;91,2;214,2;
Boden;Enskild;24;32,4;87,5;~100;237,0;50;67,6;88,0;~100;214,2;
Bollebygd;Samtliga;41;46,1;90,2;~100;221,2;48;53,9;75,0;~100;208,2;
Bollebygd;Kommunal;41;46,1;90,2;~100;221,2;48;53,9;75,0;~100;208,2;
Bollnäs;Samtliga;84;48,0;67,9;75,0;207,6;91;52,0;57,1;69,2;179,3;
Bollnäs;Kommunal;83;48,3;67,5;74,7;206,6;89;51,7;56,2;68,5;177,8;
Bollnäs;Enskild;..;..;..;..;..;..;..;..;..;..;
Borgholm;Samtliga;52;52,0;90,4;~100;235,6;48;48,0;62,5;89,6;186,5;
Borgholm;Kommunal;52;52,0;90,4;~100;235,6;48;48,0;62,5;89,6;186,5;
Borlänge;Samtliga;205;52,8;70,7;80,0;211,5;183;47,2;65,6;82,0;192,1;
Borlänge;Kommunal;196;52,0;71,4;81,1;212,8;181;48,0;65,7;82,3;192,9;
Borlänge;Enskild;..;..;..;..;..;..;..;..;..;..;
Borås;Samtliga;509;47,5;80,9;90,4;228,9;563;52,5;73,9;86,5;201,5;
Borås;Kommunal;395;45,2;79,2;88,9;222,5;479;54,8;70,4;84,8;196,3;
Borås;Enskild;114;57,6;86,8;95,6;250,9;84;42,4;94,0;~100;231,3;
Botkyrka;Samtliga;450;49,9;69,1;84,0;209,9;452;50,1;70,1;81,9;196,2;
Botkyrka;Kommunal;383;50,5;66,1;83,0;204,9;376;49,5;66,5;79,3;189,1;
Botkyrka;Enskild;67;46,9;86,6;89,6;237,8;76;53,1;88,2;~100;230,9;
Boxholm;Samtliga;39;54,9;69,2;~100;205,6;32;45,1;68,8;~100;180,9;
Boxholm;Kommunal;39;54,9;69,2;~100;205,6;32;45,1;68,8;~100;180,9;
Bromölla;Samtliga;62;44,9;85,5;91,9;223,3;76;55,1;75,0;90,8;193,5;
Bromölla;Kommunal;62;44,9;85,5;91,9;223,3;76;55,1;75,0;90,8;193,5;
Burlöv;Samtliga;75;47,5;68,0;80,0;204,0;83;52,5;78,3;89,2;210,1;
Burlöv;Kommunal;75;47,5;68,0;80,0;204,0;83;52,5;78,3;89,2;210,1;
Båstad;Samtliga;60;52,2;83,3;90,0;228,4;55;47,8;87,3;~100;203,0;
Båstad;Kommunal;60;52,2;83,3;90,0;228,4;55;47,8;87,3;~100;203,0;
Dals-Ed;Samtliga;21;42,0;71,4;~100;223,2;29;58,0;75,9;~100;227,6;
Dals-Ed;Kommunal;21;42,0;71,4;~100;223,2;29;58,0;75,9;~100;227,6;
Danderyd;Samtliga;234;50,5;95,3;~100;255,6;229;49,5;89,5;~100;238,2;
Danderyd;Kommunal;145;51,2;93,8;~100;254,7;138;48,8;88,4;~100;236,9;
Danderyd;Enskild;89;49,4;97,8;100,0;257,1;91;50,6;91,2;100,0;240,2;
Degerfors;Samtliga;42;43,3;66,7;83,3;206,7;55;56,7;69,1;80,0;185,2;
Degerfors;Kommunal;42;43,3;66,7;83,3;206,7;55;56,7;69,1;80,0;185,2;
Dorotea;Samtliga;..;..;..;..;..;..;..;76,9;~100;200,0;
Dorotea;Kommunal;..;..;..;..;..;..;..;76,9;~100;200,0;
Eda;Samtliga;35;47,3;71,4;82,9;221,7;39;52,7;79,5;~100;195,8;
Eda;Kommunal;35;47,3;71,4;82,9;221,7;39;52,7;79,5;~100;195,8;
Ekerö;Samtliga;119;46,9;89,9;93,3;246,1;135;53,1;83,7;91,9;211,4;
Ekerö;Kommunal;103;47,9;88,3;92,2;245,3;112;52,1;83,9;92,0;208,0;
Ekerö;Enskild;16;41,0;100,0;100,0;251,1;23;59,0;82,6;~100;228,0;
Eksjö;Samtliga;62;39,7;74,2;88,7;204,4;94;60,3;66,0;83,0;193,8;
Eksjö;Kommunal;61;41,5;75,4;88,5;205,5;86;58,5;70,9;89,5;204,5;
Eksjö;Enskild;..;..;.;..;..;..;..;..;..;..;
Emmaboda;Samtliga;31;39,7;67,7;100,0;229,4;47;60,3;70,2;78,7;184,9;
Emmaboda;Kommunal;31;39,7;67,7;100,0;229,4;47;60,3;70,2;78,7;184,9;
Enköping;Samtliga;226;46,1;79,6;88,5;211,2;264;53,9;79,2;90,5;202,1;
Enköping;Kommunal;174;43,9;76,4;87,4;206,0;222;56,1;79,3;90,1;201,2;
Enköping;Enskild;52;55,3;90,4;~100;229,0;42;44,7;78,6;~100;207,1;
Eskilstuna;Samtliga;508;47,1;76,2;86,4;224,7;571;52,9;71,8;85,6;202,8;
Eskilstuna;Kommunal;406;46,6;71,4;83,0;211,2;465;53,4;67,3;82,8;189,6;
Eskilstuna;Enskild;102;49,0;95,1;100,0;277,1;106;51,0;91,5;~100;259,0;
Eslöv;Samtliga;152;47,4;79,6;90,1;223,7;169;52,6;72,8;86,4;200,2;
Eslöv;Kommunal;152;47,4;79,6;90,1;223,7;169;52,6;72,8;86,4;200,2;
Essunga;Samtliga;34;60,7;82,4;~100;213,8;22;39,3;54,5;~100;176,3;
Essunga;Kommunal;34;60,7;82,4;~100;213,8;22;39,3;54,5;~100;176,3;
Fagersta;Samtliga;69;52,3;78,3;88,4;204,9;63;47,7;55,6;76,2;175,9;
Fagersta;Kommunal;63;52,5;76,2;87,3;205,9;57;47,5;54,4;77,2;173,4;
Fagersta;Enskild;..;..;..;..;..;..;..;..;..;..;
Falkenberg;Samtliga;142;40,9;88,0;93,0;233,7;205;59,1;81,0;88,8;209,6;
Falkenberg;Kommunal;113;41,2;87,6;93,8;230,2;161;58,8;76,4;86,3;201,1;
Falkenberg;Enskild;29;39,7;89,7;~100;247,2;44;60,3;97,7;~100;240,7;
