Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2016/17

;;Samtliga elever;Samtliga elever;Samtliga elever;Samtliga elever;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);
Ale;Samtliga;301;70,4;80,7;209,6;127;42,2;81,1;89,0;242,6;174;57,8;62,6;74,7;185,8;
Ale;Kommunal;278;68,7;79,1;207,8;112;40,3;79,5;87,5;242,6;166;59,7;61,4;73,5;184,5;
Ale;Enskild;23;91,3;100,0;231,7;..;..;93,3;100,0;243,0;..;..;..;..;..;
Alingsås;Samtliga;467;78,4;86,5;228,6;211;45,2;82,9;90,0;244,5;256;54,8;74,6;83,6;215,3;
Alingsås;Kommunal;359;75,2;82,7;221,7;155;43,2;80,0;86,5;236,2;204;56,8;71,6;79,9;210,6;
Alingsås;Enskild;108;88,9;~100;251,2;56;51,9;91,1;100,0;267,6;52;48,1;86,5;~100;233,5;
Alvesta;Samtliga;243;56,8;70,4;199,3;109;44,9;69,7;79,8;222,6;134;55,1;46,3;62,7;180,0;
Alvesta;Kommunal;243;56,8;70,4;199,3;109;44,9;69,7;79,8;222,6;134;55,1;46,3;62,7;180,0;
Aneby;Samtliga;75;68,0;73,3;197,3;30;40,0;76,7;76,7;211,3;45;60,0;62,2;71,1;188,0;
Aneby;Kommunal;75;68,0;73,3;197,3;30;40,0;76,7;76,7;211,3;45;60,0;62,2;71,1;188,0;
Arboga;Samtliga;151;74,8;86,1;225,9;73;48,3;71,2;84,9;234,6;78;51,7;78,2;87,2;217,9;
Arboga;Kommunal;151;74,8;86,1;225,9;73;48,3;71,2;84,9;234,6;78;51,7;78,2;87,2;217,9;
Arjeplog;Samtliga;21;76,2;76,2;216,2;..;..;..;..;..;..;..;68,8;68,8;197,2;
Arjeplog;Kommunal;21;76,2;76,2;216,2;..;..;..;..;..;..;..;68,8;68,8;197,2;
Arvidsjaur;Samtliga;61;55,7;73,8;197,3;30;49,2;50,0;76,7;198,4;31;50,8;61,3;71,0;196,4;
Arvidsjaur;Kommunal;61;55,7;73,8;197,3;30;49,2;50,0;76,7;198,4;31;50,8;61,3;71,0;196,4;
Arvika;Samtliga;278;72,3;82,0;210,8;125;45,0;80,0;88,8;237,9;153;55,0;66,0;76,5;188,3;
Arvika;Kommunal;246;68,7;79,7;205,3;100;40,7;75,0;86,0;233,0;146;59,3;64,4;75,3;186,1;
Arvika;Enskild;32;100,0;100,0;252,0;..;..;100,0;100,0;257,1;..;..;..;..;..;
Askersund;Samtliga;107;78,5;86,9;220,0;53;49,5;88,7;~100;249,2;54;50,5;68,5;79,6;191,8;
Askersund;Kommunal;107;78,5;86,9;220,0;53;49,5;88,7;~100;249,2;54;50,5;68,5;79,6;191,8;
Avesta;Samtliga;249;53,0;69,5;193,0;111;44,6;58,6;73,9;211,5;138;55,4;48,6;65,9;178,4;
Avesta;Kommunal;249;53,0;69,5;193,0;111;44,6;58,6;73,9;211,5;138;55,4;48,6;65,9;178,4;
Bengtsfors;Samtliga;81;55,6;67,9;201,5;41;50,6;61,0;73,2;224,2;40;49,4;50,0;62,5;179,4;
Bengtsfors;Kommunal;81;55,6;67,9;201,5;41;50,6;61,0;73,2;224,2;40;49,4;50,0;62,5;179,4;
Berg;Samtliga;83;54,2;61,4;191,7;34;41,0;58,8;67,6;217,5;49;59,0;51,0;57,1;173,5;
Berg;Kommunal;83;54,2;61,4;191,7;34;41,0;58,8;67,6;217,5;49;59,0;51,0;57,1;173,5;
Bjurholm;Samtliga;28;82,1;~100;206,8;13;46,4;92,3;100,0;226,9;15;53,6;73,3;~100;189,3;
Bjurholm;Kommunal;28;82,1;~100;206,8;13;46,4;92,3;100,0;226,9;15;53,6;73,3;~100;189,3;
Bjuv;Samtliga;186;69,4;82,3;215,8;82;44,1;73,2;81,7;222,0;104;55,9;66,3;82,7;210,8;
Bjuv;Kommunal;186;69,4;82,3;215,8;82;44,1;73,2;81,7;222,0;104;55,9;66,3;82,7;210,8;
Boden;Samtliga;314;74,5;79,9;209,6;140;44,6;79,3;83,6;231,2;174;55,4;70,7;77,0;192,6;
Boden;Kommunal;242;70,2;75,6;200,8;103;42,6;77,7;80,6;228,9;139;57,4;64,7;71,9;180,3;
Boden;Enskild;72;88,9;~100;239,2;37;51,4;83,8;~100;237,8;35;48,6;94,3;~100;240,5;
Bollebygd;Samtliga;114;85,1;93,0;235,9;62;54,4;85,5;~100;241,0;52;45,6;84,6;~100;229,9;
Bollebygd;Kommunal;114;85,1;93,0;235,9;62;54,4;85,5;~100;241,0;52;45,6;84,6;~100;229,9;
Bollnäs;Samtliga;295;70,5;76,3;202,8;130;44,1;75,4;81,5;222,6;165;55,9;66,7;72,1;186,9;
Bollnäs;Kommunal;145;49,0;58,6;172,0;58;40,0;53,4;65,5;184,5;87;60,0;46,0;54,0;163,6;
Bollnäs;Enskild;150;91,3;93,3;231,5;72;48,0;93,1;~100;252,3;78;52,0;89,7;92,3;212,0;
Borgholm;Samtliga;111;83,8;88,3;228,4;42;37,8;83,3;85,7;226,4;69;62,2;84,1;89,9;229,7;
Borgholm;Kommunal;111;83,8;88,3;228,4;42;37,8;83,3;85,7;226,4;69;62,2;84,1;89,9;229,7;
Borlänge;Samtliga;647;62,9;75,6;203,6;333;51,5;66,7;76,6;218,2;314;48,5;58,9;74,5;188,1;
Borlänge;Kommunal;565;61,2;74,0;199,5;281;49,7;64,8;74,7;213,5;284;50,3;57,7;73,2;185,6;
Borlänge;Enskild;82;74,4;86,6;232,2;52;63,4;76,9;86,5;243,9;30;36,6;70,0;~100;212,0;
Borås;Samtliga;1 216;73,5;81,9;222,3;572;47,0;76,6;84,1;235,0;644;53,0;70,8;80,0;210,9;
Borås;Kommunal;991;69,5;78,5;212,8;457;46,1;72,9;80,7;225,0;534;53,9;66,7;76,6;202,2;
Borås;Enskild;225;91,1;96,9;263,7;115;51,1;91,3;~100;274,5;110;48,9;90,9;~100;252,4;
