Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2014/15

;;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);
Ale;Samtliga;154;47,1;67,5;83,1;211,2;173;52,9;68,2;82,1;194,9;
Ale;Kommunal;131;46,0;63,4;80,9;204,7;154;54,0;66,9;80,5;194,2;
Ale;Enskild;23;54,8;91,3;~100;247,3;19;45,2;78,9;~100;200,9;
Alingsås;Samtliga;217;48,1;88,0;93,1;242,4;234;51,9;74,4;85,9;207,0;
Alingsås;Kommunal;164;46,5;84,1;90,9;234,2;189;53,5;69,8;82,5;197,5;
Alingsås;Enskild;53;54,1;100,0;100,0;267,7;45;45,9;93,3;100,0;246,6;
Alvesta;Samtliga;100;48,5;76,0;84,0;242,8;106;51,5;61,3;74,5;192,5;
Alvesta;Kommunal;100;48,5;76,0;84,0;242,8;106;51,5;61,3;74,5;192,5;
Aneby;Samtliga;41;52,6;78,0;80,5;230,2;37;47,4;83,8;~100;214,8;
Aneby;Kommunal;40;51,9;80,0;82,5;233,1;37;48,1;83,8;~100;214,8;
Aneby;Enskild;..;..;.;.;..;..;..;.;.;.;
Arboga;Samtliga;69;46,6;81,2;89,9;238,0;79;53,4;70,9;89,9;208,4;
Arboga;Kommunal;69;46,6;81,2;89,9;238,0;79;53,4;70,9;89,9;208,4;
Arjeplog;Samtliga;..;..;..;~100;250,0;..;..;..;..;..;
Arjeplog;Kommunal;..;..;..;~100;250,0;..;..;..;..;..;
Arvidsjaur;Samtliga;32;45,7;75,0;81,3;214,5;38;54,3;60,5;68,4;176,9;
Arvidsjaur;Kommunal;32;45,7;75,0;81,3;214,5;38;54,3;60,5;68,4;176,9;
Arvika;Samtliga;136;49,6;86,8;91,9;241,4;138;50,4;67,4;87,7;196,6;
Arvika;Kommunal;105;45,1;87,6;93,3;243,2;128;54,9;67,2;87,5;196,4;
