Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2015/16

;;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, exklusive okänd bakgrund;Flickor, exklusive okänd bakgrund;Flickor, exklusive okänd bakgrund;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, exklusive okänd bakgrund ;Pojkar, exklusive okänd bakgrund ;Pojkar, exklusive okänd bakgrund ;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);
Bollnäs;Samtliga;123;48,2;78,9;84,6;229,0;80,0;85,8;228,9;132;51,8;68,9;78,8;194,8;71,7;81,9;195,9;
Bollnäs;Kommunal;70;47,9;67,1;74,3;212,0;68,7;76,1;211,6;76;52,1;50,0;67,1;170,8;53,5;71,8;172,4;
Bollnäs;Enskild;53;48,6;94,3;~100;250,4;94,3;~100;250,4;56;51,4;94,6;~100;225,2;94,6;~100;225,2;
Borgholm;Samtliga;52;40,9;80,8;88,5;256,7;87,5;~100;256,7;75;59,1;52,0;57,3;212,8;83,0;~100;226,0;
Borgholm;Kommunal;52;40,9;80,8;88,5;256,7;87,5;~100;256,7;75;59,1;52,0;57,3;212,8;83,0;~100;226,0;
Borlänge;Samtliga;309;52,5;67,0;78,3;219,5;67,6;79,1;221,1;280;47,5;60,4;76,8;196,1;61,7;78,1;197,5;
Borlänge;Kommunal;251;50,6;64,1;76,1;215,9;64,9;77,0;218,0;245;49,4;58,8;75,1;192,8;60,3;76,6;194,4;
Borlänge;Enskild;58;62,4;79,3;87,9;235,0;79,3;87,9;235,0;35;37,6;71,4;~100;219,2;71,4;~100;219,2;
Borås;Samtliga;597;49,2;80,7;87,8;245,4;82,1;89,3;245,4;617;50,8;65,3;76,0;209,9;72,9;84,8;211,5;
Borås;Kommunal;462;46,8;77,7;85,7;238,1;79,4;87,6;238,1;525;53,2;60,6;72,0;202,0;69,0;82,0;203,8;
Borås;Enskild;135;59,5;91,1;94,8;269,9;91,1;94,8;269,9;92;40,5;92,4;~100;249,4;92,4;~100;249,4;
Botkyrka;Samtliga;421;45,7;73,6;86,5;239,7;74,6;87,4;241,5;500;54,3;69,8;82,4;213,0;71,9;85,0;217,8;
Botkyrka;Kommunal;358;45,3;71,2;85,5;236,2;72,4;86,6;238,2;433;54,7;67,0;80,4;208,4;69,3;83,3;213,9;
Botkyrka;Enskild;63;48,5;87,3;92,1;259,7;87,3;92,1;259,7;67;51,5;88,1;~100;241,9;88,1;~100;241,9;
Boxholm;Samtliga;26;50,0;76,9;~100;233,4;82,6;~100;233,0;26;50,0;65,4;~100;194,4;65,4;~100;194,4;
Boxholm;Kommunal;26;50,0;76,9;~100;233,4;82,6;~100;233,0;26;50,0;65,4;~100;194,4;65,4;~100;194,4;
Bromölla;Samtliga;73;50,0;74,0;80,8;215,4;74,0;80,8;215,4;73;50,0;60,3;76,7;193,9;61,1;77,8;193,9;
Bromölla;Kommunal;73;50,0;74,0;80,8;215,4;74,0;80,8;215,4;73;50,0;60,3;76,7;193,9;61,1;77,8;193,9;
Bräcke;Samtliga;39;42,4;79,5;84,6;232,0;81,6;86,8;232,0;53;57,6;49,1;50,9;157,6;72,2;75,0;193,5;
Bräcke;Kommunal;39;42,4;79,5;84,6;232,0;81,6;86,8;232,0;53;57,6;49,1;50,9;157,6;72,2;75,0;193,5;
Burlöv;Samtliga;55;40,1;76,4;87,3;226,2;76,4;87,3;226,2;82;59,9;62,2;72,0;184,8;76,1;88,1;220,5;
Burlöv;Kommunal;55;40,1;76,4;87,3;226,2;76,4;87,3;226,2;82;59,9;62,2;72,0;184,8;76,1;88,1;220,5;
Båstad;Samtliga;74;45,7;78,4;87,8;239,2;81,7;91,5;242,0;88;54,3;58,0;73,9;217,0;67,1;85,5;218,4;
Båstad;Kommunal;74;45,7;78,4;87,8;239,2;81,7;91,5;242,0;88;54,3;58,0;73,9;217,0;67,1;85,5;218,4;
Dals-Ed;Samtliga;26;53,1;88,5;100,0;255,3;88,5;100,0;255,3;23;46,9;73,9;~100;215,0;73,9;~100;215,0;
Dals-Ed;Kommunal;26;53,1;88,5;100,0;255,3;88,5;100,0;255,3;23;46,9;73,9;~100;215,0;73,9;~100;215,0;
Danderyd;Samtliga;217;43,2;95,4;~100;277,1;96,3;~100;278,6;285;56,8;96,1;~100;259,6;96,5;~100;260,4;
