Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2015/16

;;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, exklusive okänd bakgrund;Flickor, exklusive okänd bakgrund;Flickor, exklusive okänd bakgrund;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, exklusive okänd bakgrund ;Pojkar, exklusive okänd bakgrund ;Pojkar, exklusive okänd bakgrund ;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);
Gävle;Samtliga;531;49,1;73,8;86,4;236,8;74,0;86,6;237,2;551;50,9;66,1;83,8;202,5;66,4;84,3;203,2;
Gävle;Kommunal;326;48,5;71,2;84,7;227,5;71,4;84,9;228,1;346;51,5;62,7;80,6;192,4;62,9;80,9;192,9;
Gävle;Enskild;205;50,0;78,0;89,3;251,6;78,0;89,3;251,6;205;50,0;71,7;89,3;219,8;72,4;90,1;220,8;
Göteborg;Samtliga;2 373;47,6;76,7;86,0;240,8;77,8;87,1;242,3;2 608;52,4;66,7;78,5;210,6;70,0;82,5;215,4;
Göteborg;Kommunal;1 543;45,9;71,9;81,7;230,0;73,3;83,2;231,9;1 820;54,1;60,8;72,9;199,8;65,2;78,2;206,4;
Göteborg;Enskild;830;51,3;85,9;94,4;261,1;86,2;94,5;261,5;788;48,7;80,8;92,1;235,1;80,8;92,1;235,1;
Götene;Samtliga;69;49,3;79,7;82,6;212,9;80,9;83,8;215,6;71;50,7;73,2;81,7;194,7;77,6;86,6;205,0;
Götene;Kommunal;69;49,3;79,7;82,6;212,9;80,9;83,8;215,6;71;50,7;73,2;81,7;194,7;77,6;86,6;205,0;
Habo;Samtliga;56;45,2;87,5;87,5;256,6;87,5;87,5;256,6;68;54,8;61,8;70,6;163,7;80,8;~100;200,3;
Habo;Kommunal;56;45,2;87,5;87,5;256,6;87,5;87,5;256,6;68;54,8;61,8;70,6;163,7;80,8;~100;200,3;
Hagfors;Samtliga;53;44,5;73,6;77,4;211,4;81,3;85,4;219,4;66;55,5;47,0;60,6;160,4;57,4;74,1;180,4;
Hagfors;Kommunal;53;44,5;73,6;77,4;211,4;81,3;85,4;219,4;66;55,5;47,0;60,6;160,4;57,4;74,1;180,4;
Hallsberg;Samtliga;72;47,4;80,6;90,3;243,9;81,7;90,1;243,6;80;52,6;60,0;72,5;192,6;64,0;77,3;199,0;
Hallsberg;Kommunal;72;47,4;80,6;90,3;243,9;81,7;90,1;243,6;80;52,6;60,0;72,5;192,6;64,0;77,3;199,0;
Hallstahammar;Samtliga;78;41,7;75,6;83,3;242,5;75,6;83,3;242,5;109;58,3;44,0;51,4;172,4;59,3;69,1;189,7;
Hallstahammar;Kommunal;78;41,7;75,6;83,3;242,5;75,6;83,3;242,5;109;58,3;44,0;51,4;172,4;59,3;69,1;189,7;
Halmstad;Samtliga;485;46,7;83,5;89,1;241,3;84,7;90,4;243,1;554;53,3;70,4;76,0;210,3;78,0;84,2;214,4;
Halmstad;Kommunal;410;45,6;82,7;87,8;237,3;84,1;89,3;239,4;490;54,4;68,2;73,5;205,7;76,6;82,6;210,3;
Halmstad;Enskild;75;54,0;88,0;~100;263,0;88,0;~100;263,0;64;46,0;87,5;~100;241,8;87,5;~100;241,8;
Hammarö;Samtliga;105;47,3;91,4;95,2;251,3;94,1;~100;258,4;117;52,7;65,8;72,6;220,7;86,5;~100;233,9;
Hammarö;Kommunal;105;47,3;91,4;95,2;251,3;94,1;~100;258,4;117;52,7;65,8;72,6;220,7;86,5;~100;233,9;
Haninge;Samtliga;363;49,9;79,6;91,2;239,7;80,2;91,6;240,3;365;50,1;72,1;84,4;209,8;72,6;85,0;211,2;
Haninge;Kommunal;282;48,7;80,1;90,1;237,8;80,6;90,3;238,6;297;51,3;70,7;83,8;208,8;71,3;84,6;210,5;
Haninge;Enskild;81;54,4;77,8;~100;246,2;78,8;~100;246,2;68;45,6;77,9;86,8;214,6;77,9;86,8;214,6;
Haparanda;Samtliga;73;52,5;82,2;89,0;237,6;79,0;87,1;231,0;66;47,5;72,7;81,8;199,4;70,4;81,5;198,7;
Haparanda;Kommunal;73;52,5;82,2;89,0;237,6;79,0;87,1;231,0;66;47,5;72,7;81,8;199,4;70,4;81,5;198,7;
Heby;Samtliga;70;56,0;82,9;92,9;231,9;82,9;92,9;231,9;55;44,0;67,3;85,5;203,5;67,3;85,5;203,5;
Heby;Kommunal;70;56,0;82,9;92,9;231,9;82,9;92,9;231,9;55;44,0;67,3;85,5;203,5;67,3;85,5;203,5;
Hedemora;Samtliga;80;39,8;68,8;82,5;223,5;69,7;84,2;223,6;121;60,2;49,6;56,2;149,4;65,9;72,5;180,5;
Hedemora;Kommunal;65;37,6;67,7;84,6;219,0;68,9;86,9;219,0;108;62,4;47,2;52,8;144,7;65,4;70,5;179,6;
Hedemora;Enskild;15;53,6;73,3;~100;243,4;73,3;~100;243,4;13;46,4;..;~100;186,0;..;~100;186,0;
Helsingborg;Samtliga;680;46,4;83,1;90,1;252,3;84,1;91,1;254,0;785;53,6;72,2;84,8;218,0;74,6;87,5;221,0;
Helsingborg;Kommunal;450;45,0;83,6;88,9;253,8;84,3;89,5;254,8;550;55,0;69,6;82,4;212,0;73,0;86,1;216,3;
Helsingborg;Enskild;230;49,5;82,2;92,6;249,3;83,6;94,2;252,5;235;50,5;78,3;90,6;231,6;78,2;90,6;231,6;
Herrljunga;Samtliga;37;37,4;86,5;~100;242,0;86,5;~100;242,0;62;62,6;61,3;64,5;162,5;76,0;80,0;193,6;
Herrljunga;Kommunal;37;37,4;86,5;~100;242,0;86,5;~100;242,0;62;62,6;61,3;64,5;162,5;76,0;80,0;193,6;
Hjo;Samtliga;43;50,0;79,1;88,4;241,6;79,1;88,4;241,6;43;50,0;86,0;~100;224,2;86,0;~100;224,2;
Hjo;Kommunal;43;50,0;79,1;88,4;241,6;79,1;88,4;241,6;43;50,0;86,0;~100;224,2;86,0;~100;224,2;
Hofors;Samtliga;44;48,4;75,0;84,1;223,3;76,7;86,0;223,3;47;51,6;66,0;70,2;206,3;75,6;80,5;206,3;
Hofors;Kommunal;44;48,4;75,0;84,1;223,3;76,7;86,0;223,3;47;51,6;66,0;70,2;206,3;75,6;80,5;206,3;
Huddinge;Samtliga;584;47,2;83,9;90,4;251,3;85,0;91,7;252,9;653;52,8;75,3;81,9;218,3;83,7;91,0;229,8;
Huddinge;Kommunal;460;45,2;84,6;90,0;247,5;86,0;91,6;249,5;557;54,8;73,4;79,4;210,8;83,1;89,8;224,0;
Huddinge;Enskild;124;56,4;81,5;91,9;265,0;81,5;91,9;265,0;96;43,6;86,5;~100;259,1;86,5;~100;259,1;
Hudiksvall;Samtliga;194;45,6;75,8;85,1;225,1;76,6;85,9;226,9;231;54,4;63,6;76,2;188,7;66,5;79,6;195,2;
Hudiksvall;Kommunal;160;45,5;74,4;83,1;221,9;75,3;84,2;224,0;192;54,5;63,0;74,5;188,6;66,5;78,6;196,5;
Hudiksvall;Enskild;34;46,6;82,4;~100;239,9;82,4;~100;239,9;39;53,4;66,7;84,6;189,2;66,7;84,6;189,2;
Hultsfred;Samtliga;78;44,1;67,9;79,5;219,2;71,2;82,2;227,1;99;55,9;67,7;75,8;202,7;71,7;80,4;212,0;
Hultsfred;Kommunal;57;42,9;63,2;75,4;216,4;67,3;78,8;227,3;76;57,1;64,5;71,1;190,7;70,0;77,1;202,1;
Hultsfred;Enskild;21;47,7;81,0;~100;226,7;81,0;~100;226,7;23;52,3;78,3;~100;242,2;77,3;~100;243,5;
Hylte;Samtliga;62;48,8;64,5;77,4;214,6;65,6;78,7;217,2;65;51,2;60,0;69,2;180,7;65,0;75,0;191,3;
Hylte;Kommunal;58;47,5;63,8;75,9;209,2;64,9;77,2;211,8;64;52,5;59,4;68,8;179,0;64,4;74,6;189,6;
Hylte;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Håbo;Samtliga;130;50,8;74,6;93,1;231,7;75,2;93,8;232,5;126;49,2;70,6;82,5;208,8;77,4;90,4;217,0;
Håbo;Kommunal;108;51,7;72,2;92,6;226,7;72,9;93,5;227,7;101;48,3;65,3;78,2;196,2;73,3;87,8;206,1;
Håbo;Enskild;22;46,8;86,4;~100;256,0;86,4;~100;256,0;25;53,2;92,0;100,0;255,1;92,0;100,0;255,1;
Hällefors;Samtliga;26;33,8;61,5;80,8;207,6;69,6;~100;218,0;51;66,2;49,0;64,7;176,5;54,8;73,8;188,2;
Hällefors;Kommunal;26;33,8;61,5;80,8;207,6;69,6;~100;218,0;51;66,2;49,0;64,7;176,5;54,8;73,8;188,2;
Härjedalen;Samtliga;45;39,5;86,7;88,9;246,3;90,7;~100;256,6;69;60,5;59,4;68,1;190,7;69,5;79,7;202,5;
Härjedalen;Kommunal;45;39,5;86,7;88,9;246,3;90,7;~100;256,6;69;60,5;59,4;68,1;190,7;69,5;79,7;202,5;
Härnösand;Samtliga;135;47,2;68,9;79,3;217,2;71,5;82,3;223,5;151;52,8;66,2;76,2;195,2;74,6;85,8;211,8;
Härnösand;Kommunal;134;47,5;68,7;79,1;216,6;71,3;82,2;222,9;148;52,5;66,2;76,4;195,2;74,8;86,3;212,2;
Härnösand;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Härryda;Samtliga;219;50,2;89,0;92,2;253,1;89,9;93,1;255,0;217;49,8;88,5;92,2;236,2;88,5;92,2;236,2;
Härryda;Kommunal;185;51,1;87,6;91,4;248,3;88,5;92,3;250,5;177;48,9;86,4;90,4;227,0;86,4;90,4;227,0;
Härryda;Enskild;34;45,9;97,1;~100;279,2;97,1;~100;279,2;40;54,1;97,5;100,0;276,1;97,5;100,0;276,1;
Hässleholm;Samtliga;305;49,8;78,7;84,9;229,3;80,5;86,9;232,9;308;50,2;60,7;70,1;186,1;67,3;77,7;199,4;
Hässleholm;Kommunal;298;49,2;78,9;85,2;229,8;80,8;87,3;233,5;308;50,8;60,7;70,1;186,1;67,3;77,7;199,4;
Hässleholm;Enskild;..;..;..;..;..;..;..;..;..;..;.;.;.;.;.;.;
Höganäs;Samtliga;143;52,0;93,0;96,5;257,2;93,0;96,5;257,2;132;48,0;88,6;93,2;229,2;88,6;93,2;229,2;
Höganäs;Kommunal;131;51,2;92,4;96,2;257,9;92,4;96,2;257,9;125;48,8;88,8;93,6;229,7;88,8;93,6;229,7;
Höganäs;Enskild;..;..;100,0;100,0;249,0;100,0;100,0;249,0;..;..;..;..;..;..;..;..;
Högsby;Samtliga;30;42,3;70,0;80,0;218,5;75,0;~100;218,5;41;57,7;53,7;68,3;174,2;62,9;77,1;187,3;
Högsby;Kommunal;30;42,3;70,0;80,0;218,5;75,0;~100;218,5;41;57,7;53,7;68,3;174,2;62,9;77,1;187,3;
Hörby;Samtliga;87;48,6;75,9;86,2;236,4;75,9;86,2;236,4;92;51,4;57,6;77,2;201,6;57,6;77,2;201,6;
Hörby;Kommunal;73;46,2;72,6;84,9;230,0;72,6;84,9;230,0;85;53,8;54,1;75,3;198,7;54,1;75,3;198,7;
Hörby;Enskild;..;..;92,9;~100;269,1;92,9;~100;269,1;..;..;..;..;..;..;..;..;
Höör;Samtliga;78;45,3;88,5;~100;241,9;88,5;~100;241,9;94;54,7;73,4;84,0;204,9;77,5;88,8;215,2;
Höör;Kommunal;69;47,3;91,3;~100;246,4;91,3;~100;246,4;77;52,7;67,5;80,5;197,7;72,2;86,1;210,0;
Höör;Enskild;..;..;..;..;..;..;..;..;..;..;100,0;100,0;236,9;100,0;100,0;236,9;
Jokkmokk;Samtliga;28;58,3;96,4;~100;251,5;96,4;~100;251,5;20;41,7;55,0;65,0;185,6;55,0;65,0;185,6;
Jokkmokk;Kommunal;20;55,6;95,0;~100;244,3;95,0;~100;244,3;16;44,4;..;62,5;182,8;..;62,5;182,8;
Jokkmokk;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Järfälla;Samtliga;386;47,0;78,5;87,8;247,1;79,9;89,2;250,7;436;53,0;67,9;78,7;205,4;76,5;88,4;224,1;
Järfälla;Kommunal;296;45,1;74,0;85,1;240,2;75,8;86,9;244,7;360;54,9;62,2;74,4;195,2;72,0;85,9;217,2;
Järfälla;Enskild;90;54,2;93,3;~100;270,2;93,3;~100;270,2;76;45,8;94,7;~100;252,1;94,7;~100;252,1;
Jönköping;Samtliga;677;45,7;83,6;89,5;245,4;84,0;89,9;245,7;803;54,3;70,9;79,8;215,2;79,2;89,3;221,8;
Jönköping;Kommunal;558;46,5;83,2;89,1;243,0;83,6;89,5;243,4;641;53,5;68,2;77,1;211,6;78,6;88,8;220,0;
Jönköping;Enskild;119;42,3;85,7;91,6;256,7;85,7;91,6;256,7;162;57,7;81,5;90,7;228,2;81,4;90,7;227,9;
Kalix;Samtliga;77;43,8;71,4;80,5;226,5;72,4;80,3;227,5;99;56,3;57,6;67,7;170,9;63,3;74,4;177,8;
Kalix;Kommunal;70;43,2;74,3;84,3;229,6;75,4;84,1;230,8;92;56,8;55,4;66,3;169,4;61,4;73,5;176,8;
Kalix;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Kalmar;Samtliga;320;44,4;82,5;88,4;245,0;84,1;90,1;247,2;401;55,6;74,6;80,5;207,6;83,5;90,2;217,5;
Kalmar;Kommunal;273;45,3;82,1;88,6;245,2;83,9;90,6;247,9;330;54,7;73,3;80,3;206,6;83,7;91,7;217,7;
Kalmar;Enskild;47;39,8;85,1;87,2;243,6;85,1;87,2;243,6;71;60,2;80,3;81,7;212,1;82,6;84,1;216,5;
Karlsborg;Samtliga;33;52,4;72,7;84,8;211,5;75,0;84,4;211,9;30;47,6;90,0;~100;207,1;90,0;~100;207,1;
Karlsborg;Kommunal;33;52,4;72,7;84,8;211,5;75,0;84,4;211,9;30;47,6;90,0;~100;207,1;90,0;~100;207,1;
Karlshamn;Samtliga;137;41,3;74,5;86,1;232,6;75,6;86,7;234,2;195;58,7;57,4;69,2;184,8;62,6;75,4;197,0;
Karlshamn;Kommunal;122;42,4;75,4;87,7;232,0;76,7;88,3;233,8;166;57,6;54,2;66,9;177,8;60,0;74,0;191,7;
Karlshamn;Enskild;15;34,1;66,7;~100;237,7;66,7;~100;237,7;29;65,9;75,9;82,8;223,7;75,9;82,8;223,7;
Karlskoga;Samtliga;166;48,1;65,7;78,3;219,5;67,3;80,2;223,2;179;51,9;59,2;69,3;187,5;62,1;72,8;194,2;
Karlskoga;Kommunal;166;48,1;65,7;78,3;219,5;67,3;80,2;223,2;179;51,9;59,2;69,3;187,5;62,1;72,8;194,2;
Karlskrona;Samtliga;331;43,8;81,9;89,4;232,7;82,9;90,5;234,1;424;56,2;67,5;75,7;201,4;74,9;84,0;207,7;
Karlskrona;Kommunal;241;43,6;80,5;88,4;229,1;81,9;89,9;230,9;312;56,4;64,7;70,5;195,1;74,5;81,2;203,7;
Karlskrona;Enskild;90;44,6;85,6;92,2;242,4;85,6;92,2;242,4;112;55,4;75,0;90,2;217,5;75,7;91,0;217,5;
Karlstad;Samtliga;407;46,0;82,1;87,7;236,2;83,1;88,8;237,2;477;54,0;77,8;86,4;219,0;81,9;90,9;224,1;
Karlstad;Kommunal;356;45,5;79,8;86,2;228,1;80,9;87,5;229,2;426;54,5;75,4;85,0;213,3;79,9;90,0;219,0;
Karlstad;Enskild;51;50,0;98,0;~100;291,8;98,0;~100;291,8;51;50,0;98,0;~100;263,9;98,0;~100;263,9;
Katrineholm;Samtliga;198;52,0;73,2;81,3;218,2;74,0;82,1;220,3;183;48,0;65,6;74,3;187,7;67,4;76,4;191,3;
Katrineholm;Kommunal;145;49,7;68,3;77,2;205,3;69,2;78,3;208,0;147;50,3;63,3;72,1;183,6;65,5;74,6;188,1;
Katrineholm;Enskild;53;59,6;86,8;~100;253,4;86,8;~100;253,4;36;40,4;75,0;83,3;204,0;75,0;83,3;204,0;
Kil;Samtliga;58;37,7;82,8;89,7;242,5;84,2;91,2;242,5;96;62,3;59,4;66,7;179,4;78,1;87,7;208,9;
Kil;Kommunal;58;37,7;82,8;89,7;242,5;84,2;91,2;242,5;96;62,3;59,4;66,7;179,4;78,1;87,7;208,9;
Kinda;Samtliga;59;49,6;91,5;~100;254,3;91,5;~100;254,3;60;50,4;78,3;85,0;204,8;78,3;85,0;204,8;
Kinda;Kommunal;59;49,6;91,5;~100;254,3;91,5;~100;254,3;60;50,4;78,3;85,0;204,8;78,3;85,0;204,8;
Kiruna;Samtliga;100;44,4;85,0;90,0;239,8;84,8;89,9;239,3;125;55,6;74,4;86,4;218,9;74,8;87,0;219,3;
Kiruna;Kommunal;88;42,9;85,2;88,6;235,9;85,1;88,5;235,3;117;57,1;72,6;85,5;213,9;73,0;86,1;214,2;
Kiruna;Enskild;..;..;83,3;100,0;268,3;83,3;100,0;268,3;..;..;..;..;..;..;..;..;
Klippan;Samtliga;109;51,2;82,6;91,7;236,8;83,2;92,5;237,1;104;48,8;67,3;82,7;193,9;68,0;83,5;195,5;
Klippan;Kommunal;85;49,4;85,9;92,9;238,4;86,7;94,0;238,8;87;50,6;66,7;83,9;194,5;67,4;84,9;196,4;
Klippan;Enskild;24;58,5;70,8;~100;231,3;70,8;~100;231,3;17;41,5;70,6;~100;190,7;70,6;~100;190,7;
Knivsta;Samtliga;70;41,9;91,4;~100;262,9;91,4;~100;262,9;97;58,1;85,6;91,8;228,1;85,6;91,8;228,1;
Knivsta;Kommunal;60;40,5;90,0;~100;256,1;90,0;~100;256,1;88;59,5;87,5;92,0;227,9;87,5;92,0;227,9;
Knivsta;Enskild;..;..;100,0;100,0;302,0;100,0;100,0;302,0;..;..;..;..;..;..;..;..;
Kramfors;Samtliga;116;50,2;75,9;86,2;230,8;79,3;90,1;235,0;115;49,8;53,9;63,5;172,8;66,0;77,7;191,7;
Kramfors;Kommunal;116;50,2;75,9;86,2;230,8;79,3;90,1;235,0;115;49,8;53,9;63,5;172,8;66,0;77,7;191,7;
Kristianstad;Samtliga;437;46,4;73,7;86,0;230,0;73,5;85,9;230,1;504;53,6;62,1;76,2;195,5;68,6;83,7;206,0;
Kristianstad;Kommunal;400;47,3;73,5;86,0;230,6;73,4;85,9;230,5;446;52,7;60,5;74,9;192,7;67,8;83,4;204,5;
Kristianstad;Enskild;37;38,9;75,7;86,5;223,9;75,0;86,1;225,1;58;61,1;74,1;86,2;215,9;74,1;86,2;215,9;
Kristinehamn;Samtliga;126;49,6;84,1;87,3;240,3;85,5;88,7;240,3;128;50,4;53,1;61,7;179,0;65,4;76,0;193,3;
Kristinehamn;Kommunal;126;49,6;84,1;87,3;240,3;85,5;88,7;240,3;128;50,4;53,1;61,7;179,0;65,4;76,0;193,3;
Krokom;Samtliga;68;41,2;63,2;64,7;207,5;76,8;78,6;228,9;97;58,8;74,2;76,3;196,5;80,0;82,2;206,0;
Krokom;Kommunal;68;41,2;63,2;64,7;207,5;76,8;78,6;228,9;97;58,8;74,2;76,3;196,5;80,0;82,2;206,0;
Kumla;Samtliga;118;41,7;72,0;82,2;227,3;72,2;82,6;227,6;165;58,3;58,8;68,5;187,3;67,4;78,5;200,1;
Kumla;Kommunal;118;41,7;72,0;82,2;227,3;72,2;82,6;227,6;165;58,3;58,8;68,5;187,3;67,4;78,5;200,1;
Kungsbacka;Samtliga;432;44,3;90,5;94,4;257,4;90,7;94,7;257,9;544;55,7;80,7;86,8;225,0;86,1;92,5;230,0;
Kungsbacka;Kommunal;372;42,8;89,5;93,8;254,1;89,8;94,1;254,6;498;57,2;79,3;85,7;223,9;85,1;92,0;229,4;
Kungsbacka;Enskild;60;56,6;96,7;~100;278,1;96,7;~100;278,1;46;43,4;95,7;~100;235,9;95,7;~100;235,9;
Kungsör;Samtliga;38;40,0;78,9;~100;224,7;78,9;~100;224,7;57;60,0;61,4;73,7;188,3;67,3;80,8;200,7;
Kungsör;Kommunal;38;40,0;78,9;~100;224,7;78,9;~100;224,7;57;60,0;61,4;73,7;188,3;67,3;80,8;200,7;
Kungälv;Samtliga;201;43,5;83,6;91,5;240,9;84,0;92,0;242,1;261;56,5;75,1;85,4;212,3;80,7;91,8;221,0;
Kungälv;Kommunal;164;43,2;81,1;89,6;235,7;81,6;90,2;237,1;216;56,8;72,2;83,8;208,6;78,8;91,4;219,1;
Kungälv;Enskild;37;45,1;94,6;100,0;264,0;94,6;100,0;264,0;45;54,9;88,9;~100;229,3;88,9;~100;229,3;
Kävlinge;Samtliga;167;48,8;87,4;94,6;249,9;87,4;94,6;249,9;175;51,2;84,0;93,1;232,6;84,0;93,1;232,6;
Kävlinge;Kommunal;138;48,4;85,5;94,2;249,0;85,5;94,2;249,0;147;51,6;83,0;92,5;229,7;83,0;92,5;229,7;
Kävlinge;Enskild;29;50,9;96,6;~100;254,4;96,6;~100;254,4;28;49,1;89,3;~100;247,9;89,3;~100;247,9;
Köping;Samtliga;139;46,8;72,7;84,2;221,6;73,2;84,8;223,1;158;53,2;64,6;82,9;197,2;68,0;87,3;198,5;
Köping;Kommunal;139;46,8;72,7;84,2;221,6;73,2;84,8;223,1;158;53,2;64,6;82,9;197,2;68,0;87,3;198,5;
Laholm;Samtliga;111;40,1;80,2;90,1;227,5;80,2;90,1;227,5;166;59,9;62,0;77,1;189,5;67,8;84,2;198,8;
Laholm;Kommunal;111;40,1;80,2;90,1;227,5;80,2;90,1;227,5;166;59,9;62,0;77,1;189,5;67,8;84,2;198,8;
Landskrona;Samtliga;228;45,9;78,1;82,5;239,0;78,4;82,8;239,9;269;54,1;65,8;79,2;216,5;72,8;87,2;221,3;
Landskrona;Kommunal;177;47,8;75,1;79,7;240,1;75,6;80,1;241,3;193;52,2;71,0;82,4;214,8;74,1;85,4;218,9;
Landskrona;Enskild;51;40,2;88,2;~100;235,0;88,2;~100;235,0;76;59,8;52,6;71,1;221,8;69,0;~100;229,0;
Laxå;Samtliga;30;36,6;70,0;76,7;203,4;80,8;80,8;214,6;52;63,4;32,7;40,4;112,6;73,9;~100;208,9;
Laxå;Kommunal;30;36,6;70,0;76,7;203,4;80,8;80,8;214,6;52;63,4;32,7;40,4;112,6;73,9;~100;208,9;
Lekeberg;Samtliga;33;55,9;69,7;75,8;207,6;71,9;78,1;213,8;26;44,1;88,5;~100;193,8;95,8;~100;208,5;
Lekeberg;Kommunal;33;55,9;69,7;75,8;207,6;71,9;78,1;213,8;26;44,1;88,5;~100;193,8;95,8;~100;208,5;
Leksand;Samtliga;69;42,9;88,4;91,3;243,9;88,4;91,3;243,9;92;57,1;85,9;89,1;211,6;85,9;89,1;211,6;
Leksand;Kommunal;65;42,2;87,7;90,8;243,0;87,7;90,8;243,0;89;57,8;85,4;88,8;210,9;85,4;88,8;210,9;
Leksand;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Lerum;Samtliga;228;47,8;83,8;92,5;243,2;83,8;92,5;243,2;249;52,2;73,9;83,5;212,1;76,3;86,3;216,7;
Lerum;Kommunal;213;47,2;82,6;92,0;242,0;82,6;92,0;242,0;238;52,8;72,7;82,8;208,9;75,2;85,7;213,6;
Lerum;Enskild;15;57,7;100,0;100,0;260,7;100,0;100,0;260,7;11;42,3;100,0;100,0;281,1;100,0;100,0;281,1;
Lessebo;Samtliga;41;46,6;51,2;65,9;192,9;51,2;65,9;192,9;47;53,4;53,2;57,4;148,8;53,2;57,4;148,8;
Lessebo;Kommunal;41;46,6;51,2;65,9;192,9;51,2;65,9;192,9;47;53,4;53,2;57,4;148,8;53,2;57,4;148,8;
Lidingö;Samtliga;238;47,8;95,0;96,2;279,3;95,4;96,6;279,9;260;52,2;93,1;96,9;259,0;93,8;97,7;260,2;
Lidingö;Kommunal;186;47,4;95,7;97,3;279,9;96,2;~100;280,7;206;52,6;92,7;97,6;255,9;93,6;~100;257,4;
Lidingö;Enskild;52;49,1;92,3;~100;277,2;92,3;~100;277,2;54;50,9;94,4;~100;270,7;94,4;~100;270,7;
Lidköping;Samtliga;189;41,8;81,5;91,0;240,9;82,4;92,0;243,3;263;58,2;68,8;78,7;194,4;75,7;86,6;206,8;
Lidköping;Kommunal;174;41,7;80,5;90,2;238,0;81,4;91,3;240,5;243;58,3;67,1;77,4;192,3;74,4;85,8;205,7;
Lidköping;Enskild;15;42,9;93,3;100,0;274,7;93,3;100,0;274,7;20;57,1;90,0;~100;219,3;90,0;~100;219,3;
Lilla Edet;Samtliga;60;42,9;66,7;81,7;225,0;67,2;82,8;224,5;80;57,1;40,0;53,8;181,4;58,2;78,2;188,1;
Lilla Edet;Kommunal;49;38,9;63,3;77,6;216,6;64,6;79,2;216,6;77;61,1;40,3;54,5;182,8;59,6;80,8;190,0;
Lilla Edet;Enskild;..;..;..;100,0;260,5;..;100,0;260,8;..;..;..;..;..;..;..;..;
Lindesberg;Samtliga;116;45,7;69,8;78,4;213,3;69,8;78,4;213,3;138;54,3;63,0;71,7;187,3;63,0;71,7;187,3;
Lindesberg;Kommunal;116;45,7;69,8;78,4;213,3;69,8;78,4;213,3;138;54,3;63,0;71,7;187,3;63,0;71,7;187,3;
Linköping;Samtliga;737;46,9;80,3;87,4;237,8;80,5;87,6;238,3;836;53,1;74,0;82,3;216,1;77,4;86,0;222,2;
Linköping;Kommunal;505;44,8;77,0;83,8;230,3;77,3;84,1;230,9;622;55,2;71,2;78,8;210,4;75,6;83,6;218,4;
Linköping;Enskild;232;52,0;87,5;95,3;254,0;87,5;95,3;254,0;214;48,0;82,2;92,5;232,3;82,2;92,5;232,3;
Ljungby;Samtliga;125;45,5;85,6;93,6;251,6;85,6;93,6;251,6;150;54,5;62,0;76,7;194,4;67,9;83,9;201,3;
Ljungby;Kommunal;119;45,4;84,9;93,3;251,9;84,9;93,3;251,9;143;54,6;60,1;75,5;192,1;66,2;83,1;199,3;
Ljungby;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Ljusdal;Samtliga;84;38,9;72,6;79,8;224,8;76,3;83,8;231,4;132;61,1;57,6;75,0;189,4;65,0;84,6;201,2;
Ljusdal;Kommunal;66;40,2;74,2;75,8;223,2;79,0;80,6;231,6;98;59,8;53,1;70,4;179,6;62,7;83,1;195,0;
Ljusdal;Enskild;18;34,6;66,7;~100;230,6;66,7;~100;230,6;34;65,4;70,6;~100;216,3;70,6;~100;216,3;
Ljusnarsberg;Samtliga;15;31,3;..;~100;172,5;..;~100;172,5;33;68,8;72,7;~100;192,3;72,7;~100;192,3;
Ljusnarsberg;Kommunal;15;31,3;..;~100;172,5;..;~100;172,5;33;68,8;72,7;~100;192,3;72,7;~100;192,3;
Lomma;Samtliga;143;50,0;90,2;96,5;272,4;90,2;96,5;272,4;143;50,0;93,0;96,5;251,0;93,7;~100;252,6;
Lomma;Kommunal;136;50,7;90,4;~100;271,3;90,4;~100;271,3;132;49,3;92,4;96,2;247,5;93,1;~100;249,3;
Lomma;Enskild;..;..;..;..;..;..;..;..;..;..;100,0;100,0;292,7;100,0;100,0;292,7;
