Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2000/01

;;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);
ALE;Samtliga;190;56,4;78,4;93,7;218,8;147;43,6;68,0;91,8;195,1;
ALE;Kommunal;190;56,4;78,4;93,7;218,8;147;43,6;68,0;91,8;195,1;
ALINGSÅS;Samtliga;247;48,8;81,0;90,3;220,5;259;51,2;77,2;92,3;205,1;
ALINGSÅS;Kommunal;247;48,8;81,0;90,3;220,5;259;51,2;77,2;92,3;205,1;
ALVESTA;Samtliga;133;51,4;81,2;95,5;204,5;126;48,6;72,2;86,5;179,4;
ALVESTA;Kommunal;133;51,4;81,2;95,5;204,5;126;48,6;72,2;86,5;179,4;
ANEBY;Samtliga;54;42,9;85,2;~100;217,2;72;57,1;62,5;86,1;176,0;
ANEBY;Kommunal;54;42,9;85,2;~100;217,2;72;57,1;62,5;86,1;176,0;
ARBOGA;Samtliga;88;52,1;78,4;94,3;222,6;81;47,9;81,5;92,6;213,1;
ARBOGA;Kommunal;88;52,1;78,4;94,3;222,6;81;47,9;81,5;92,6;213,1;
ARJEPLOG;Samtliga;13;31,7;92,3;~100;251,5;28;68,3;75,0;~100;213,0;
ARJEPLOG;Kommunal;13;31,7;92,3;~100;251,5;28;68,3;75,0;~100;213,0;
ARVIDSJAUR;Samtliga;45;48,9;82,2;~100;217,8;47;51,1;76,6;~100;198,0;
ARVIDSJAUR;Kommunal;45;48,9;82,2;~100;217,8;47;51,1;76,6;~100;198,0;
ARVIKA;Samtliga;149;48,1;76,5;95,3;224,6;161;51,9;72,7;92,5;200,5;
ARVIKA;Kommunal;149;48,1;76,5;95,3;224,6;161;51,9;72,7;92,5;200,5;
ASKERSUND;Samtliga;74;52,9;85,1;~100;211,1;66;47,1;78,8;~100;199,0;
ASKERSUND;Kommunal;74;52,9;85,1;~100;211,1;66;47,1;78,8;~100;199,0;
AVESTA;Samtliga;141;48,6;79,4;93,6;217,3;149;51,4;63,8;91,3;188,5;
AVESTA;Kommunal;141;48,6;79,4;93,6;217,3;149;51,4;63,8;91,3;188,5;
BENGTSFORS;Samtliga;49;39,5;57,1;100,0;199,7;75;60,5;65,3;89,3;187,8;
BENGTSFORS;Kommunal;49;39,5;57,1;100,0;199,7;75;60,5;65,3;89,3;187,8;
BERG;Samtliga;53;42,7;71,7;90,6;210,0;71;57,3;57,7;80,3;188,0;
BERG;Kommunal;53;42,7;71,7;90,6;210,0;71;57,3;57,7;80,3;188,0;
BJURHOLM;Samtliga;21;45,7;85,7;100,0;251,0;25;54,3;88,0;~100;187,8;
BJURHOLM;Kommunal;21;45,7;85,7;100,0;251,0;25;54,3;88,0;~100;187,8;
BJUV;Samtliga;96;51,1;76,0;85,4;203,6;92;48,9;70,7;89,1;184,3;
BJUV;Kommunal;80;50,6;75,0;86,3;198,7;78;49,4;76,9;93,6;189,7;
BJUV;Enskild;16;53,3;81,3;~100;227,5;14;46,7;..;..;154,6;
BODEN;Samtliga;173;48,5;77,5;90,2;208,8;184;51,5;78,3;87,0;190,8;
BODEN;Kommunal;173;48,5;77,5;90,2;208,8;184;51,5;78,3;87,0;190,8;
BOLLEBYGD;Samtliga;47;40,2;87,2;~100;227,1;70;59,8;77,1;85,7;190,9;
BOLLEBYGD;Kommunal;47;40,2;87,2;~100;227,1;70;59,8;77,1;85,7;190,9;
BOLLNÄS;Samtliga;187;52,1;79,1;93,6;203,9;172;47,9;70,9;82,6;171,5;
BOLLNÄS;Kommunal;187;52,1;79,1;93,6;203,9;172;47,9;70,9;82,6;171,5;
BORGHOLM;Samtliga;76;50,7;82,9;~100;235,2;74;49,3;62,2;90,5;180,3;
BORGHOLM;Kommunal;76;50,7;82,9;~100;235,2;74;49,3;62,2;90,5;180,3;
BORLÄNGE;Samtliga;277;48,6;74,7;88,1;216,6;293;51,4;70,6;89,4;196,0;
BORLÄNGE;Kommunal;277;48,6;74,7;88,1;216,6;293;51,4;70,6;89,4;196,0;
BORÅS;Samtliga;548;48,8;79,0;88,3;213,6;576;51,2;66,5;81,4;186,7;
BORÅS;Kommunal;541;48,6;79,3;88,2;213,5;573;51,4;66,5;81,3;186,6;
BORÅS;Enskild;..;..;..;..;..;..;..;..;..;..;
BOTKYRKA;Samtliga;455;51,6;64,6;82,4;197,6;426;48,4;60,6;80,8;182,3;
BOTKYRKA;Kommunal;431;52,2;63,8;82,4;195,8;395;47,8;58,7;80,3;180,0;
BOTKYRKA;Enskild;24;43,6;79,2;~100;230,0;31;56,4;83,9;~100;210,8;
BOXHOLM;Samtliga;38;51,4;78,9;~100;214,6;36;48,6;66,7;80,6;195,1;
BOXHOLM;Kommunal;38;51,4;78,9;~100;214,6;36;48,6;66,7;80,6;195,1;
BROMÖLLA;Samtliga;56;39,7;82,1;91,1;229,2;85;60,3;67,1;81,2;188,5;
BROMÖLLA;Kommunal;56;39,7;82,1;91,1;229,2;85;60,3;67,1;81,2;188,5;
BRÄCKE;Samtliga;55;56,1;92,7;~100;226,3;43;43,9;83,7;86,0;194,1;
BRÄCKE;Kommunal;55;56,1;92,7;~100;226,3;43;43,9;83,7;86,0;194,1;
BURLÖV;Samtliga;95;51,4;71,6;85,3;204,1;90;48,6;61,1;81,1;177,6;
BURLÖV;Kommunal;95;51,4;71,6;85,3;204,1;90;48,6;61,1;81,1;177,6;
BÅSTAD;Samtliga;95;50,5;83,2;90,5;221,4;93;49,5;72,0;84,9;194,6;
BÅSTAD;Kommunal;95;50,5;83,2;90,5;221,4;93;49,5;72,0;84,9;194,6;
DALS-ED;Samtliga;29;46,0;79,3;~100;236,4;34;54,0;73,5;~100;197,2;
DALS-ED;Kommunal;29;46,0;79,3;~100;236,4;34;54,0;73,5;~100;197,2;
DANDERYD;Samtliga;201;53,7;86,6;97,0;244,5;173;46,3;85,5;97,1;230,6;
DANDERYD;Kommunal;198;53,7;87,9;~100;246,4;171;46,3;86,5;~100;232,8;
DANDERYD;Enskild;..;..;.;..;..;..;..;.;.;..;
DEGERFORS;Samtliga;53;42,7;79,2;~100;201,9;71;57,3;62,0;83,1;172,9;
DEGERFORS;Kommunal;53;42,7;79,2;~100;201,9;71;57,3;62,0;83,1;172,9;
DOROTEA;Samtliga;19;45,2;84,2;~100;198,4;23;54,8;56,5;~100;174,6;
DOROTEA;Kommunal;19;45,2;84,2;~100;198,4;23;54,8;56,5;~100;174,6;
EDA;Samtliga;50;47,2;76,0;~100;210,5;56;52,8;71,4;~100;189,3;
EDA;Kommunal;50;47,2;76,0;~100;210,5;56;52,8;71,4;~100;189,3;
EKERÖ;Samtliga;142;48,1;87,3;91,5;228,2;153;51,9;85,6;94,1;213,6;
EKERÖ;Kommunal;142;48,6;87,3;91,5;228,2;150;51,4;86,0;94,7;214,7;
EKERÖ;Enskild;..;..;.;.;.;..;..;..;..;..;
EKSJÖ;Samtliga;107;49,8;86,9;95,3;224,9;108;50,2;78,7;90,7;192,3;
EKSJÖ;Kommunal;107;49,8;86,9;95,3;224,9;108;50,2;78,7;90,7;192,3;
EMMABODA;Samtliga;54;42,5;75,9;88,9;194,4;73;57,5;68,5;83,6;192,3;
EMMABODA;Kommunal;54;42,5;75,9;88,9;194,4;73;57,5;68,5;83,6;192,3;
ENKÖPING;Samtliga;235;48,8;72,3;91,1;205,2;247;51,2;61,5;83,0;180,1;
ENKÖPING;Kommunal;235;48,8;72,3;91,1;205,2;247;51,2;61,5;83,0;180,1;
ESKILSTUNA;Samtliga;512;47,5;73,0;87,1;208,5;566;52,5;60,6;77,7;175,7;
ESKILSTUNA;Kommunal;512;47,5;73,0;87,1;208,5;566;52,5;60,6;77,7;175,7;
ESLÖV;Samtliga;182;50,6;81,3;93,4;222,7;178;49,4;65,7;88,2;190,4;
ESLÖV;Kommunal;182;50,6;81,3;93,4;222,7;178;49,4;65,7;88,2;190,4;
ESSUNGA;Samtliga;36;46,2;88,9;~100;224,7;42;53,8;78,6;~100;205,0;
ESSUNGA;Kommunal;36;46,2;88,9;~100;224,7;42;53,8;78,6;~100;205,0;
FAGERSTA;Samtliga;81;52,6;79,0;85,2;214,9;73;47,4;67,1;83,6;182,8;
FAGERSTA;Kommunal;81;52,6;79,0;85,2;214,9;73;47,4;67,1;83,6;182,8;
FALKENBERG;Samtliga;235;46,3;79,1;90,6;214,0;273;53,7;70,3;84,2;188,7;
FALKENBERG;Kommunal;235;46,3;79,1;90,6;214,0;273;53,7;70,3;84,2;188,7;
FALKÖPING;Samtliga;203;49,0;84,2;93,6;218,9;211;51,0;75,4;87,2;189,0;
FALKÖPING;Kommunal;203;49,0;84,2;93,6;218,9;211;51,0;75,4;87,2;189,0;
FALUN;Samtliga;381;50,5;90,3;97,1;228,7;373;49,5;79,6;90,1;197,8;
FALUN;Kommunal;355;49,7;90,7;97,5;229,4;360;50,3;79,7;90,0;197,8;
FALUN;Enskild;26;66,7;84,6;~100;218,8;13;33,3;76,9;~100;198,1;
FILIPSTAD;Samtliga;41;36,9;90,2;~100;204,9;70;63,1;77,1;~100;182,7;
FILIPSTAD;Kommunal;41;36,9;90,2;~100;204,9;70;63,1;77,1;~100;182,7;
FINSPÅNG;Samtliga;109;46,2;79,8;92,7;213,4;127;53,8;66,9;82,7;175,6;
FINSPÅNG;Kommunal;109;46,2;79,8;92,7;213,4;127;53,8;66,9;82,7;175,6;
FLEN;Samtliga;91;47,6;75,8;86,8;208,7;100;52,4;68,0;92,0;190,6;
FLEN;Kommunal;90;47,6;76,7;86,7;209,4;99;52,4;68,7;91,9;190,6;
FLEN;Enskild;..;..;.;..;..;..;..;.;..;..;
FORSHAGA;Samtliga;67;47,2;74,6;89,6;218,4;75;52,8;70,7;88,0;183,6;
FORSHAGA;Kommunal;67;47,2;74,6;89,6;218,4;75;52,8;70,7;88,0;183,6;
FÄRGELANDA;Samtliga;61;57,5;83,6;~100;210,1;45;42,5;64,4;82,2;166,2;
FÄRGELANDA;Kommunal;61;57,5;83,6;~100;210,1;45;42,5;64,4;82,2;166,2;
