Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2011/12

;;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (16);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (16);
Ale;Samtliga;145;49,0;80,0;90,3;221,1;151;51,0;63,6;79,5;181,7;
Ale;Kommunal;145;49,0;80,0;90,3;221,1;151;51,0;63,6;79,5;181,7;
Alingsås;Samtliga;214;47,0;86,9;93,5;227,3;241;53,0;82,8;91,6;212,7;
Alingsås;Kommunal;173;46,6;84,4;91,9;223,4;198;53,4;79,3;89,9;209,4;
Alingsås;Enskild;41;48,8;97,6;100,0;243,9;43;51,2;100,0;100,0;229,0;
Alvesta;Samtliga;80;47,3;75,0;88,8;216,3;89;52,7;79,8;86,5;202,0;
Alvesta;Kommunal;80;47,3;75,0;88,8;216,3;89;52,7;79,8;86,5;202,0;
Aneby;Samtliga;40;51,3;85,0;~100;187,1;38;48,7;76,3;~100;180,3;
Aneby;Kommunal;40;52,6;85,0;~100;187,1;36;47,4;80,6;~100;185,3;
Aneby;Enskild;..;..;.;.;.;..;..;.;..;..;
Arboga;Samtliga;70;46,1;71,4;87,1;207,2;82;53,9;75,6;84,1;209,5;
Arboga;Kommunal;70;46,1;71,4;87,1;207,2;82;53,9;75,6;84,1;209,5;
Arjeplog;Samtliga;12;37,5;91,7;100,0;232,1;20;62,5;85,0;100,0;208,3;
Arjeplog;Kommunal;12;37,5;91,7;100,0;232,1;20;62,5;85,0;100,0;208,3;
Arvidsjaur;Samtliga;22;33,3;100,0;100,0;223,0;44;66,7;75,0;86,4;190,0;
Arvidsjaur;Kommunal;22;33,3;100,0;100,0;223,0;44;66,7;75,0;86,4;190,0;
Arvika;Samtliga;148;52,5;74,3;85,8;212,6;134;47,5;70,9;82,8;198,5;
Arvika;Kommunal;112;47,1;67,9;83,0;210,3;126;52,9;70,6;82,5;198,7;
Arvika;Enskild;..;..;94,4;~100;219,6;..;..;..;..;..;
Askersund;Samtliga;45;46,9;75,6;80,0;200,3;51;53,1;64,7;80,4;188,9;
Askersund;Kommunal;45;46,9;75,6;80,0;200,3;51;53,1;64,7;80,4;188,9;
Avesta;Samtliga;107;49,3;76,6;83,2;215,9;110;50,7;75,5;89,1;200,2;
Avesta;Kommunal;107;49,3;76,6;83,2;215,9;110;50,7;75,5;89,1;200,2;
Bengtsfors;Samtliga;42;37,5;64,3;~100;210,5;70;62,5;68,6;88,6;198,8;
Bengtsfors;Kommunal;42;37,5;64,3;~100;210,5;70;62,5;68,6;88,6;198,8;
Berg;Samtliga;28;41,8;75,0;~100;190,0;39;58,2;74,4;87,2;201,2;
Berg;Kommunal;28;41,8;75,0;~100;190,0;39;58,2;74,4;87,2;201,2;
Bjurholm;Samtliga;10;34,5;..;..;215,0;19;65,5;68,4;100,0;202,1;
Bjurholm;Kommunal;10;34,5;..;..;215,0;19;65,5;68,4;100,0;202,1;
Bjuv;Samtliga;85;53,1;67,1;82,4;200,1;75;46,9;52,0;92,0;177,9;
Bjuv;Kommunal;73;55,3;64,4;82,2;194,4;59;44,7;45,8;~100;171,5;
Bjuv;Enskild;12;42,9;83,3;~100;234,6;16;57,1;75,0;~100;201,3;
Boden;Samtliga;130;47,3;90,8;95,4;228,5;145;52,7;77,2;84,8;197,5;
Boden;Kommunal;113;47,1;91,2;95,6;228,3;127;52,9;76,4;85,0;196,0;
Boden;Enskild;17;48,6;88,2;~100;230,3;18;51,4;83,3;~100;208,1;
Bollebygd;Samtliga;34;40,0;94,1;~100;242,8;51;60,0;82,4;~100;193,0;
Bollebygd;Kommunal;34;40,0;94,1;~100;242,8;51;60,0;82,4;~100;193,0;
Bollnäs;Samtliga;130;45,9;84,6;87,7;218,9;153;54,1;78,4;85,0;188,0;
Bollnäs;Kommunal;71;43,8;76,1;78,9;205,6;91;56,2;67,0;76,9;178,9;
Bollnäs;Enskild;59;48,8;94,9;~100;234,7;62;51,2;95,2;~100;201,0;
Borgholm;Samtliga;42;41,6;78,6;88,1;225,2;59;58,4;62,7;79,7;180,3;
Borgholm;Kommunal;42;41,6;78,6;88,1;225,2;59;58,4;62,7;79,7;180,3;
