Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2010/11

;;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (16);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (16);
Ale;Samtliga;170;47,0;74,1;85,3;212,5;192;53,0;72,4;82,3;198,7;
Ale;Kommunal;150;46,9;71,3;83,3;207,0;170;53,1;70,0;80,6;193,8;
Ale;Enskild;20;47,6;95,0;100,0;253,0;22;52,4;90,9;~100;235,0;
Alingsås;Samtliga;245;47,6;90,2;95,9;236,5;270;52,4;89,2;94,4;211,1;
Alingsås;Kommunal;204;47,1;88,7;95,1;234,5;229;52,9;88,2;93,4;208,8;
Alingsås;Enskild;41;50,0;97,6;100,0;246,5;41;50,0;95,0;100,0;224,3;
Alvesta;Samtliga;87;39,0;77,0;87,4;206,2;136;61,0;80,9;90,4;195,0;
Alvesta;Kommunal;87;39,0;77,0;87,4;206,2;136;61,0;80,9;90,4;195,0;
Aneby;Samtliga;28;36,4;85,7;~100;217,7;49;63,6;67,3;83,7;181,4;
Aneby;Kommunal;28;36,8;85,7;~100;217,7;48;63,2;68,8;85,4;181,4;
Aneby;Enskild;..;..;.;.;.;..;..;.;.;.;
Arboga;Samtliga;83;50,9;77,1;92,8;224,6;80;49,1;83,8;~100;218,9;
Arboga;Kommunal;83;50,9;77,1;92,8;224,6;80;49,1;83,8;~100;218,9;
Arjeplog;Samtliga;18;54,5;83,3;~100;229,7;15;45,5;..;~100;176,3;
Arjeplog;Kommunal;18;54,5;83,3;~100;229,7;15;45,5;..;~100;176,3;
Arvidsjaur;Samtliga;23;46,9;73,9;100,0;217,4;26;53,1;88,5;100,0;211,2;
Arvidsjaur;Kommunal;23;46,9;73,9;100,0;217,4;26;53,1;88,5;100,0;211,2;
Arvika;Samtliga;147;49,3;72,8;83,7;212,2;151;50,7;75,5;89,4;200,8;
Arvika;Kommunal;119;45,6;68,9;79,8;209,6;142;54,4;74,6;88,7;199,7;
Arvika;Enskild;..;..;89,3;100,0;222,9;..;..;..;..;..;
Askersund;Samtliga;50;41,0;80,0;90,0;219,3;72;59,0;72,2;81,9;188,1;
Askersund;Kommunal;50;41,0;80,0;90,0;219,3;72;59,0;72,2;81,9;188,1;
Avesta;Samtliga;112;49,8;83,0;92,9;229,1;113;50,2;74,3;87,6;194,1;
Avesta;Kommunal;112;49,8;83,0;92,9;229,1;113;50,2;74,3;87,6;194,1;
Bengtsfors;Samtliga;48;46,6;62,5;64,6;201,8;55;53,4;61,8;78,2;186,8;
Bengtsfors;Kommunal;48;46,6;62,5;64,6;201,8;55;53,4;61,8;78,2;186,8;
