Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2006/07

;;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);
Ale;Samtliga;193;47,0;83,4;93,3;216,5;218;53,0;71,6;87,6;187,1;
Ale;Kommunal;177;45,9;82,5;92,7;213,0;209;54,1;70,8;87,1;185,7;
Ale;Enskild;..;..;93,8;100,0;254,7;..;..;..;..;..;
Alingsås;Samtliga;268;47,5;79,2;90,2;222,8;296;52,5;75,5;92,9;203,3;
Alingsås;Kommunal;228;49,5;79,4;89,0;219,5;233;50,5;73,4;92,7;203,3;
Alingsås;Enskild;40;38,8;78,4;~100;243,4;63;61,2;83,6;~100;203,2;
Alvesta;Samtliga;142;50,7;77,5;90,1;213,1;138;49,3;71,7;88,4;187,2;
Alvesta;Kommunal;142;50,7;77,5;90,1;213,1;138;49,3;71,7;88,4;187,2;
Aneby;Samtliga;51;46,4;90,2;~100;210,3;59;53,6;88,1;~100;202,5;
Aneby;Kommunal;50;47,2;92,0;~100;213,6;56;52,8;91,1;~100;204,5;
Aneby;Enskild;..;..;.;.;..;..;..;..;..;..;
Arboga;Samtliga;87;47,8;83,9;94,3;233,5;95;52,2;75,8;~100;204,6;
Arboga;Kommunal;87;47,8;83,9;94,3;233,5;95;52,2;75,8;~100;204,6;
Arjeplog;Samtliga;24;52,2;83,3;~100;228,1;22;47,8;86,4;~100;208,2;
Arjeplog;Kommunal;24;52,2;83,3;~100;228,1;22;47,8;86,4;~100;208,2;
Arvidsjaur;Samtliga;48;55,2;87,5;100,0;230,0;39;44,8;84,6;~100;197,8;
Arvidsjaur;Kommunal;48;55,2;87,5;100,0;230,0;39;44,8;84,6;~100;197,8;
Arvika;Samtliga;168;43,4;83,9;94,0;239,0;219;56,6;77,2;90,4;208,9;
Arvika;Kommunal;156;42,3;82,7;93,6;235,6;213;57,7;76,5;90,1;207,8;
Arvika;Enskild;..;..;100,0;100,0;282,9;..;..;..;..;..;
Askersund;Samtliga;92;54,4;80,4;92,4;219,9;77;45,6;76,6;89,6;204,7;
Askersund;Kommunal;92;54,4;80,4;92,4;219,9;77;45,6;76,6;89,6;204,7;
Avesta;Samtliga;153;50,2;77,8;90,2;217,7;152;49,8;74,3;89,5;187,8;
Avesta;Kommunal;153;50,2;77,8;90,2;217,7;152;49,8;74,3;89,5;187,8;
Bengtsfors;Samtliga;75;49,3;80,0;90,7;218,7;77;50,7;77,9;87,0;179,7;
Bengtsfors;Kommunal;75;49,3;80,0;90,7;218,7;77;50,7;77,9;87,0;179,7;
Berg;Samtliga;54;44,3;87,0;88,9;212,9;68;55,7;88,2;~100;212,5;
Berg;Kommunal;54;44,3;87,0;88,9;212,9;68;55,7;88,2;~100;212,5;
Bjurholm;Samtliga;28;59,6;71,4;~100;203,4;19;40,4;78,9;~100;195,6;
Bjurholm;Kommunal;28;59,6;71,4;~100;203,4;19;40,4;78,9;~100;195,6;
Bjuv;Samtliga;103;49,5;56,3;87,4;190,1;105;50,5;71,4;91,4;187,5;
Bjuv;Kommunal;83;46,1;50,6;86,7;178,7;97;53,9;69,1;90,7;186,0;
Bjuv;Enskild;..;..;80,0;~100;237,0;..;..;..;..;..;
Boden;Samtliga;192;47,5;87,0;93,2;226,0;212;52,5;77,8;87,7;190,8;
Boden;Kommunal;192;47,5;87,0;93,2;226,0;212;52,5;77,8;87,7;190,8;
Bollebygd;Samtliga;64;54,7;82,8;87,5;231,6;53;45,3;83,0;90,6;204,2;
Bollebygd;Kommunal;64;54,7;82,8;87,5;231,6;53;45,3;83,0;90,6;204,2;
Bollnäs;Samtliga;196;49,0;86,2;94,4;213,9;204;51,0;78,4;90,7;185,8;
Bollnäs;Kommunal;196;49,0;86,2;94,4;213,9;204;51,0;78,4;90,7;185,8;
Borgholm;Samtliga;67;44,4;86,6;~100;231,7;84;55,6;82,1;~100;194,6;
Borgholm;Kommunal;67;44,4;86,6;~100;231,7;84;55,6;82,1;~100;194,6;
Borlänge;Samtliga;332;45,0;84,3;93,4;218,7;405;55,0;66,4;88,9;191,5;
Borlänge;Kommunal;318;44,2;86,5;93,1;220,4;401;55,8;66,1;88,8;191,5;
Borlänge;Enskild;..;..;..;100,0;180,7;..;..;..;..;..;
Borås;Samtliga;653;46,8;80,7;88,4;214,6;742;53,2;70,9;83,8;192,7;
Borås;Kommunal;626;47,3;80,5;88,3;214,6;697;52,7;69,4;83,2;191,0;
Borås;Enskild;27;37,5;85,2;~100;214,3;45;62,5;93,3;~100;219,1;
Botkyrka;Samtliga;514;48,2;71,8;87,4;215,7;553;51,8;62,9;83,0;192,1;
Botkyrka;Kommunal;410;46,6;70,0;85,4;210,3;469;53,4;62,9;81,2;189,1;
Botkyrka;Enskild;104;55,3;78,8;95,2;236,8;84;44,7;63,1;92,9;208,2;
Boxholm;Samtliga;41;50,0;82,9;~100;226,7;41;50,0;63,4;87,8;176,8;
Boxholm;Kommunal;41;50,0;82,9;~100;226,7;41;50,0;63,4;87,8;176,8;
Bromölla;Samtliga;114;56,2;80,7;91,2;210,7;89;43,8;78,7;91,0;185,6;
Bromölla;Kommunal;114;56,2;80,7;91,2;210,7;89;43,8;78,7;91,0;185,6;
Bräcke;Samtliga;69;55,6;81,2;92,8;215,6;55;44,4;76,4;80,0;181,1;
Bräcke;Kommunal;69;55,6;81,2;92,8;215,6;55;44,4;76,4;80,0;181,1;
Burlöv;Samtliga;85;45,2;70,6;83,5;196,0;103;54,8;75,7;89,3;196,0;
Burlöv;Kommunal;85;45,2;70,6;83,5;196,0;103;54,8;75,7;89,3;196,0;
Båstad;Samtliga;81;46,6;88,9;~100;220,7;93;53,4;89,2;94,6;204,7;
Båstad;Kommunal;81;46,6;88,9;~100;220,7;93;53,4;89,2;94,6;204,7;
Dals-Ed;Samtliga;25;37,9;80,0;~100;225,0;41;62,1;63,4;78,0;190,9;
Dals-Ed;Kommunal;25;37,9;80,0;~100;225,0;41;62,1;63,4;78,0;190,9;
