Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2009/10

;;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);
Ale;Samtliga;194;50,8;68,0;83,0;201,0;188;49,2;67,6;85,6;185,8;
Ale;Kommunal;180;50,1;67,8;82,8;200,8;179;49,9;67,0;84,9;184,5;
Ale;Enskild;..;..;71,4;~100;203,9;..;..;..;..;..;
Alingsås;Samtliga;265;51,4;86,5;93,8;225,2;251;48,6;79,1;90,4;198,7;
Alingsås;Kommunal;209;51,7;84,7;93,3;223,5;195;48,3;75,9;88,2;192,6;
Alingsås;Enskild;56;50,0;94,1;~100;232,3;56;50,0;90,7;~100;220,6;
Alvesta;Samtliga;105;41,0;93,3;~100;222,0;151;59,0;71,5;81,5;178,9;
Alvesta;Kommunal;105;41,0;93,3;~100;222,0;151;59,0;71,5;81,5;178,9;
Aneby;Samtliga;42;48,3;73,8;85,7;204,1;45;51,7;64,4;88,9;178,6;
Aneby;Kommunal;42;48,8;73,8;85,7;204,1;44;51,2;65,9;~100;181,0;
Aneby;Enskild;..;..;.;.;.;..;..;.;.;..;
Arboga;Samtliga;95;51,4;81,1;89,5;216,7;90;48,6;71,1;85,6;200,2;
Arboga;Kommunal;95;51,4;81,1;89,5;216,7;90;48,6;71,1;85,6;200,2;
Arjeplog;Samtliga;13;37,1;..;~100;192,3;22;62,9;68,2;~100;194,3;
Arjeplog;Kommunal;13;37,1;..;~100;192,3;22;62,9;68,2;~100;194,3;
Arvidsjaur;Samtliga;30;44,1;93,3;100,0;226,0;38;55,9;94,7;100,0;219,1;
Arvidsjaur;Kommunal;30;44,1;93,3;100,0;226,0;38;55,9;94,7;100,0;219,1;
Arvika;Samtliga;123;44,4;82,1;89,4;218,7;154;55,6;76,0;90,9;208,4;
Arvika;Kommunal;95;40,4;83,2;89,5;222,6;140;59,6;74,3;90,7;207,2;
Arvika;Enskild;28;66,7;78,6;~100;205,5;14;33,3;92,9;~100;220,0;
Askersund;Samtliga;54;44,3;70,4;87,0;199,1;68;55,7;54,4;79,4;175,8;
