Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2008/09

;;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);
Ale;Samtliga;200;47,5;75,0;84,5;218,9;221;52,5;65,6;82,4;187,4;
Ale;Kommunal;177;46,6;73,4;83,1;211,9;203;53,4;65,0;82,3;184,5;
Ale;Enskild;23;56,1;87,0;~100;270,4;18;43,9;72,2;~100;219,4;
Alingsås;Samtliga;282;52,3;85,8;96,0;232,4;257;47,7;79,4;91,1;201,6;
Alingsås;Kommunal;221;51,0;85,5;95,9;229,8;212;49,0;78,8;90,1;200,4;
Alingsås;Enskild;61;57,5;87,0;~100;242,7;45;42,5;82,2;~100;207,2;
Alvesta;Samtliga;137;51,5;80,3;89,8;219,9;129;48,5;67,4;87,6;184,8;
Alvesta;Kommunal;137;51,5;80,3;89,8;219,9;129;48,5;67,4;87,6;184,8;
Aneby;Samtliga;55;46,6;80,0;87,3;213,0;63;53,4;65,1;79,4;177,1;
Aneby;Kommunal;54;46,2;81,5;88,9;215,3;63;53,8;65,1;79,4;177,1;
Aneby;Enskild;..;..;.;.;..;..;..;.;.;.;
Arboga;Samtliga;86;50,9;70,9;89,5;217,7;83;49,1;74,7;89,2;200,6;
Arboga;Kommunal;86;50,9;70,9;89,5;217,7;83;49,1;74,7;89,2;200,6;
Arjeplog;Samtliga;20;55,6;90,0;~100;218,8;16;44,4;87,5;~100;201,3;
Arjeplog;Kommunal;20;55,6;90,0;~100;218,8;16;44,4;87,5;~100;201,3;
Arvidsjaur;Samtliga;22;38,6;100,0;100,0;248,4;35;61,4;88,6;~100;198,1;
Arvidsjaur;Kommunal;22;38,6;100,0;100,0;248,4;35;61,4;88,6;~100;198,1;
Arvika;Samtliga;185;49,1;79,5;88,6;221,9;192;50,9;75,5;84,9;203,1;
Arvika;Kommunal;157;46,4;77,7;88,5;218,7;181;53,6;75,1;85,1;202,5;
Arvika;Enskild;28;71,8;89,3;~100;239,1;11;28,2;..;..;212,3;
Askersund;Samtliga;64;46,0;81,3;92,2;219,8;75;54,0;77,3;89,3;181,4;
Askersund;Kommunal;64;46,0;81,3;92,2;219,8;75;54,0;77,3;89,3;181,4;
Avesta;Samtliga;130;44,8;76,9;90,8;218,3;160;55,2;75,0;88,1;190,3;
Avesta;Kommunal;130;44,8;76,9;90,8;218,3;160;55,2;75,0;88,1;190,3;
Bengtsfors;Samtliga;63;47,7;69,8;81,0;208,1;69;52,3;62,3;78,3;182,8;
Bengtsfors;Kommunal;63;47,7;69,8;81,0;208,1;69;52,3;62,3;78,3;182,8;
Berg;Samtliga;48;41,7;89,6;~100;245,2;67;58,3;70,1;88,1;191,5;
Berg;Kommunal;48;41,7;89,6;~100;245,2;67;58,3;70,1;88,1;191,5;
Bjurholm;Samtliga;20;44,4;75,0;~100;220,8;25;55,6;76,0;80,0;198,0;
Bjurholm;Kommunal;20;44,4;75,0;~100;220,8;25;55,6;76,0;80,0;198,0;
Bjuv;Samtliga;105;51,7;72,4;90,5;224,7;98;48,3;55,1;77,6;175,5;
Bjuv;Kommunal;87;50,0;66,7;88,5;220,9;87;50,0;51,7;77,0;172,0;
Bjuv;Enskild;18;62,1;100,0;100,0;242,2;11;37,9;..;..;201,4;
Boden;Samtliga;174;45,3;87,9;93,1;227,4;210;54,7;76,2;87,1;192,7;
Boden;Kommunal;162;44,9;88,3;93,8;225,7;199;55,1;74,9;86,4;190,5;
Boden;Enskild;12;52,2;83,3;~100;252,7;11;47,8;100,0;100,0;232,3;
Bollebygd;Samtliga;63;50,0;85,7;~100;212,8;63;50,0;77,8;90,5;192,0;
Bollebygd;Kommunal;63;50,0;85,7;~100;212,8;63;50,0;77,8;90,5;192,0;
Bollnäs;Samtliga;156;50,2;84,0;94,2;211,4;155;49,8;89,0;94,2;194,3;
Bollnäs;Kommunal;156;50,2;84,0;94,2;211,4;155;49,8;89,0;94,2;194,3;
Borgholm;Samtliga;69;51,5;84,1;~100;225,7;65;48,5;78,5;~100;196,9;
Borgholm;Kommunal;69;51,5;84,1;~100;225,7;65;48,5;78,5;~100;196,9;
Borlänge;Samtliga;278;48,3;77,0;87,8;214,4;297;51,7;67,0;85,9;188,5;
Borlänge;Kommunal;271;48,5;77,5;87,5;214,5;288;51,5;67,4;85,4;189,3;
Borlänge;Enskild;..;..;..;..;..;..;..;..;..;..;
Borås;Samtliga;616;46,7;78,2;87,2;214,4;704;53,3;72,2;83,8;193,9;
Borås;Kommunal;580;46,1;77,9;87,1;214,1;677;53,9;71,5;83,3;193,3;
Borås;Enskild;36;57,1;83,3;~100;218,3;27;42,9;88,9;~100;209,8;
Botkyrka;Samtliga;590;51,2;71,2;82,5;211,5;563;48,8;66,1;84,4;197,4;
Botkyrka;Kommunal;497;51,7;68,4;80,3;205,0;464;48,3;65,9;82,5;192,9;
Botkyrka;Enskild;93;48,4;86,0;94,6;246,6;99;51,6;66,7;92,9;218,4;
Boxholm;Samtliga;36;52,9;69,4;~100;212,6;32;47,1;59,4;81,3;181,9;
Boxholm;Kommunal;36;52,9;69,4;~100;212,6;32;47,1;59,4;81,3;181,9;
Bromölla;Samtliga;77;47,5;77,9;88,3;219,2;85;52,5;68,2;78,8;170,7;
Bromölla;Kommunal;77;47,5;77,9;88,3;219,2;85;52,5;68,2;78,8;170,7;
Bräcke;Samtliga;49;42,6;67,3;77,6;193,2;66;57,4;84,8;90,9;197,6;
Bräcke;Kommunal;49;42,6;67,3;77,6;193,2;66;57,4;84,8;90,9;197,6;
