Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2003/04

;;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);
Danderyd;Kommunal;180;47,5;88,3;~100;259,0;199;52,5;92,5;~100;237,1;
Danderyd;Enskild;..;..;.;..;..;..;..;.;..;..;
Degerfors;Samtliga;72;52,9;81,9;91,7;219,1;64;47,1;65,6;90,6;181,5;
Degerfors;Kommunal;72;52,9;81,9;91,7;219,1;64;47,1;65,6;90,6;181,5;
Dorotea;Samtliga;24;46,2;87,5;~100;219,3;28;53,8;75,0;100,0;175,0;
Dorotea;Kommunal;24;46,2;87,5;~100;219,3;28;53,8;75,0;100,0;175,0;
Eda;Samtliga;50;43,5;78,0;~100;215,8;65;56,5;64,6;90,8;189,1;
Eda;Kommunal;50;43,5;78,0;~100;215,8;65;56,5;64,6;90,8;189,1;
Ekerö;Samtliga;171;46,1;81,3;92,4;217,8;200;53,9;69,9;82,9;192,3;
Ekerö;Kommunal;168;47,7;82,1;93,5;217,5;184;52,3;70,7;83,2;193,1;
Ekerö;Enskild;..;..;..;..;..;..;..;..;..;..;
Eksjö;Samtliga;124;49,0;88,7;95,2;216,6;129;51,0;78,3;93,0;194,1;
Eksjö;Kommunal;124;49,0;88,7;95,2;216,6;129;51,0;78,3;93,0;194,1;
Emmaboda;Samtliga;58;54,7;79,3;~100;220,9;48;45,3;64,6;85,4;188,2;
Emmaboda;Kommunal;58;54,7;79,3;~100;220,9;48;45,3;64,6;85,4;188,2;
Enköping;Samtliga;280;51,6;76,4;92,1;208,2;263;48,4;69,6;89,7;193,4;
Enköping;Kommunal;239;51,6;73,2;90,8;198,3;224;48,4;64,7;87,9;185,5;
Enköping;Enskild;41;51,3;95,1;100,0;266,1;39;48,8;97,4;100,0;238,6;
Eskilstuna;Samtliga;541;47,5;72,3;86,1;199,8;598;52,5;52,3;78,4;173,9;
Eskilstuna;Kommunal;535;47,3;73,1;86,9;201,0;595;52,7;52,4;78,7;174,2;
Eskilstuna;Enskild;..;..;.;..;..;..;..;..;..;..;
Eslöv;Samtliga;204;49,2;84,3;93,6;222,1;211;50,8;68,7;86,3;192,4;
Eslöv;Kommunal;204;49,2;84,3;93,6;222,1;211;50,8;68,7;86,3;192,4;
Essunga;Samtliga;43;53,8;65,1;88,4;195,2;37;46,3;67,6;81,1;196,5;
Essunga;Kommunal;43;53,8;65,1;88,4;195,2;37;46,3;67,6;81,1;196,5;
Fagersta;Samtliga;92;54,8;77,2;88,0;205,7;76;45,2;73,7;86,8;196,1;
Fagersta;Kommunal;92;54,8;77,2;88,0;205,7;76;45,2;73,7;86,8;196,1;
Falkenberg;Samtliga;251;47,6;81,7;89,2;216,4;276;52,4;75,0;86,2;195,8;
Falkenberg;Kommunal;251;47,6;81,7;89,2;216,4;276;52,4;75,0;86,2;195,8;
Falköping;Samtliga;185;43,2;81,6;91,4;227,1;243;56,8;80,2;88,9;197,6;
Falköping;Kommunal;185;43,2;81,6;91,4;227,1;243;56,8;80,2;88,9;197,6;
Falun;Samtliga;377;47,5;87,5;95,2;222,2;417;52,5;80,6;90,6;201,3;
Falun;Kommunal;357;47,5;88,0;95,2;221,4;394;52,5;79,7;90,4;199,4;
Falun;Enskild;20;46,5;80,0;~100;235,3;23;53,5;95,7;~100;234,1;
Filipstad;Samtliga;63;46,7;82,5;~100;212,5;72;53,3;77,8;88,9;186,7;
Filipstad;Kommunal;63;46,7;82,5;~100;212,5;72;53,3;77,8;88,9;186,7;
Finspång;Samtliga;145;49,3;75,9;84,8;211,3;149;50,7;67,8;81,9;189,1;
Finspång;Kommunal;145;49,3;75,9;84,8;211,3;149;50,7;67,8;81,9;189,1;
Flen;Samtliga;127;53,6;75,6;91,3;210,8;110;46,4;69,1;82,7;188,5;
Flen;Kommunal;122;54,0;77,0;91,8;213,7;104;46,0;70,2;84,6;190,0;
Flen;Enskild;..;..;..;..;..;..;..;..;..;..;
Forshaga;Samtliga;83;48,3;83,1;~100;227,4;89;51,7;67,4;85,4;181,9;
Forshaga;Kommunal;83;48,3;83,1;~100;227,4;89;51,7;67,4;85,4;181,9;
Färgelanda;Samtliga;51;43,2;72,5;~100;194,8;67;56,8;71,6;~100;190,5;
Färgelanda;Kommunal;51;43,2;72,5;~100;194,8;67;56,8;71,6;~100;190,5;
Gagnef;Samtliga;77;46,7;90,9;~100;229,5;88;53,3;80,7;93,2;193,7;
Gagnef;Kommunal;77;46,7;90,9;~100;229,5;88;53,3;80,7;93,2;193,7;
Gislaved;Samtliga;224;49,3;82,1;92,4;222,9;230;50,7;63,9;81,7;178,9;
Gislaved;Kommunal;224;49,3;82,1;92,4;222,9;230;50,7;63,9;81,7;178,9;
Gnesta;Samtliga;76;42,9;74,7;89,3;213,9;101;57,1;60,4;79,2;187,0;
Gnesta;Kommunal;67;43,5;83,6;89,6;210,0;87;56,5;70,1;83,9;192,7;
Gnesta;Enskild;..;..;.;..;..;..;..;.;..;150,0;
Gnosjö;Samtliga;100;55,2;78,0;89,0;203,4;81;44,8;51,9;81,5;195,0;
Gnosjö;Kommunal;100;55,2;78,0;89,0;203,4;81;44,8;51,9;81,5;195,0;
Gotland;Samtliga;452;52,6;75,2;88,1;203,8;408;47,4;66,9;83,1;183,8;
Gotland;Kommunal;425;52,5;77,4;89,2;205,4;385;47,5;68,6;84,2;184,7;
Gotland;Enskild;27;54,0;40,7;70,4;177,1;23;46,0;..;65,2;166,7;
Grums;Samtliga;51;45,5;78,4;~100;212,3;61;54,5;59,0;~100;197,4;
Grums;Kommunal;51;45,5;78,4;~100;212,3;61;54,5;59,0;~100;197,4;
Grästorp;Samtliga;46;46,9;76,1;~100;201,6;52;53,1;73,1;90,4;177,6;
Grästorp;Kommunal;46;46,9;76,1;~100;201,6;52;53,1;73,1;90,4;177,6;
Gullspång;Samtliga;49;46,2;77,6;~100;208,5;57;53,8;80,7;~100;208,6;
Gullspång;Kommunal;49;46,2;77,6;~100;208,5;57;53,8;80,7;~100;208,6;
Gällivare;Samtliga;139;55,2;81,3;89,9;227,5;113;44,8;69,0;83,2;193,6;
Gällivare;Kommunal;129;55,6;79,8;89,1;224,1;103;44,4;67,0;82,5;193,0;
Gällivare;Enskild;10;50,0;100,0;100,0;270,0;10;50,0;..;..;199,5;
Gävle;Samtliga;548;48,6;79,9;91,1;216,9;579;51,4;76,2;90,7;196,2;
Gävle;Kommunal;528;48,1;79,4;90,7;215,7;570;51,9;76,1;90,5;195,8;
Gävle;Enskild;..;..;95,0;100,0;249,3;..;..;..;..;..;
Göteborg;Samtliga;2 388;48,1;76,0;88,4;221,3;2 580;51,9;72,1;86,7;201,1;
Göteborg;Kommunal;1 967;47,6;74,0;87,0;216,0;2 165;52,4;70,2;85,2;196,9;
Göteborg;Enskild;421;50,4;86,7;95,7;249,3;415;49,6;83,7;95,5;226,1;
Götene;Samtliga;87;47,8;78,2;87,4;211,7;95;52,2;72,6;85,3;190,5;
Götene;Kommunal;87;47,8;78,2;87,4;211,7;95;52,2;72,6;85,3;190,5;
Habo;Samtliga;90;53,6;83,3;~100;218,7;78;46,4;87,2;93,6;194,9;
Habo;Kommunal;90;53,6;83,3;~100;218,7;78;46,4;87,2;93,6;194,9;
Hagfors;Samtliga;89;46,4;82,0;94,4;221,0;103;53,6;70,9;87,4;186,1;
Hagfors;Kommunal;89;46,4;82,0;94,4;221,0;103;53,6;70,9;87,4;186,1;
Hallsberg;Samtliga;90;40,5;74,4;90,0;211,5;132;59,5;63,6;84,1;177,5;
Hallsberg;Kommunal;90;40,5;74,4;90,0;211,5;132;59,5;63,6;84,1;177,5;
Hallstahammar;Samtliga;122;48,2;67,2;81,1;210,5;131;51,8;65,6;77,9;177,2;
Hallstahammar;Kommunal;122;48,2;67,2;81,1;210,5;131;51,8;65,6;77,9;177,2;
Halmstad;Samtliga;573;51,2;85,5;94,2;222,2;547;48,8;78,2;90,9;201,4;
Halmstad;Kommunal;552;51,5;85,0;94,0;221,4;519;48,5;77,8;90,4;199,9;
Halmstad;Enskild;21;42,9;100,0;100,0;243,8;28;57,1;85,7;100,0;228,0;
Hammarö;Samtliga;91;46,9;90,1;94,5;229,6;103;53,1;93,2;~100;209,4;
Hammarö;Kommunal;91;46,9;90,1;94,5;229,6;103;53,1;93,2;~100;209,4;
Haninge;Samtliga;437;52,1;61,1;82,8;196,1;402;47,9;58,2;83,8;181,2;
Haninge;Kommunal;437;52,1;61,1;82,8;196,1;402;47,9;58,2;83,8;181,2;
Haparanda;Samtliga;69;45,1;85,5;92,8;232,1;84;54,9;67,9;79,8;196,9;
Haparanda;Kommunal;69;45,1;85,5;92,8;232,1;84;54,9;67,9;79,8;196,9;
Heby;Samtliga;113;50,0;77,0;92,9;215,9;113;50,0;80,5;93,8;190,5;
Heby;Kommunal;113;50,0;77,0;92,9;215,9;113;50,0;80,5;93,8;190,5;
Hedemora;Samtliga;116;52,3;78,7;93,5;203,2;106;47,7;74,5;90,2;181,4;
Hedemora;Kommunal;108;51,4;78,7;93,5;203,2;102;48,6;74,5;90,2;181,4;
Hedemora;Enskild;..;..;.;.;.;..;..;.;.;.;
