Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2007/08

;;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);
Ale;Samtliga;208;50,0;71,2;87,5;219,8;208;50,0;70,2;80,3;192,0;
Ale;Kommunal;197;49,9;71,1;86,8;217,1;198;50,1;69,2;79,3;189,4;
Ale;Enskild;11;52,4;..;100,0;267,3;10;47,6;..;100,0;241,5;
Alingsås;Samtliga;274;49,7;80,8;91,5;221,0;277;50,3;74,2;88,0;197,8;
Alingsås;Kommunal;215;47,0;80,0;90,2;218,7;242;53,0;74,0;88,4;198,1;
Alingsås;Enskild;59;62,8;83,9;~100;229,8;35;37,2;75,8;84,8;195,8;
Alvesta;Samtliga;140;50,9;82,1;91,4;208,9;135;49,1;71,1;87,4;186,8;
Alvesta;Kommunal;140;50,9;82,1;91,4;208,9;135;49,1;71,1;87,4;186,8;
Aneby;Samtliga;59;48,8;86,4;~100;222,2;62;51,2;83,9;~100;198,3;
Aneby;Kommunal;58;48,3;87,9;~100;224,0;62;51,7;83,9;~100;198,3;
Aneby;Enskild;..;..;.;..;..;..;..;.;.;.;
Arboga;Samtliga;82;44,6;81,7;~100;229,2;102;55,4;67,6;89,2;199,8;
Arboga;Kommunal;82;44,6;81,7;~100;229,2;102;55,4;67,6;89,2;199,8;
Arjeplog;Samtliga;14;41,2;71,4;~100;192,5;20;58,8;95,0;100,0;218,3;
Arjeplog;Kommunal;14;41,2;71,4;~100;192,5;20;58,8;95,0;100,0;218,3;
Arvidsjaur;Samtliga;49;49,0;81,6;~100;206,1;51;51,0;78,4;88,2;192,5;
Arvidsjaur;Kommunal;49;49,0;81,6;~100;206,1;51;51,0;78,4;88,2;192,5;
Arvika;Samtliga;161;46,4;80,1;91,3;227,2;186;53,6;77,4;87,1;202,9;
Arvika;Kommunal;125;43,1;80,0;92,0;225,2;165;56,9;77,6;87,9;202,9;
Arvika;Enskild;36;63,2;80,6;~100;234,2;21;36,8;76,2;~100;203,1;
Askersund;Samtliga;81;54,4;72,8;88,9;214,1;68;45,6;73,5;86,8;188,0;
Askersund;Kommunal;81;54,4;72,8;88,9;214,1;68;45,6;73,5;86,8;188,0;
Avesta;Samtliga;148;48,7;74,3;91,2;213,2;156;51,3;69,9;88,5;186,1;
Avesta;Kommunal;148;48,7;74,3;91,2;213,2;156;51,3;69,9;88,5;186,1;
Bengtsfors;Samtliga;66;45,8;68,2;86,4;199,7;78;54,2;57,7;87,2;175,8;
Bengtsfors;Kommunal;66;45,8;68,2;86,4;199,7;78;54,2;57,7;87,2;175,8;
Berg;Samtliga;61;52,6;77,0;85,2;221,3;55;47,4;72,7;~100;203,8;
Berg;Kommunal;61;52,6;77,0;85,2;221,3;55;47,4;72,7;~100;203,8;
Bjurholm;Samtliga;19;57,6;68,4;100,0;219,5;14;42,4;..;..;181,1;
Bjurholm;Kommunal;19;57,6;68,4;100,0;219,5;14;42,4;..;..;181,1;
Bjuv;Samtliga;91;47,2;74,7;86,8;208,0;102;52,8;65,7;91,2;190,0;
Bjuv;Kommunal;81;49,1;74,1;87,7;206,3;84;50,9;61,9;89,3;184,7;
Bjuv;Enskild;10;35,7;..;..;221,0;18;64,3;83,3;100,0;215,0;
Boden;Samtliga;195;49,6;80,0;87,2;218,5;198;50,4;75,8;88,9;188,3;
Boden;Kommunal;195;49,6;80,0;87,2;218,5;198;50,4;75,8;88,9;188,3;
Bollebygd;Samtliga;59;49,6;79,7;86,4;212,2;60;50,4;71,7;78,3;183,6;
Bollebygd;Kommunal;59;49,6;79,7;86,4;212,2;60;50,4;71,7;78,3;183,6;
Bollnäs;Samtliga;179;53,9;82,7;93,9;208,5;153;46,1;80,4;93,5;186,8;
Bollnäs;Kommunal;175;53,4;83,4;93,7;209,4;153;46,6;80,4;93,5;186,8;
Bollnäs;Enskild;..;..;..;..;..;..;..;.;.;.;
Borgholm;Samtliga;68;52,7;79,4;~100;226,6;61;47,3;73,8;~100;190,4;
Borgholm;Kommunal;68;52,7;79,4;~100;226,6;61;47,3;73,8;~100;190,4;
Borlänge;Samtliga;322;47,9;74,8;90,1;207,8;350;52,1;68,3;86,9;193,7;
Borlänge;Kommunal;318;48,0;75,5;90,3;208,3;344;52,0;68,6;87,5;194,2;
Borlänge;Enskild;..;..;..;..;..;..;..;..;..;..;
Borås;Samtliga;689;47,8;75,9;85,3;212,0;752;52,2;73,3;86,2;195,8;
Borås;Kommunal;651;47,4;76,0;85,7;212,2;722;52,6;72,9;86,3;195,4;
Borås;Enskild;38;55,9;73,7;78,9;207,9;30;44,1;83,3;83,3;206,0;
Botkyrka;Samtliga;547;48,3;73,9;85,6;216,0;585;51,7;66,7;82,4;193,6;
Botkyrka;Kommunal;448;47,7;73,0;82,8;210,9;491;52,3;65,6;79,8;188,0;
Botkyrka;Enskild;99;51,3;77,8;~100;239,1;94;48,7;72,3;~100;222,3;
Boxholm;Samtliga;41;52,6;73,2;~100;219,4;37;47,4;64,9;~100;195,0;
Boxholm;Kommunal;41;52,6;73,2;~100;219,4;37;47,4;64,9;~100;195,0;
Bromölla;Samtliga;85;50,6;72,9;85,9;203,9;83;49,4;69,9;88,0;188,8;
Bromölla;Kommunal;85;50,6;72,9;85,9;203,9;83;49,4;69,9;88,0;188,8;
Bräcke;Samtliga;39;37,9;82,1;~100;215,9;64;62,1;64,1;70,3;176,0;
Bräcke;Kommunal;39;38,6;82,1;~100;215,9;62;61,4;66,1;72,6;178,2;
Bräcke;Enskild;..;..;.;.;.;..;..;.;.;..;
Burlöv;Samtliga;78;47,9;75,6;92,3;222,3;85;52,1;69,4;83,5;196,7;
Burlöv;Kommunal;78;47,9;75,6;92,3;222,3;85;52,1;69,4;83,5;196,7;
Båstad;Samtliga;98;49,2;88,8;~100;223,7;101;50,8;83,2;94,1;196,3;
Båstad;Kommunal;98;49,2;88,8;~100;223,7;101;50,8;83,2;94,1;196,3;
Dals-Ed;Samtliga;33;50,0;78,8;~100;209,7;33;50,0;78,8;~100;209,1;
Dals-Ed;Kommunal;33;50,0;78,8;~100;209,7;33;50,0;78,8;~100;209,1;
Danderyd;Samtliga;212;45,2;90,6;~100;254,0;257;54,8;93,8;~100;241,7;
Danderyd;Kommunal;141;45,6;91,5;~100;256,1;168;54,4;91,7;~100;234,5;
Danderyd;Enskild;71;44,4;88,7;~100;249,9;89;55,6;97,8;100,0;255,1;
Degerfors;Samtliga;60;44,8;70,0;88,3;198,3;74;55,2;62,2;85,1;172,6;
Degerfors;Kommunal;60;44,8;70,0;88,3;198,3;74;55,2;62,2;85,1;172,6;
Dorotea;Samtliga;18;46,2;72,2;~100;213,3;21;53,8;95,2;~100;193,6;
Dorotea;Kommunal;18;46,2;72,2;~100;213,3;21;53,8;95,2;~100;193,6;
Eda;Samtliga;51;42,9;86,3;~100;218,2;68;57,1;73,5;83,8;196,7;
Eda;Kommunal;51;42,9;86,3;~100;218,2;68;57,1;73,5;83,8;196,7;
Ekerö;Samtliga;184;49,9;84,2;95,1;230,8;185;50,1;77,6;92,9;205,7;
Ekerö;Kommunal;163;49,1;82,8;94,5;225,2;169;50,9;76,3;92,9;204,6;
Ekerö;Enskild;21;56,8;95,2;100,0;273,6;16;43,2;92,9;~100;218,9;
Eksjö;Samtliga;118;47,0;72,9;87,3;204,6;133;53,0;64,7;82,7;177,8;
Eksjö;Kommunal;114;47,3;75,4;87,7;209,0;127;52,7;67,7;85,0;181,8;
Eksjö;Enskild;..;..;.;..;..;..;..;.;..;..;
Emmaboda;Samtliga;79;51,0;74,7;91,1;212,8;76;49,0;76,3;90,8;192,8;
Emmaboda;Kommunal;79;51,0;74,7;91,1;212,8;76;49,0;76,3;90,8;192,8;
Enköping;Samtliga;295;52,5;75,3;89,5;218,6;267;47,5;77,9;88,8;195,8;
Enköping;Kommunal;245;52,6;73,9;89,0;210,3;221;47,4;78,3;88,7;194,5;
Enköping;Enskild;50;52,1;82,0;~100;258,7;46;47,9;76,1;89,1;201,7;
Eskilstuna;Samtliga;647;53,4;75,1;87,5;212,8;565;46,6;70,8;85,1;194,2;
Eskilstuna;Kommunal;585;52,5;74,4;86,7;207,6;530;47,5;70,0;84,3;191,6;
Eskilstuna;Enskild;62;63,9;82,3;~100;261,4;35;36,1;82,9;~100;232,3;
Eslöv;Samtliga;210;47,4;80,0;88,6;220,1;233;52,6;70,8;79,4;191,2;
Eslöv;Kommunal;210;47,4;80,0;88,6;220,1;233;52,6;70,8;79,4;191,2;
Essunga;Samtliga;55;52,4;85,5;~100;230,5;50;47,6;70,0;88,0;186,5;
Essunga;Kommunal;55;52,4;85,5;~100;230,5;50;47,6;70,0;88,0;186,5;
Fagersta;Samtliga;91;50,6;82,4;87,9;211,6;89;49,4;73,0;80,9;189,0;
Fagersta;Kommunal;91;50,6;82,4;87,9;211,6;89;49,4;73,0;80,9;189,0;
Falkenberg;Samtliga;339;56,3;77,3;89,4;216,6;263;43,7;74,9;89,4;190,3;
Falkenberg;Kommunal;339;56,3;77,3;89,4;216,6;263;43,7;74,9;89,4;190,3;
Falköping;Samtliga;235;52,5;83,4;92,8;217,4;213;47,5;69,0;86,9;187,5;
Falköping;Kommunal;235;52,7;83,4;92,8;217,4;211;47,3;69,7;87,7;188,3;
Falköping;Enskild;..;..;.;.;.;..;..;.;.;..;
Falun;Samtliga;388;48,5;80,7;90,5;219,4;412;51,5;83,3;92,2;200,5;
Falun;Kommunal;352;47,3;81,0;90,9;217,7;392;52,7;82,9;92,1;199,8;
Falun;Enskild;36;64,3;77,8;86,1;235,3;20;35,7;90,0;~100;213,8;
Filipstad;Samtliga;74;51,7;70,3;79,7;204,4;69;48,3;73,9;85,5;205,9;
Filipstad;Kommunal;74;51,7;70,3;79,7;204,4;69;48,3;73,9;85,5;205,9;
Finspång;Samtliga;142;52,0;81,7;90,1;211,2;131;48,0;69,5;82,4;183,7;
Finspång;Kommunal;142;52,0;81,7;90,1;211,2;131;48,0;69,5;82,4;183,7;
Flen;Samtliga;100;43,3;76,0;86,0;211,7;131;56,7;61,1;79,4;179,6;
Flen;Kommunal;99;44,4;75,8;85,9;212,1;124;55,6;63,7;79,8;182,6;
Flen;Enskild;..;..;..;..;..;..;..;..;..;..;
Forshaga;Samtliga;95;51,6;83,2;89,5;213,8;89;48,4;82,0;~100;199,1;
Forshaga;Kommunal;95;51,6;83,2;89,5;213,8;89;48,4;82,0;~100;199,1;
Färgelanda;Samtliga;61;53,0;85,2;~100;222,1;54;47,0;55,6;87,0;188,5;
Färgelanda;Kommunal;61;53,0;85,2;~100;222,1;54;47,0;55,6;87,0;188,5;
Gagnef;Samtliga;78;50,6;88,5;~100;221,9;76;49,4;82,9;93,4;201,3;
Gagnef;Kommunal;78;50,6;88,5;~100;221,9;76;49,4;82,9;93,4;201,3;
Gislaved;Samtliga;213;45,1;81,2;89,7;217,5;259;54,9;63,7;83,0;182,2;
Gislaved;Kommunal;213;45,1;81,2;89,7;217,5;259;54,9;63,7;83,0;182,2;
Gnesta;Samtliga;81;47,1;82,7;91,4;229,7;91;52,9;72,5;87,9;192,8;
Gnesta;Kommunal;79;47,0;84,8;93,7;235,3;89;53,0;73,0;88,8;193,5;
Gnesta;Enskild;..;..;.;.;..;..;..;..;..;..;
Gnosjö;Samtliga;74;44,8;78,4;87,8;210,2;91;55,2;61,5;83,5;185,8;
Gnosjö;Kommunal;74;44,8;78,4;87,8;210,2;91;55,2;61,5;83,5;185,8;
Gotland;Samtliga;403;47,9;80,0;88,3;212,8;438;52,1;75,2;87,8;194,8;
Gotland;Kommunal;367;48,3;82,3;89,1;215,4;393;51,7;76,1;87,8;194,3;
Gotland;Enskild;36;44,4;54,5;78,8;183,6;45;55,6;67,4;88,4;200,1;
Grums;Samtliga;81;57,4;71,6;86,4;210,0;60;42,6;51,7;75,0;166,4;
Grums;Kommunal;81;57,4;71,6;86,4;210,0;60;42,6;51,7;75,0;166,4;
Grästorp;Samtliga;45;47,4;88,9;~100;210,6;50;52,6;80,0;~100;205,0;
Grästorp;Kommunal;45;47,4;88,9;~100;210,6;50;52,6;80,0;~100;205,0;
Gullspång;Samtliga;57;55,9;73,7;84,2;212,1;45;44,1;71,1;86,7;188,8;
Gullspång;Kommunal;57;55,9;73,7;84,2;212,1;45;44,1;71,1;86,7;188,8;
Gällivare;Samtliga;117;43,5;86,3;91,5;233,4;152;56,5;77,0;87,5;216,6;
Gällivare;Kommunal;104;41,8;85,6;91,3;235,2;145;58,2;76,6;87,6;216,9;
Gällivare;Enskild;..;..;92,3;~100;218,8;..;..;..;..;..;
Gävle;Samtliga;614;49,1;79,3;90,1;219,6;636;50,9;69,7;85,2;188,3;
Gävle;Kommunal;497;49,7;76,9;88,1;212,8;502;50,3;67,7;82,3;182,0;
Gävle;Enskild;117;46,6;89,7;~100;247,4;134;53,4;76,9;96,3;211,0;
Göteborg;Samtliga;2 506;48,2;76,0;87,9;224,9;2 696;51,8;69,2;86,6;203,9;
Göteborg;Kommunal;1 993;48,3;73,3;86,5;220,0;2 136;51,7;66,2;84,8;198,5;
Göteborg;Enskild;513;47,8;87,9;94,2;245,9;560;52,2;81,6;94,4;226,7;
Götene;Samtliga;92;47,2;92,4;~100;228,4;103;52,8;79,6;91,3;196,6;
Götene;Kommunal;92;47,2;92,4;~100;228,4;103;52,8;79,6;91,3;196,6;
Habo;Samtliga;85;53,8;85,9;90,6;225,2;73;46,2;84,9;89,0;205,4;
Habo;Kommunal;85;53,8;85,9;90,6;225,2;73;46,2;84,9;89,0;205,4;
Hagfors;Samtliga;78;45,9;71,8;82,1;203,1;92;54,1;56,5;76,1;173,4;
Hagfors;Kommunal;78;45,9;71,8;82,1;203,1;92;54,1;56,5;76,1;173,4;
Hallsberg;Samtliga;99;49,3;69,7;83,8;216,4;102;50,7;53,9;80,4;180,0;
Hallsberg;Kommunal;99;49,3;69,7;83,8;216,4;102;50,7;53,9;80,4;180,0;
Hallstahammar;Samtliga;140;56,0;78,6;89,3;220,5;110;44,0;67,3;82,7;174,2;
Hallstahammar;Kommunal;140;56,0;78,6;89,3;220,5;110;44,0;67,3;82,7;174,2;
Halmstad;Samtliga;581;49,8;84,5;92,3;222,8;586;50,2;79,5;92,2;200,5;
Halmstad;Kommunal;550;49,5;84,0;92,0;221,5;561;50,5;79,3;92,3;199,6;
Halmstad;Enskild;31;55,4;93,5;~100;246,0;25;44,6;84,0;~100;223,3;
Hammarö;Samtliga;121;48,4;89,3;~100;233,1;129;51,6;91,5;~100;218,0;
Hammarö;Kommunal;121;48,4;89,3;~100;233,1;129;51,6;91,5;~100;218,0;
Haninge;Samtliga;478;50,5;70,5;85,8;212,9;469;49,5;62,3;80,8;185,6;
Haninge;Kommunal;424;49,8;70,0;86,1;213,2;428;50,2;62,1;81,1;187,5;
