Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2013/14

;;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (16);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (16);
Ale;Samtliga;142;48,0;69,0;83,1;207,5;154;52,0;55,2;81,2;183,0;
Ale;Kommunal;131;48,0;66,4;81,7;206,0;142;52,0;52,8;80,3;180,5;
Ale;Enskild;11;47,8;100,0;100,0;225,2;12;52,2;83,3;~100;211,0;
Alingsås;Samtliga;200;48,7;86,5;92,0;235,1;211;51,3;79,6;91,9;211,6;
Alingsås;Kommunal;161;49,8;85,7;90,7;232,0;162;50,2;75,9;90,7;204,8;
Alingsås;Enskild;39;44,3;89,7;~100;247,4;49;55,7;91,8;~100;233,4;
Alvesta;Samtliga;80;40,6;81,3;90,0;221,5;117;59,4;63,2;80,3;190,9;
Alvesta;Kommunal;80;40,6;81,3;90,0;221,5;117;59,4;63,2;80,3;190,9;
Aneby;Samtliga;23;39,0;91,3;~100;229,0;36;61,0;75,0;~100;212,5;
Aneby;Kommunal;23;39,7;91,3;~100;229,0;35;60,3;77,1;~100;213,4;
Aneby;Enskild;..;..;.;.;.;..;..;.;.;..;
Arboga;Samtliga;79;56,4;77,2;89,9;213,6;61;43,6;82,0;91,8;218,2;
Arboga;Kommunal;79;56,4;77,2;89,9;213,6;61;43,6;82,0;91,8;218,2;
Arjeplog;Samtliga;15;42,9;73,3;~100;204,3;20;57,1;70,0;~100;198,8;
Arjeplog;Kommunal;15;42,9;73,3;~100;204,3;20;57,1;70,0;~100;198,8;
Arvidsjaur;Samtliga;29;49,2;62,1;69,0;207,1;30;50,8;60,0;80,0;195,9;
Arvidsjaur;Kommunal;29;49,2;62,1;69,0;207,1;30;50,8;60,0;80,0;195,9;
Arvika;Samtliga;126;46,5;81,0;88,9;221,5;145;53,5;69,7;86,2;201,0;
Arvika;Kommunal;104;43,2;77,9;87,5;219,1;137;56,8;67,9;85,4;198,4;
Arvika;Enskild;..;..;95,5;~100;232,6;..;..;..;..;..;
Askersund;Samtliga;56;48,3;69,6;85,7;211,0;60;51,7;71,7;85,0;199,4;
Askersund;Kommunal;56;48,3;69,6;85,7;211,0;60;51,7;71,7;85,0;199,4;
Avesta;Samtliga;100;46,3;68,0;76,0;204,4;116;53,7;63,8;76,7;184,8;
Avesta;Kommunal;100;46,3;68,0;76,0;204,4;116;53,7;63,8;76,7;184,8;
Bengtsfors;Samtliga;40;45,5;80,0;82,5;223,4;48;54,5;62,5;77,1;194,9;
Bengtsfors;Kommunal;40;45,5;80,0;82,5;223,4;48;54,5;62,5;77,1;194,9;
Berg;Samtliga;33;47,8;81,8;~100;235,2;36;52,2;66,7;77,8;180,2;
Berg;Kommunal;33;47,8;81,8;~100;235,2;36;52,2;66,7;77,8;180,2;
Bjurholm;Samtliga;11;35,5;90,9;~100;228,4;20;64,5;70,0;~100;185,8;
Bjurholm;Kommunal;11;35,5;90,9;~100;228,4;20;64,5;70,0;~100;185,8;
Bjuv;Samtliga;72;50,3;80,6;91,7;222,7;71;49,7;71,8;88,7;199,3;
Bjuv;Kommunal;53;43,4;77,4;90,6;213,8;69;56,6;72,5;88,4;199,0;
Bjuv;Enskild;..;..;89,5;~100;247,6;..;..;..;..;..;
Boden;Samtliga;121;45,7;90,1;94,2;235,2;144;54,3;84,7;93,1;215,1;
Boden;Kommunal;86;48,9;89,5;~100;233,8;90;51,1;81,1;91,1;213,1;
Boden;Enskild;35;39,3;91,4;~100;238,9;54;60,7;90,7;~100;218,5;
Bollebygd;Samtliga;39;45,3;74,4;76,9;215,3;47;54,7;72,3;~100;203,7;
Bollebygd;Kommunal;39;45,3;74,4;76,9;215,3;47;54,7;72,3;~100;203,7;
Bollnäs;Samtliga;118;44,4;83,1;84,7;219,0;148;55,6;70,9;78,4;183,0;
Bollnäs;Kommunal;76;47,8;73,7;76,3;206,0;83;52,2;51,8;62,7;161,0;
Bollnäs;Enskild;42;39,3;100,0;100,0;241,9;65;60,7;95,4;~100;210,8;
Borgholm;Samtliga;44;47,8;77,3;81,8;220,9;48;52,2;79,2;~100;213,1;
Borgholm;Kommunal;44;47,8;77,3;81,8;220,9;48;52,2;79,2;~100;213,1;
Borlänge;Samtliga;258;49,4;68,2;83,3;211,5;264;50,6;70,5;84,5;195,3;
Borlänge;Kommunal;233;48,1;67,4;83,3;212,3;251;51,9;70,9;85,3;195,7;
Borlänge;Enskild;25;65,8;76,0;~100;203,5;13;34,2;..;..;184,3;
Borås;Samtliga;508;48,1;82,1;88,8;229,5;549;51,9;77,0;88,0;208,5;
Borås;Kommunal;405;46,9;80,2;88,4;225,7;458;53,1;74,7;87,1;202,9;
Borås;Enskild;103;53,1;89,3;90,3;244,2;91;46,9;89,0;92,3;236,1;
Botkyrka;Samtliga;452;47,0;71,5;82,7;217,7;509;53,0;63,5;78,2;191,4;
Botkyrka;Kommunal;401;47,1;71,1;83,3;216,1;450;52,9;59,8;76,0;185,9;
Botkyrka;Enskild;51;46,4;74,5;78,4;229,7;59;53,6;91,5;~100;232,1;
Boxholm;Samtliga;22;43,1;54,5;72,7;188,3;29;56,9;69,0;~100;186,7;
Boxholm;Kommunal;22;43,1;54,5;72,7;188,3;29;56,9;69,0;~100;186,7;
Bromölla;Samtliga;69;50,7;88,4;92,8;221,5;67;49,3;68,7;80,6;186,4;
Bromölla;Kommunal;69;50,7;88,4;92,8;221,5;67;49,3;68,7;80,6;186,4;
Bräcke;Samtliga;31;41,9;74,2;~100;221,2;43;58,1;81,4;88,4;197,8;
Bräcke;Kommunal;31;41,9;74,2;~100;221,2;43;58,1;81,4;88,4;197,8;
Burlöv;Samtliga;87;47,5;81,6;85,1;215,8;96;52,5;72,9;80,2;199,0;
Burlöv;Kommunal;87;47,5;81,6;85,1;215,8;96;52,5;72,9;80,2;199,0;
Båstad;Samtliga;59;44,0;83,1;91,5;226,4;75;56,0;90,7;~100;218,7;
Båstad;Kommunal;59;44,0;83,1;91,5;226,4;75;56,0;90,7;~100;218,7;
Dals-Ed;Samtliga;24;54,5;79,2;~100;222,9;20;45,5;65,0;~100;203,3;
Dals-Ed;Kommunal;24;54,5;79,2;~100;222,9;20;45,5;65,0;~100;203,3;
Danderyd;Samtliga;235;49,3;96,2;~100;259,1;242;50,7;89,7;97,5;230,9;
Danderyd;Kommunal;131;45,3;96,2;~100;261,4;158;54,7;88,6;~100;232,3;
Danderyd;Enskild;104;55,3;96,2;~100;256,2;84;44,7;91,7;~100;228,3;
Degerfors;Samtliga;40;43,0;60,0;77,5;214,7;53;57,0;64,2;79,2;190,2;
Degerfors;Kommunal;40;43,0;60,0;77,5;214,7;53;57,0;64,2;79,2;190,2;
Dorotea;Samtliga;14;56,0;100,0;100,0;223,0;11;44,0;90,9;~100;214,8;
Dorotea;Kommunal;14;56,0;100,0;100,0;223,0;11;44,0;90,9;~100;214,8;
Eda;Samtliga;30;44,8;73,3;~100;207,9;37;55,2;81,1;~100;204,9;
Eda;Kommunal;30;44,8;73,3;~100;207,9;37;55,2;81,1;~100;204,9;
Ekerö;Samtliga;126;43,2;90,5;95,2;248,2;166;56,8;84,9;92,8;220,7;
Ekerö;Kommunal;105;42,3;89,5;95,2;245,3;143;57,7;85,3;91,6;216,4;
Ekerö;Enskild;21;47,7;95,2;~100;262,9;23;52,3;82,6;100,0;247,2;
Eksjö;Samtliga;87;46,5;72,4;82,8;223,2;100;53,5;58,0;79,0;185,1;
Eksjö;Kommunal;85;48,6;74,1;84,7;225,1;90;51,4;64,4;83,3;194,3;
Eksjö;Enskild;..;..;.;.;..;..;..;.;..;..;
Emmaboda;Samtliga;48;47,1;85,4;85,4;218,8;54;52,9;59,3;64,8;177,1;
Emmaboda;Kommunal;48;47,1;85,4;85,4;218,8;54;52,9;59,3;64,8;177,1;
Enköping;Samtliga;218;50,2;78,9;86,7;215,5;216;49,8;73,6;87,0;194,9;
Enköping;Kommunal;154;46,8;74,0;85,1;210,0;175;53,2;73,1;86,3;194,1;
Enköping;Enskild;64;61,0;90,6;90,6;228,9;41;39,0;75,6;~100;198,3;
Eskilstuna;Samtliga;543;49,6;78,1;84,9;226,6;552;50,4;72,1;80,4;201,4;
Eskilstuna;Kommunal;419;48,4;73,7;80,4;212,7;447;51,6;66,4;75,8;188,7;
Eskilstuna;Enskild;124;54,1;92,7;100,0;272,5;105;45,9;96,2;100,0;252,8;
Eslöv;Samtliga;169;46,8;79,3;90,5;223,5;192;53,2;73,4;85,4;200,9;
Eslöv;Kommunal;169;46,8;79,3;90,5;223,5;192;53,2;73,4;85,4;200,9;
Essunga;Samtliga;30;48,4;90,0;~100;223,6;32;51,6;81,3;~100;195,2;
Essunga;Kommunal;30;48,4;90,0;~100;223,6;32;51,6;81,3;~100;195,2;
Fagersta;Samtliga;65;41,1;72,3;76,9;215,8;93;58,9;65,6;74,2;172,1;
Fagersta;Kommunal;55;40,7;69,1;72,7;215,9;80;59,3;63,8;70,0;168,0;
Fagersta;Enskild;10;43,5;..;100,0;215,3;13;56,5;76,9;100,0;195,6;
Falkenberg;Samtliga;206;45,5;83,5;88,3;231,0;247;54,5;72,1;83,4;196,2;
Falkenberg;Kommunal;188;46,8;82,4;87,8;227,2;214;53,2;68,2;80,8;188,4;
Falkenberg;Enskild;18;35,3;94,4;~100;270,3;33;64,7;97,0;100,0;246,5;
Falköping;Samtliga;155;44,5;70,3;76,1;207,5;193;55,5;63,2;75,6;183,2;
Falköping;Kommunal;155;44,8;70,3;76,1;207,5;191;55,2;63,9;76,4;184,8;
Falköping;Enskild;..;..;.;.;.;..;..;.;.;..;
Falun;Samtliga;338;55,7;76,6;88,2;221,2;269;44,3;77,7;84,4;199,5;
Falun;Kommunal;287;54,3;77,4;88,9;221,1;242;45,7;76,4;83,1;196,9;
Falun;Enskild;51;65,4;72,5;84,3;221,8;27;34,6;88,9;~100;223,1;
Filipstad;Samtliga;61;57,0;78,7;83,6;207,0;46;43,0;82,6;~100;210,2;
Filipstad;Kommunal;61;57,0;78,7;83,6;207,0;46;43,0;82,6;~100;210,2;
Finspång;Samtliga;95;45,0;77,9;85,3;206,7;116;55,0;74,1;81,9;200,8;
Finspång;Kommunal;95;45,0;77,9;85,3;206,7;116;55,0;74,1;81,9;200,8;
Flen;Samtliga;82;49,4;58,5;69,5;182,3;84;50,6;65,5;86,9;195,2;
Flen;Kommunal;81;49,7;58,0;69,1;181,5;82;50,3;64,6;86,6;193,5;
Flen;Enskild;..;..;..;..;..;..;..;..;..;..;
Forshaga;Samtliga;81;56,6;75,3;85,2;205,0;62;43,4;69,4;85,5;193,0;
Forshaga;Kommunal;81;56,6;75,3;85,2;205,0;62;43,4;69,4;85,5;193,0;
Färgelanda;Samtliga;36;51,4;69,4;77,8;195,8;34;48,6;67,6;79,4;193,9;
Färgelanda;Kommunal;36;51,4;69,4;77,8;195,8;34;48,6;67,6;79,4;193,9;
Gagnef;Samtliga;39;34,2;94,9;100,0;241,9;75;65,8;86,7;89,3;203,7;
Gagnef;Kommunal;39;34,2;94,9;100,0;241,9;75;65,8;86,7;89,3;203,7;
Gislaved;Samtliga;169;49,7;74,0;81,7;211,4;171;50,3;63,7;77,2;183,4;
Gislaved;Kommunal;160;48,8;73,1;81,3;209,4;168;51,2;63,7;76,8;183,1;
Gislaved;Enskild;..;..;..;..;..;..;..;..;..;..;
Gnesta;Samtliga;44;50,0;86,4;~100;226,4;44;50,0;81,8;88,6;198,1;
Gnesta;Kommunal;40;47,6;87,5;~100;225,9;44;52,4;81,8;88,6;198,1;
Gnesta;Enskild;..;..;..;..;..;..;..;.;.;.;
Gnosjö;Samtliga;70;55,6;77,1;81,4;212,5;56;44,4;69,6;82,1;183,0;
Gnosjö;Kommunal;70;55,6;77,1;81,4;212,5;56;44,4;69,6;82,1;183,0;
Gotland;Samtliga;224;46,0;78,6;87,1;226,1;263;54,0;76,8;86,3;207,3;
Gotland;Kommunal;188;45,1;78,7;86,2;224,8;229;54,9;76,9;86,5;205,9;
Gotland;Enskild;36;51,4;77,8;~100;232,8;34;48,6;76,5;85,3;217,8;
Grums;Samtliga;31;41,3;80,6;~100;206,1;44;58,7;75,0;77,3;200,5;
Grums;Kommunal;31;41,3;80,6;~100;206,1;44;58,7;75,0;77,3;200,5;
Grästorp;Samtliga;29;46,0;86,2;~100;223,6;34;54,0;70,6;~100;192,9;
Grästorp;Kommunal;29;46,0;86,2;~100;223,6;34;54,0;70,6;~100;192,9;
Gullspång;Samtliga;28;45,2;75,0;78,6;203,2;34;54,8;55,9;61,8;177,2;
Gullspång;Kommunal;28;45,2;75,0;78,6;203,2;34;54,8;55,9;61,8;177,2;
Gällivare;Samtliga;82;52,2;91,5;93,9;239,6;75;47,8;82,7;92,0;210,5;
Gällivare;Kommunal;73;53,7;90,4;93,2;236,5;63;46,3;84,1;92,1;209,4;
Gällivare;Enskild;..;..;..;..;..;..;..;..;~100;216,4;
Gävle;Samtliga;504;48,3;78,8;88,7;223,2;540;51,7;69,6;85,9;193,4;
Gävle;Kommunal;349;49,0;76,8;85,7;215,5;363;51,0;66,1;82,6;185,4;
Gävle;Enskild;155;46,7;83,2;95,5;240,1;177;53,3;76,8;92,7;209,4;
Göteborg;Samtliga;2 316;48,1;75,1;85,2;224,5;2 499;51,9;71,3;84,2;206,2;
Göteborg;Kommunal;1 563;47,2;70,5;81,2;215,9;1 750;52,8;67,4;80,8;198,7;
Göteborg;Enskild;753;50,1;85,0;93,9;242,5;749;49,9;80,8;92,3;224,4;
Götene;Samtliga;47;39,5;83,0;85,1;213,2;72;60,5;80,6;87,5;196,2;
Götene;Kommunal;47;39,5;83,0;85,1;213,2;72;60,5;80,6;87,5;196,2;
Habo;Samtliga;62;47,7;93,5;~100;231,8;68;52,3;77,9;88,2;205,1;
Habo;Kommunal;62;47,7;93,5;~100;231,8;68;52,3;77,9;88,2;205,1;
Hagfors;Samtliga;52;43,3;78,8;88,5;205,0;68;56,7;70,6;82,4;185,4;
Hagfors;Kommunal;52;43,3;78,8;88,5;205,0;68;56,7;70,6;82,4;185,4;
Hallsberg;Samtliga;73;43,5;75,3;83,6;215,0;95;56,5;68,4;83,2;192,7;
Hallsberg;Kommunal;73;43,5;75,3;83,6;215,0;95;56,5;68,4;83,2;192,7;
Hallstahammar;Samtliga;67;41,4;82,1;88,1;230,5;95;58,6;73,7;78,9;197,9;
Hallstahammar;Kommunal;67;41,4;82,1;88,1;230,5;95;58,6;73,7;78,9;197,9;
Halmstad;Samtliga;432;49,4;87,7;94,0;227,7;442;50,6;84,2;90,5;205,9;
Halmstad;Kommunal;390;49,0;87,4;93,8;225,9;406;51,0;83,5;90,1;204,9;
Halmstad;Enskild;42;53,8;90,5;~100;244,0;36;46,2;91,7;~100;218,1;
Hammarö;Samtliga;78;48,8;93,6;~100;249,5;82;51,3;92,7;~100;230,4;
Hammarö;Kommunal;78;48,8;93,6;~100;249,5;82;51,3;92,7;~100;230,4;
Haninge;Samtliga;343;46,5;74,9;84,8;213,3;394;53,5;70,1;81,5;198,9;
Haninge;Kommunal;277;44,5;73,3;81,9;210,0;346;55,5;70,2;80,6;198,3;
Haninge;Enskild;66;57,9;81,8;~100;227,0;48;42,1;68,8;87,5;203,1;
Haparanda;Samtliga;49;42,6;71,4;77,6;222,8;66;57,4;59,1;72,7;186,8;
Haparanda;Kommunal;49;42,6;71,4;77,6;222,8;66;57,4;59,1;72,7;186,8;
Heby;Samtliga;65;50,8;86,2;~100;227,3;63;49,2;71,4;85,7;187,5;
Heby;Kommunal;65;50,8;86,2;~100;227,3;63;49,2;71,4;85,7;187,5;
Hedemora;Samtliga;76;50,3;85,5;90,8;224,8;75;49,7;84,0;86,7;200,9;
Hedemora;Kommunal;62;49,2;85,5;90,3;229,4;64;50,8;84,4;87,5;200,7;
Hedemora;Enskild;14;56,0;85,7;~100;204,6;11;44,0;..;..;201,6;
Helsingborg;Samtliga;659;49,0;83,8;90,0;236,6;687;51,0;74,7;84,6;203,0;
Helsingborg;Kommunal;413;49,3;81,6;88,1;235,4;425;50,7;70,6;81,4;199,6;
Helsingborg;Enskild;246;48,4;87,4;93,1;238,6;262;51,6;81,3;89,7;208,7;
Herrljunga;Samtliga;51;56,7;84,3;~100;221,1;39;43,3;66,7;82,1;197,4;
Herrljunga;Kommunal;51;56,7;84,3;~100;221,1;39;43,3;66,7;82,1;197,4;
Hjo;Samtliga;47;54,0;89,4;~100;235,7;40;46,0;80,0;87,5;184,7;
Hjo;Kommunal;47;54,0;89,4;~100;235,7;40;46,0;80,0;87,5;184,7;
Hofors;Samtliga;46;46,9;80,4;84,8;214,4;52;53,1;57,7;67,3;176,0;
Hofors;Kommunal;46;46,9;80,4;84,8;214,4;52;53,1;57,7;67,3;176,0;
Huddinge;Samtliga;540;50,6;83,1;89,8;231,4;527;49,4;83,7;90,7;214,1;
Huddinge;Kommunal;487;50,7;83,2;89,3;230,5;474;49,3;83,1;90,1;211,4;
Huddinge;Enskild;53;50,0;83,0;~100;239,5;53;50,0;88,7;~100;238,0;
Hudiksvall;Samtliga;209;52,5;71,8;85,6;214,9;189;47,5;68,8;83,6;190,4;
Hudiksvall;Kommunal;187;52,7;74,3;84,5;214,6;168;47,3;68,5;82,1;191,0;
Hudiksvall;Enskild;22;51,2;50,0;~100;217,6;21;48,8;71,4;~100;185,6;
Hultsfred;Samtliga;68;56,2;82,4;85,3;218,9;53;43,8;83,0;84,9;211,1;
Hultsfred;Kommunal;58;56,3;82,8;86,2;221,6;45;43,7;84,4;86,7;209,6;
Hultsfred;Enskild;..;..;..;..;203,3;..;..;..;..;..;
Hylte;Samtliga;47;45,2;83,0;~100;248,2;57;54,8;78,9;~100;201,8;
Hylte;Kommunal;45;44,6;82,2;~100;245,4;56;55,4;78,6;~100;200,1;
Hylte;Enskild;..;..;..;..;..;..;..;..;..;..;
Håbo;Samtliga;114;49,6;72,8;90,4;219,3;116;50,4;72,4;95,7;198,8;
Håbo;Kommunal;94;50,5;69,1;88,3;211,5;92;49,5;66,3;94,6;192,6;
Håbo;Enskild;20;45,5;90,0;100,0;255,9;24;54,5;95,8;100,0;222,2;
Hällefors;Samtliga;34;44,7;73,5;85,3;204,6;42;55,3;52,4;73,8;182,1;
Hällefors;Kommunal;34;44,7;73,5;85,3;204,6;42;55,3;52,4;73,8;182,1;
