Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2017/18

;;Samtliga elever;Samtliga elever;Samtliga elever;Samtliga elever;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);
Borås;Samtliga;1 255;73,1;82,9;228,9;601;47,9;78,2;85,7;243,7;654;52,1;68,5;80,4;215,1;
Borås;Kommunal;1 026;69,7;80,0;221,9;480;46,8;74,6;82,5;235,8;546;53,2;65,4;77,8;209,4;
Borås;Enskild;229;88,6;96,1;259,7;121;52,8;92,6;~100;274,5;108;47,2;84,3;93,5;243,2;
Botkyrka;Samtliga;942;68,0;83,0;217,5;449;47,7;70,8;85,7;229,2;493;52,3;65,5;80,5;206,7;
Botkyrka;Kommunal;811;66,7;81,8;214,4;377;46,5;68,2;84,1;224,0;434;53,5;65,4;79,7;206,1;
Botkyrka;Enskild;131;76,3;90,8;236,4;72;55,0;84,7;~100;257,6;59;45,0;66,1;86,4;211,4;
Boxholm;Samtliga;48;64,6;77,1;210,4;25;52,1;64,0;76,0;223,9;23;47,9;65,2;78,3;195,1;
Boxholm;Kommunal;48;64,6;77,1;210,4;25;52,1;64,0;76,0;223,9;23;47,9;65,2;78,3;195,1;
Bromölla;Samtliga;145;71,7;80,0;214,2;71;49,0;77,5;84,5;235,3;74;51,0;66,2;75,7;193,9;
Bromölla;Kommunal;145;71,7;80,0;214,2;71;49,0;77,5;84,5;235,3;74;51,0;66,2;75,7;193,9;
Bräcke;Samtliga;76;64,5;75,0;196,3;30;39,5;76,7;83,3;222,8;46;60,5;56,5;69,6;179,1;
Bräcke;Kommunal;76;64,5;75,0;196,3;30;39,5;76,7;83,3;222,8;46;60,5;56,5;69,6;179,1;
Burlöv;Samtliga;174;65,5;75,3;214,7;78;44,8;71,8;82,1;235,7;96;55,2;60,4;69,8;197,6;
Burlöv;Kommunal;174;65,5;75,3;214,7;78;44,8;71,8;82,1;235,7;96;55,2;60,4;69,8;197,6;
Båstad;Samtliga;139;84,2;90,6;237,3;59;42,4;84,7;91,5;262,3;80;57,6;83,8;90,0;218,6;
Båstad;Kommunal;139;84,2;90,6;237,3;59;42,4;84,7;91,5;262,3;80;57,6;83,8;90,0;218,6;
Dals-Ed;Samtliga;54;75,9;81,5;221,3;29;53,7;79,3;79,3;239,1;25;46,3;72,0;~100;200,7;
Dals-Ed;Kommunal;54;75,9;81,5;221,3;29;53,7;79,3;79,3;239,1;25;46,3;72,0;~100;200,7;
Danderyd;Samtliga;526;92,8;96,1;272,9;237;45,1;92,4;96,2;277,6;289;54,9;93,2;96,1;268,9;
Danderyd;Kommunal;339;92,3;95,6;268,6;149;44,0;91,3;96,0;275,7;190;56,0;93,2;95,3;262,9;
Danderyd;Enskild;187;93,8;97,2;281,3;88;47,1;94,3;~100;281,0;99;52,9;93,3;~100;281,6;
Degerfors;Samtliga;100;70,0;85,0;206,1;57;57,0;71,9;84,2;216,0;43;43,0;67,4;86,0;193,0;
Degerfors;Kommunal;100;70,0;85,0;206,1;57;57,0;71,9;84,2;216,0;43;43,0;67,4;86,0;193,0;
Dorotea;Samtliga;27;70,4;77,8;203,1;13;48,1;76,9;~100;225,6;14;51,9;..;~100;182,3;
Dorotea;Kommunal;27;70,4;77,8;203,1;13;48,1;76,9;~100;225,6;14;51,9;..;~100;182,3;
Eda;Samtliga;82;64,6;79,3;209,9;36;43,9;69,4;86,1;235,6;46;56,1;60,9;73,9;189,9;
Eda;Kommunal;82;64,6;79,3;209,9;36;43,9;69,4;86,1;235,6;46;56,1;60,9;73,9;189,9;
Ekerö;Samtliga;393;83,5;90,1;250,5;189;48,1;88,9;92,6;269,5;204;51,9;78,4;87,7;233,1;
Ekerö;Kommunal;348;81,9;89,1;245,9;168;48,3;87,5;91,7;264,3;180;51,7;76,7;86,7;228,9;
Ekerö;Enskild;45;95,6;~100;286,1;21;46,7;100,0;100,0;311,2;24;53,3;91,7;~100;264,2;
Eksjö;Samtliga;217;71,9;77,9;224,2;98;45,2;76,5;79,6;230,7;119;54,8;68,1;76,5;218,7;
Eksjö;Kommunal;206;75,2;80,6;228,2;94;45,6;79,8;83,0;235,6;112;54,4;71,4;78,6;222,0;
Eksjö;Enskild;11;..;..;..;..;..;.;.;..;..;..;..;..;..;
Emmaboda;Samtliga;111;57,7;72,1;189,6;49;44,1;65,3;77,6;206,1;62;55,9;51,6;67,7;176,8;
Emmaboda;Kommunal;111;57,7;72,1;189,6;49;44,1;65,3;77,6;206,1;62;55,9;51,6;67,7;176,8;
Enköping;Samtliga;497;73,4;85,7;217,7;237;47,7;77,2;89,9;233,6;260;52,3;70,0;81,9;202,9;
Enköping;Kommunal;335;68,4;83,0;209,1;147;43,9;71,4;87,8;223,2;188;56,1;66,0;79,3;197,7;
Enköping;Enskild;162;84,0;91,4;235,2;90;55,6;86,7;93,3;250,4;72;44,4;80,6;88,9;216,0;
Eskilstuna;Samtliga;1 261;72,5;82,1;223,9;562;44,6;76,7;85,9;240,2;699;55,4;69,1;79,0;210,6;
Eskilstuna;Kommunal;990;69,3;78,8;215,6;430;43,4;74,2;82,6;232,6;560;56,6;65,5;75,9;202,2;
Eskilstuna;Enskild;271;84,1;94,1;254,3;132;48,7;84,8;~100;265,3;139;51,3;83,5;91,4;243,9;
Eslöv;Samtliga;386;71,2;80,3;220,9;189;49,0;78,8;86,2;245,3;197;51,0;64,0;74,6;197,6;
Eslöv;Kommunal;386;71,2;80,3;220,9;189;49,0;78,8;86,2;245,3;197;51,0;64,0;74,6;197,6;
Essunga;Samtliga;64;82,8;84,4;230,8;36;56,3;91,7;~100;254,0;28;43,8;71,4;71,4;198,6;
Essunga;Kommunal;64;82,8;84,4;230,8;36;56,3;91,7;~100;254,0;28;43,8;71,4;71,4;198,6;
Fagersta;Samtliga;171;57,9;75,4;207,6;84;49,1;64,3;75,0;221,2;87;50,9;51,7;75,9;194,8;
Fagersta;Kommunal;151;57,0;76,2;204,4;72;47,7;65,3;76,4;220,5;79;52,3;49,4;75,9;190,3;
Fagersta;Enskild;20;65,0;70,0;232,2;..;..;..;..;225,2;..;..;..;..;..;
Falkenberg;Samtliga;494;68,4;81,8;214,7;226;45,7;74,8;85,4;234,4;268;54,3;63,1;78,7;198,1;
Falkenberg;Kommunal;432;65,3;79,9;210,1;197;45,6;72,6;83,8;229,1;235;54,4;59,1;76,6;194,3;
Falkenberg;Enskild;62;90,3;~100;246,5;29;46,8;89,7;~100;270,5;33;53,2;90,9;~100;225,5;
Falköping;Samtliga;390;69,0;78,2;209,6;203;52,1;70,4;80,8;222,0;187;47,9;67,4;75,4;196,2;
Falköping;Kommunal;367;70,6;79,3;212,5;193;52,6;71,0;80,8;223,2;174;47,4;70,1;77,6;200,7;
Falköping;Enskild;23;43,5;60,9;164,3;10;43,5;..;..;200,5;13;56,5;..;..;136,5;
Falun;Samtliga;623;81,9;86,5;231,2;313;50,2;85,6;88,8;247,5;310;49,8;78,1;84,2;214,7;
Falun;Kommunal;453;79,5;84,3;223,2;212;46,8;84,0;87,3;240,8;241;53,2;75,5;81,7;207,6;
Falun;Enskild;170;88,2;92,4;252,5;101;59,4;89,1;92,1;261,7;69;40,6;87,0;92,8;239,1;
Filipstad;Samtliga;109;78,0;86,2;218,9;52;47,7;82,7;88,5;237,6;57;52,3;73,7;84,2;202,9;
Filipstad;Kommunal;109;78,0;86,2;218,9;52;47,7;82,7;88,5;237,6;57;52,3;73,7;84,2;202,9;
Finspång;Samtliga;222;73,4;81,5;219,1;113;50,9;80,5;85,8;235,5;109;49,1;66,1;77,1;202,2;
Finspång;Kommunal;222;73,4;81,5;219,1;113;50,9;80,5;85,8;235,5;109;49,1;66,1;77,1;202,2;
Flen;Samtliga;164;62,2;79,9;212,6;77;47,0;68,8;80,5;234,1;87;53,0;56,3;79,3;194,4;
Flen;Kommunal;111;59,5;82,0;205,8;55;49,5;65,5;78,2;224,8;56;50,5;53,6;85,7;188,9;
Flen;Enskild;53;67,9;75,5;226,9;22;41,5;77,3;~100;255,8;31;58,5;61,3;67,7;205,2;
Forshaga;Samtliga;144;78,5;88,2;222,2;78;54,2;79,5;88,5;234,6;66;45,8;77,3;87,9;207,6;
Forshaga;Kommunal;144;78,5;88,2;222,2;78;54,2;79,5;88,5;234,6;66;45,8;77,3;87,9;207,6;
Färgelanda;Samtliga;66;69,7;72,7;211,8;32;48,5;75,0;78,1;230,9;34;51,5;64,7;67,6;192,7;
Färgelanda;Kommunal;66;69,7;72,7;211,8;32;48,5;75,0;78,1;230,9;34;51,5;64,7;67,6;192,7;
Gagnef;Samtliga;94;73,4;86,2;221,8;48;51,1;70,8;87,5;232,8;46;48,9;76,1;84,8;210,3;
Gagnef;Kommunal;94;73,4;86,2;221,8;48;51,1;70,8;87,5;232,8;46;48,9;76,1;84,8;210,3;
Gislaved;Samtliga;371;66,6;78,2;206,7;183;49,3;72,7;79,2;220,6;188;50,7;60,6;77,1;193,2;
Gislaved;Kommunal;361;65,9;77,6;205,7;179;49,6;72,1;78,8;219,5;182;50,4;59,9;76,4;192,1;
Gislaved;Enskild;10;..;100,0;243,3;..;..;..;..;..;..;..;..;..;..;
Gnesta;Samtliga;130;69,2;80,0;213,5;66;50,8;77,3;83,3;227,5;64;49,2;60,9;76,6;198,1;
Gnesta;Kommunal;116;69,0;80,2;208,7;59;50,9;78,0;83,1;224,4;57;49,1;59,6;77,2;191,1;
Gnesta;Enskild;14;71,4;~100;250,5;..;..;..;..;..;..;..;..;..;..;
Gnosjö;Samtliga;126;67,5;75,4;207,9;67;53,2;70,1;76,1;215,5;59;46,8;64,4;74,6;199,0;
Gnosjö;Kommunal;126;67,5;75,4;207,9;67;53,2;70,1;76,1;215,5;59;46,8;64,4;74,6;199,0;
Gotland;Samtliga;642;77,3;83,0;228,1;293;45,6;84,0;88,1;244,9;349;54,4;71,6;78,8;214,0;
Gotland;Kommunal;562;76,0;81,9;226,5;257;45,7;83,3;87,5;244,1;305;54,3;69,8;77,0;211,5;
