Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2017/18

;;Samtliga elever;Samtliga elever;Samtliga elever;Samtliga elever;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);
Härnösand;Kommunal;307;69,4;83,1;214,3;153;49,8;73,9;85,0;227,5;154;50,2;64,9;81,2;201,1;
Härnösand;Enskild;10;..;100,0;237,0;..;..;..;..;..;..;..;..;..;..;
Härryda;Samtliga;467;86,1;92,9;245,4;225;48,2;86,2;92,9;257,4;242;51,8;86,0;93,0;234,2;
Härryda;Kommunal;398;84,4;92,2;242,0;187;47,0;84,5;92,5;253,5;211;53,0;84,4;91,9;231,8;
Härryda;Enskild;69;95,7;~100;265,1;38;55,1;94,7;~100;276,7;31;44,9;96,8;100,0;251,0;
Hässleholm;Samtliga;665;66,6;75,2;211,4;322;48,4;73,0;78,9;231,1;343;51,6;60,6;71,7;193,0;
Hässleholm;Kommunal;577;64,0;73,3;202,5;274;47,5;70,1;77,0;221,3;303;52,5;58,4;70,0;185,6;
Hässleholm;Enskild;88;84,1;87,5;268,6;48;54,5;89,6;89,6;286,0;40;45,5;77,5;85,0;247,7;
Höganäs;Samtliga;289;84,8;93,4;241,7;142;49,1;90,8;95,8;260,8;147;50,9;78,9;91,2;223,2;
Höganäs;Kommunal;275;84,4;93,5;240,9;132;48,0;90,9;96,2;259,6;143;52,0;78,3;90,9;223,6;
Höganäs;Enskild;14;92,9;~100;257,1;..;..;..;..;276,8;..;..;..;..;..;
Högsby;Samtliga;60;63,3;70,0;203,9;28;46,7;67,9;71,4;220,5;32;53,3;59,4;68,8;188,8;
Högsby;Kommunal;60;63,3;70,0;203,9;28;46,7;67,9;71,4;220,5;32;53,3;59,4;68,8;188,8;
Hörby;Samtliga;178;68,5;83,7;209,8;93;52,2;75,3;90,3;230,4;85;47,8;61,2;76,5;186,9;
Hörby;Kommunal;154;65,6;82,5;206,9;80;51,9;71,3;88,8;226,4;74;48,1;59,5;75,7;185,4;
Hörby;Enskild;24;87,5;~100;228,0;13;54,2;100,0;100,0;254,2;11;45,8;..;..;197,0;
Höör;Samtliga;171;72,5;80,7;226,7;75;43,9;81,3;86,7;238,2;96;56,1;65,6;76,0;217,0;
Höör;Kommunal;149;73,2;80,5;226,4;66;44,3;83,3;87,9;241,5;83;55,7;65,1;74,7;213,5;
Höör;Enskild;22;68,2;~100;228,5;..;..;..;..;..;..;..;..;~100;239,4;
Jokkmokk;Samtliga;44;72,7;~100;226,3;24;54,5;79,2;~100;253,8;20;45,5;65,0;~100;193,3;
Jokkmokk;Kommunal;36;75,0;~100;229,6;21;58,3;81,0;~100;253,0;15;41,7;66,7;100,0;196,8;
Jokkmokk;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Järfälla;Samtliga;868;75,8;85,6;237,7;394;45,4;77,9;87,8;251,5;474;54,6;74,1;83,8;226,2;
Järfälla;Kommunal;698;71,6;83,0;229,2;312;44,7;73,7;84,9;242,8;386;55,3;69,9;81,3;218,2;
Järfälla;Enskild;170;92,9;96,5;271,9;82;48,2;93,9;~100;284,1;88;51,8;92,0;94,3;260,5;
Jönköping;Samtliga;1 521;80,1;86,9;230,7;721;47,4;82,2;88,6;243,3;800;52,6;78,3;85,4;219,4;
Jönköping;Kommunal;1 178;80,1;86,6;229,2;567;48,1;83,1;88,4;243,9;611;51,9;77,3;84,9;215,6;
Jönköping;Enskild;343;80,5;88,0;236,0;154;44,9;79,2;89,6;241,0;189;55,1;81,5;86,8;231,8;
Kalix;Samtliga;155;79,4;84,5;217,0;68;43,9;83,8;86,8;235,7;87;56,1;75,9;82,8;202,3;
Kalix;Kommunal;143;79,7;85,3;217,4;65;45,5;83,1;86,2;233,8;78;54,5;76,9;84,6;203,6;
Kalix;Enskild;12;..;..;212,3;..;..;..;..;..;..;..;..;..;..;
Kalmar;Samtliga;684;82,6;87,7;233,9;368;53,8;84,8;89,4;246,5;316;46,2;80,1;85,8;219,1;
Kalmar;Kommunal;547;82,3;88,1;233,8;288;52,7;85,1;89,9;247,3;259;47,3;79,2;86,1;218,5;
Kalmar;Enskild;137;83,9;86,1;234,4;80;58,4;83,8;87,5;243,6;57;41,6;84,2;84,2;221,6;
Karlsborg;Samtliga;69;81,2;~100;220,4;34;49,3;79,4;~100;227,2;35;50,7;82,9;~100;213,8;
Karlsborg;Kommunal;69;81,2;~100;220,4;34;49,3;79,4;~100;227,2;35;50,7;82,9;~100;213,8;
Karlshamn;Samtliga;320;66,3;75,0;208,5;161;50,3;72,0;78,3;217,5;159;49,7;60,4;71,7;199,4;
Karlshamn;Kommunal;280;63,9;71,8;205,2;144;51,4;70,1;75,7;215,6;136;48,6;57,4;67,6;194,1;
Karlshamn;Enskild;40;82,5;~100;231,7;17;42,5;88,2;100,0;233,2;23;57,5;78,3;~100;230,5;
Karlskoga;Samtliga;349;67,6;74,5;207,4;167;47,9;68,9;75,4;219,6;182;52,1;66,5;73,6;196,0;
Karlskoga;Kommunal;349;67,6;74,5;207,4;167;47,9;68,9;75,4;219,6;182;52,1;66,5;73,6;196,0;
Karlskrona;Samtliga;799;73,5;80,0;213,1;392;49,1;75,8;81,4;225,6;407;50,9;71,3;78,6;201,1;
Karlskrona;Kommunal;577;69,8;76,6;206,7;293;50,8;74,4;79,2;221,1;284;49,2;65,1;73,9;191,8;
Karlskrona;Enskild;222;82,9;88,7;229,8;99;44,6;79,8;87,9;238,9;123;55,4;85,4;89,4;222,4;
Karlstad;Samtliga;837;79,8;88,2;229,8;418;49,9;82,1;90,0;244,5;419;50,1;77,6;86,4;214,9;
Karlstad;Kommunal;698;77,2;86,0;223,5;333;47,7;79,6;87,7;237,4;365;52,3;75,1;84,4;210,6;
Karlstad;Enskild;139;92,8;~100;261,0;85;61,2;91,8;~100;272,0;54;38,8;94,4;100,0;243,7;
Katrineholm;Samtliga;425;75,5;82,6;214,8;199;46,8;79,4;84,9;232,4;226;53,2;72,1;80,5;199,4;
Katrineholm;Kommunal;354;74,6;81,6;208,5;168;47,5;76,8;82,1;225,2;186;52,5;72,6;81,2;193,6;
Katrineholm;Enskild;71;80,3;87,3;245,5;31;43,7;93,5;100,0;270,2;40;56,3;70,0;77,5;226,3;
Kil;Samtliga;102;61,8;78,4;200,8;47;46,1;72,3;~100;241,3;55;53,9;52,7;67,3;166,9;
Kil;Kommunal;102;61,8;78,4;200,8;47;46,1;72,3;~100;241,3;55;53,9;52,7;67,3;166,9;
Kinda;Samtliga;103;72,8;83,5;213,4;53;51,5;83,0;86,8;233,2;50;48,5;62,0;80,0;192,4;
Kinda;Kommunal;103;72,8;83,5;213,4;53;51,5;83,0;86,8;233,2;50;48,5;62,0;80,0;192,4;
Kiruna;Samtliga;255;71,8;80,8;217,3;118;46,3;65,3;72,9;215,4;137;53,7;77,4;87,6;218,8;
Kiruna;Kommunal;233;69,5;79,0;213,0;108;46,4;62,0;70,4;209,8;125;53,6;76,0;86,4;215,8;
Kiruna;Enskild;22;95,5;100,0;260,9;10;45,5;100,0;100,0;273,8;12;54,5;91,7;100,0;250,2;
Klippan;Samtliga;177;63,3;68,9;196,4;83;46,9;73,5;80,7;230,9;94;53,1;54,3;58,5;165,4;
Klippan;Kommunal;155;62,6;67,7;193,2;69;44,5;72,5;79,7;228,4;86;55,5;54,7;58,1;164,8;
Klippan;Enskild;22;68,2;77,3;219,5;..;..;78,6;~100;243,2;..;..;..;..;..;
Knivsta;Samtliga;219;79,0;87,7;231,8;96;43,8;85,4;90,6;248,7;123;56,2;74,0;85,4;218,4;
Knivsta;Kommunal;200;78,0;87,0;229,6;84;42,0;84,5;90,5;245,3;116;58,0;73,3;84,5;218,1;
Knivsta;Enskild;19;89,5;~100;254,1;..;..;91,7;~100;272,1;..;..;..;..;..;
Kramfors;Samtliga;177;73,4;79,7;212,2;77;43,5;80,5;83,1;235,9;100;56,5;68,0;77,0;193,4;
Kramfors;Kommunal;177;73,4;79,7;212,2;77;43,5;80,5;83,1;235,9;100;56,5;68,0;77,0;193,4;
Kristianstad;Samtliga;923;70,6;80,5;216,6;416;45,1;74,3;83,2;232,5;507;54,9;67,7;78,3;203,4;
Kristianstad;Kommunal;819;69,6;80,0;215,2;374;45,7;73,3;82,6;230,3;445;54,3;66,5;77,8;202,4;
Kristianstad;Enskild;104;78,8;84,6;227,5;42;40,4;83,3;88,1;252,5;62;59,6;75,8;82,3;210,3;
Kristinehamn;Samtliga;250;69,2;79,6;206,2;105;42,0;69,5;84,8;221,5;145;58,0;69,0;75,9;194,8;
Kristinehamn;Kommunal;250;69,2;79,6;206,2;105;42,0;69,5;84,8;221,5;145;58,0;69,0;75,9;194,8;
Krokom;Samtliga;195;82,1;85,6;214,7;100;51,3;85,0;87,0;228,6;95;48,7;78,9;84,2;199,9;
Krokom;Kommunal;195;82,1;85,6;214,7;100;51,3;85,0;87,0;228,6;95;48,7;78,9;84,2;199,9;
Kumla;Samtliga;251;69,3;81,7;217,7;118;47,0;72,0;83,9;234,3;133;53,0;66,9;79,7;203,3;
Kumla;Kommunal;251;69,3;81,7;217,7;118;47,0;72,0;83,9;234,3;133;53,0;66,9;79,7;203,3;
Kungsbacka;Samtliga;1 165;86,4;91,4;241,4;574;49,3;88,0;93,6;254,7;591;50,7;84,8;89,3;228,5;
Kungsbacka;Kommunal;1 054;85,8;90,6;239,8;521;49,4;87,7;92,9;253,3;533;50,6;83,9;88,4;226,6;
Kungsbacka;Enskild;111;91,9;~100;256,7;53;47,7;90,6;100,0;268,3;58;52,3;93,1;~100;246,0;
Kungsör;Samtliga;98;60,2;72,4;182,9;41;41,8;56,1;70,7;180,1;57;58,2;63,2;73,7;185,0;
Kungsör;Kommunal;98;60,2;72,4;182,9;41;41,8;56,1;70,7;180,1;57;58,2;63,2;73,7;185,0;
Kungälv;Samtliga;474;81,4;91,1;239,5;248;52,3;87,5;94,0;257,4;226;47,7;74,8;88,1;219,8;
Kungälv;Kommunal;377;79,6;90,7;238,3;190;50,4;87,4;94,7;260,6;187;49,6;71,7;86,6;215,6;
Kungälv;Enskild;97;88,7;92,8;244,2;58;59,8;87,9;91,4;246,7;39;40,2;89,7;~100;240,5;
Kävlinge;Samtliga;392;90,3;95,2;248,0;178;45,4;88,8;94,9;251,2;214;54,6;91,6;95,3;245,4;
Kävlinge;Kommunal;320;90,3;94,7;247,0;148;46,3;90,5;94,6;252,5;172;53,8;90,1;94,8;242,2;
Kävlinge;Enskild;72;90,3;~100;252,7;30;41,7;80,0;~100;244,9;42;58,3;97,6;~100;258,2;
Köping;Samtliga;299;66,6;84,3;207,3;143;47,8;69,2;83,9;222,3;156;52,2;64,1;84,6;193,8;
Köping;Kommunal;299;66,6;84,3;207,3;143;47,8;69,2;83,9;222,3;156;52,2;64,1;84,6;193,8;
Laholm;Samtliga;295;71,9;83,7;224,9;136;46,1;79,4;87,5;243,2;159;53,9;65,4;80,5;209,2;
Laholm;Kommunal;295;71,9;83,7;224,9;136;46,1;79,4;87,5;243,2;159;53,9;65,4;80,5;209,2;
Landskrona;Samtliga;521;74,5;83,9;229,0;226;43,4;77,4;85,8;245,2;295;56,6;72,2;82,4;216,5;
Landskrona;Kommunal;381;70,6;81,9;224,3;165;43,3;73,3;84,2;239,4;216;56,7;68,5;80,1;212,7;
Landskrona;Enskild;140;85,0;89,3;241,7;61;43,6;88,5;90,2;260,8;79;56,4;82,3;88,6;226,9;
Laxå;Samtliga;71;46,5;57,7;174,0;31;43,7;45,2;54,8;172,6;40;56,3;47,5;60,0;175,1;
Laxå;Kommunal;71;46,5;57,7;174,0;31;43,7;45,2;54,8;172,6;40;56,3;47,5;60,0;175,1;
Lekeberg;Samtliga;94;74,5;83,0;214,9;44;46,8;75,0;84,1;222,4;50;53,2;74,0;82,0;208,3;
Lekeberg;Kommunal;94;74,5;83,0;214,9;44;46,8;75,0;84,1;222,4;50;53,2;74,0;82,0;208,3;
Leksand;Samtliga;157;72,6;78,3;220,1;76;48,4;77,6;85,5;244,3;81;51,6;67,9;71,6;197,3;
Leksand;Kommunal;148;73,0;79,1;220,3;70;47,3;77,1;85,7;244,7;78;52,7;69,2;73,1;198,4;
Leksand;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Lerum;Samtliga;564;82,8;89,7;235,9;273;48,4;86,8;93,0;251,1;291;51,6;79,0;86,6;221,5;
Lerum;Kommunal;536;82,1;89,2;234,1;258;48,1;86,0;92,6;249,2;278;51,9;78,4;86,0;220,0;
Lerum;Enskild;28;96,4;100,0;270,6;15;53,6;100,0;100,0;284,7;13;46,4;92,3;100,0;254,4;
Lessebo;Samtliga;113;54,0;60,2;181,0;52;46,0;59,6;63,5;209,2;61;54,0;49,2;57,4;158,0;
Lessebo;Kommunal;113;54,0;60,2;181,0;52;46,0;59,6;63,5;209,2;61;54,0;49,2;57,4;158,0;
Lidingö;Samtliga;603;91,5;94,5;266,3;283;46,9;92,9;94,3;277,1;320;53,1;90,3;94,7;256,8;
Lidingö;Kommunal;463;90,7;93,7;262,0;211;45,6;92,4;93,8;274,8;252;54,4;89,3;93,7;251,4;
Lidingö;Enskild;140;94,3;~100;280,7;72;51,4;94,4;~100;284,0;68;48,6;94,1;~100;277,1;
Lidköping;Samtliga;417;72,4;85,4;214,2;227;54,4;73,6;88,1;223,0;190;45,6;71,1;82,1;203,8;
Lidköping;Kommunal;381;70,6;84,3;211,4;217;57,0;73,3;87,6;222,9;164;43,0;67,1;79,9;196,4;
Lidköping;Enskild;36;91,7;~100;243,4;10;27,8;..;100,0;226,0;26;72,2;96,2;~100;250,1;
Lilla Edet;Samtliga;117;67,5;80,3;198,6;52;44,4;69,2;84,6;226,1;65;55,6;66,2;76,9;175,9;
Lilla Edet;Kommunal;103;67,0;80,6;197,8;48;46,6;72,9;89,6;232,3;55;53,4;61,8;72,7;166,5;
Lilla Edet;Enskild;14;71,4;~100;204,1;..;..;..;..;..;..;..;..;100,0;225,5;
Lindesberg;Samtliga;248;66,5;72,6;207,8;119;48,0;72,3;76,5;228,4;129;52,0;61,2;69,0;188,5;
Lindesberg;Kommunal;248;66,5;72,6;207,8;119;48,0;72,3;76,5;228,4;129;52,0;61,2;69,0;188,5;
Linköping;Samtliga;1 740;75,2;84,3;229,5;798;45,9;78,3;87,1;243,8;942;54,1;72,6;82,0;217,3;
Linköping;Kommunal;1 254;71,3;80,9;221,6;555;44,3;75,3;84,3;237,2;699;55,7;68,1;78,1;209,1;
Linköping;Enskild;486;85,4;93,2;249,8;243;50,0;85,2;93,4;258,7;243;50,0;85,6;93,0;240,8;
Ljungby;Samtliga;328;69,8;78,0;215,9;161;49,1;80,7;83,9;236,5;167;50,9;59,3;72,5;195,6;
Ljungby;Kommunal;310;68,7;77,4;215,0;153;49,4;80,4;83,7;236,8;157;50,6;57,3;71,3;193,3;
Ljungby;Enskild;18;88,9;~100;230,1;..;..;..;..;..;..;..;..;..;230,0;
Ljusdal;Samtliga;217;69,6;77,9;223,7;96;44,2;77,1;81,3;240,3;121;55,8;63,6;75,2;210,1;
Ljusdal;Kommunal;182;68,1;75,8;220,9;86;47,3;75,6;79,1;235,2;96;52,7;61,5;72,9;207,8;
Ljusdal;Enskild;35;77,1;~100;238,3;10;28,6;..;100,0;284,5;25;71,4;72,0;~100;219,1;
Ljusnarsberg;Samtliga;44;52,3;77,3;179,4;21;47,7;71,4;76,2;213,6;23;52,3;..;78,3;148,2;
Ljusnarsberg;Kommunal;44;52,3;77,3;179,4;21;47,7;71,4;76,2;213,6;23;52,3;..;78,3;148,2;
Lomma;Samtliga;313;89,5;91,7;258,9;130;41,5;95,4;~100;279,0;183;58,5;85,2;87,4;244,7;
Lomma;Kommunal;296;89,2;91,2;258,6;120;40,5;95,0;~100;278,9;176;59,5;85,2;86,9;244,8;
Lomma;Enskild;17;94,1;100,0;264,9;..;..;100,0;100,0;280,5;..;..;..;..;..;
Ludvika;Samtliga;302;67,2;82,1;210,9;151;50,0;70,9;84,8;221,1;151;50,0;63,6;79,5;200,6;
Ludvika;Kommunal;302;67,2;82,1;210,9;151;50,0;70,9;84,8;221,1;151;50,0;63,6;79,5;200,6;
Luleå;Samtliga;755;80,0;87,3;230,2;351;46,5;83,2;90,3;247,3;404;53,5;77,2;84,7;215,3;
Luleå;Kommunal;645;78,8;86,5;229,5;296;45,9;81,1;89,2;246,7;349;54,1;76,8;84,2;214,9;
Luleå;Enskild;110;87,3;91,8;234,3;55;50,0;94,5;~100;250,7;55;50,0;80,0;87,3;217,6;
Lund;Samtliga;1 521;85,5;90,6;256,2;718;47,2;88,2;92,0;270,4;803;52,8;83,1;89,4;243,5;
Lund;Kommunal;1 174;83,5;89,5;251,7;555;47,3;87,0;91,6;267,4;619;52,7;80,4;87,5;237,5;
Lund;Enskild;347;91,9;94,5;271,1;163;47,0;92,0;93,3;280,5;184;53,0;91,8;95,7;262,8;
Lycksele;Samtliga;132;76,5;82,6;214,4;59;44,7;86,4;91,5;246,7;73;55,3;68,5;75,3;187,1;
Lycksele;Kommunal;132;76,5;82,6;214,4;59;44,7;86,4;91,5;246,7;73;55,3;68,5;75,3;187,1;
Lysekil;Samtliga;145;71,0;82,8;215,1;71;49,0;80,3;87,3;239,8;74;51,0;62,2;78,4;191,4;
Lysekil;Kommunal;145;71,0;82,8;215,1;71;49,0;80,3;87,3;239,8;74;51,0;62,2;78,4;191,4;
Malmö;Samtliga;2 847;68,3;78,7;227,2;1 372;48,2;71,1;82,0;240,7;1 475;51,8;65,7;75,6;214,5;
Malmö;Kommunal;2 330;65,4;75,8;220,9;1 117;47,9;67,5;78,6;234,3;1 213;52,1;63,5;73,1;208,4;
Malmö;Enskild;517;81,2;91,9;255,8;255;49,3;86,7;96,9;268,6;262;50,7;76,0;87,0;243,1;
Malung-Sälen;Samtliga;93;83,9;89,2;237,2;39;41,9;82,1;84,6;249,5;54;58,1;85,2;~100;228,4;
Malung-Sälen;Kommunal;93;83,9;89,2;237,2;39;41,9;82,1;84,6;249,5;54;58,1;85,2;~100;228,4;
Malå;Samtliga;44;79,5;~100;215,2;23;52,3;82,6;~100;231,6;21;47,7;76,2;~100;197,3;
Malå;Kommunal;44;79,5;~100;215,2;23;52,3;82,6;~100;231,6;21;47,7;76,2;~100;197,3;
Mariestad;Samtliga;278;79,1;91,0;220,1;125;45,0;84,0;93,6;241,0;153;55,0;75,2;88,9;203,4;
Mariestad;Kommunal;220;75,0;89,1;217,1;93;42,3;81,7;92,5;243,8;127;57,7;70,1;86,6;198,2;
Mariestad;Enskild;58;94,8;~100;231,3;32;55,2;90,6;~100;233,1;26;44,8;100,0;100,0;229,0;
Mark;Samtliga;397;70,3;77,3;215,6;216;54,4;76,9;81,5;234,6;181;45,6;62,4;72,4;193,2;
Mark;Kommunal;371;70,4;77,1;216,5;203;54,7;76,8;80,8;235,3;168;45,3;62,5;72,6;194,1;
Mark;Enskild;26;69,2;80,8;203,0;13;50,0;76,9;~100;223,8;13;50,0;..;..;180,4;
Markaryd;Samtliga;93;76,3;78,5;224,2;53;57,0;84,9;86,8;232,1;40;43,0;65,0;67,5;212,9;
Markaryd;Kommunal;93;76,3;78,5;224,2;53;57,0;84,9;86,8;232,1;40;43,0;65,0;67,5;212,9;
Mellerud;Samtliga;105;66,7;86,7;199,0;50;47,6;80,0;~100;225,9;55;52,4;54,5;78,2;174,5;
Mellerud;Kommunal;105;66,7;86,7;199,0;50;47,6;80,0;~100;225,9;55;52,4;54,5;78,2;174,5;
Mjölby;Samtliga;285;77,2;83,9;216,7;125;43,9;79,2;83,2;231,5;160;56,1;75,6;84,4;205,0;
Mjölby;Kommunal;285;77,2;83,9;216,7;125;43,9;79,2;83,2;231,5;160;56,1;75,6;84,4;205,0;
Mora;Samtliga;196;76,0;81,1;215,4;87;44,4;80,5;86,2;236,6;109;55,6;72,5;77,1;198,2;
Mora;Kommunal;196;76,0;81,1;215,4;87;44,4;80,5;86,2;236,6;109;55,6;72,5;77,1;198,2;
Motala;Samtliga;523;71,3;84,5;223,3;263;50,3;74,1;86,3;238,1;260;49,7;68,5;82,7;208,4;
Motala;Kommunal;435;69,7;83,2;221,1;216;49,7;73,6;85,6;236,0;219;50,3;65,8;80,8;206,4;
Motala;Enskild;88;79,5;90,9;234,3;47;53,4;76,6;89,4;247,8;41;46,6;82,9;~100;219,2;
Mullsjö;Samtliga;88;89,8;93,2;246,6;43;48,9;95,3;~100;274,0;45;51,1;84,4;88,9;220,6;
Mullsjö;Kommunal;88;89,8;93,2;246,6;43;48,9;95,3;~100;274,0;45;51,1;84,4;88,9;220,6;
Munkedal;Samtliga;112;58,9;79,5;190,4;55;49,1;60,0;80,0;195,6;57;50,9;57,9;78,9;185,4;
Munkedal;Kommunal;112;58,9;79,5;190,4;55;49,1;60,0;80,0;195,6;57;50,9;57,9;78,9;185,4;
Munkfors;Samtliga;35;74,3;82,9;208,2;17;48,6;76,5;~100;213,5;18;51,4;72,2;~100;202,9;
Munkfors;Kommunal;35;74,3;82,9;208,2;17;48,6;76,5;~100;213,5;18;51,4;72,2;~100;202,9;
Mölndal;Samtliga;677;81,4;87,4;239,7;320;47,3;82,8;88,1;252,0;357;52,7;80,1;86,8;228,8;
Mölndal;Kommunal;598;80,8;87,1;238,9;288;48,2;83,3;88,5;252,9;310;51,8;78,4;85,8;226,0;
Mölndal;Enskild;79;86,1;89,9;245,5;32;40,5;78,1;84,4;243,4;47;59,5;91,5;~100;246,8;
Mönsterås;Samtliga;133;69,9;77,4;208,1;59;44,4;74,6;83,1;232,1;74;55,6;66,2;73,0;188,9;
Mönsterås;Kommunal;133;69,9;77,4;208,1;59;44,4;74,6;83,1;232,1;74;55,6;66,2;73,0;188,9;
Mörbylånga;Samtliga;162;92,6;93,8;235,6;74;45,7;95,9;~100;255,0;88;54,3;89,8;92,0;219,5;
Mörbylånga;Kommunal;106;89,6;90,6;232,0;49;46,2;93,9;~100;251,9;57;53,8;86,0;87,7;215,1;
Mörbylånga;Enskild;56;98,2;100,0;242,5;25;44,6;100,0;100,0;260,9;31;55,4;96,8;100,0;227,7;
Nacka;Samtliga;1 408;91,1;95,0;268,7;671;47,7;93,0;95,7;285,1;737;52,3;89,4;94,4;253,9;
Nacka;Kommunal;949;91,4;95,0;265,6;451;47,5;92,9;95,6;282,6;498;52,5;90,0;94,6;250,3;
Nacka;Enskild;459;90,6;95,0;275,2;220;47,9;93,2;95,9;290,4;239;52,1;88,3;94,1;261,3;
Nora;Samtliga;116;76,7;85,3;209,1;58;50,0;79,3;84,5;223,6;58;50,0;74,1;86,2;194,1;
Nora;Kommunal;116;76,7;85,3;209,1;58;50,0;79,3;84,5;223,6;58;50,0;74,1;86,2;194,1;
Norberg;Samtliga;65;69,2;70,8;189,5;31;47,7;74,2;74,2;196,5;34;52,3;64,7;67,6;182,8;
Norberg;Kommunal;65;69,2;70,8;189,5;31;47,7;74,2;74,2;196,5;34;52,3;64,7;67,6;182,8;
Nordanstig;Samtliga;78;62,8;82,1;196,7;41;52,6;73,2;87,8;219,5;37;47,4;51,4;75,7;170,6;
Nordanstig;Kommunal;73;65,8;86,3;202,0;38;52,1;78,9;~100;229,2;35;47,9;51,4;77,1;171,7;
Nordanstig;Enskild;..;..;..;..;..;..;.;.;..;..;..;..;..;..;
Nordmaling;Samtliga;71;78,9;90,1;227,4;34;47,9;85,3;~100;237,6;37;52,1;73,0;83,8;218,0;
Nordmaling;Kommunal;71;78,9;90,1;227,4;34;47,9;85,3;~100;237,6;37;52,1;73,0;83,8;218,0;
Norrköping;Samtliga;1 556;72,5;81,9;222,6;760;48,8;75,0;83,7;235,9;796;51,2;70,1;80,2;209,9;
Norrköping;Kommunal;1 105;68,3;77,6;213,2;542;49,0;71,6;81,2;229,6;563;51,0;65,2;74,1;197,6;
Norrköping;Enskild;451;82,7;92,5;245,2;218;48,3;83,5;89,9;251,6;233;51,7;82,0;94,8;239,3;
Norrtälje;Samtliga;647;77,6;85,2;232,2;322;49,8;81,7;87,9;249,2;325;50,2;73,5;82,5;215,2;
Norrtälje;Kommunal;530;77,0;84,3;228,2;260;49,1;81,5;87,7;246,8;270;50,9;72,6;81,1;210,0;
Norrtälje;Enskild;117;80,3;88,9;250,1;62;53,0;82,3;88,7;258,9;55;47,0;78,2;89,1;240,1;
Norsjö;Samtliga;50;86,0;~100;222,7;26;52,0;92,3;~100;244,6;24;48,0;79,2;~100;198,9;
Norsjö;Kommunal;50;86,0;~100;222,7;26;52,0;92,3;~100;244,6;24;48,0;79,2;~100;198,9;
Nybro;Samtliga;215;66,0;75,3;212,5;90;41,9;74,4;82,2;224,4;125;58,1;60,0;70,4;203,6;
Nybro;Kommunal;215;66,0;75,3;212,5;90;41,9;74,4;82,2;224,4;125;58,1;60,0;70,4;203,6;
Nykvarn;Samtliga;163;89,6;95,7;237,8;74;45,4;89,2;~100;240,7;89;54,6;89,9;94,4;235,4;
Nykvarn;Kommunal;163;89,6;95,7;237,8;74;45,4;89,2;~100;240,7;89;54,6;89,9;94,4;235,4;
Nyköping;Samtliga;621;70,9;82,4;216,3;281;45,2;71,2;82,9;225,7;340;54,8;70,6;82,1;208,4;
Nyköping;Kommunal;420;66,2;80,5;208,3;186;44,3;65,6;79,6;215,3;234;55,7;66,7;81,2;202,6;
Nyköping;Enskild;201;80,6;86,6;232,4;95;47,3;82,1;89,5;245,4;106;52,7;79,2;84,0;220,8;
Nynäshamn;Samtliga;268;70,9;84,0;214,6;142;53,0;76,1;85,9;233,8;126;47,0;65,1;81,7;192,7;
Nynäshamn;Kommunal;268;70,9;84,0;214,6;142;53,0;76,1;85,9;233,8;126;47,0;65,1;81,7;192,7;
Nässjö;Samtliga;356;69,1;81,5;211,8;176;49,4;72,2;82,4;222,5;180;50,6;66,1;80,6;201,3;
Nässjö;Kommunal;356;69,1;81,5;211,8;176;49,4;72,2;82,4;222,5;180;50,6;66,1;80,6;201,3;
Ockelbo;Samtliga;43;74,4;79,1;205,5;27;62,8;74,1;81,5;211,4;16;37,2;75,0;~100;195,0;
Ockelbo;Kommunal;43;74,4;79,1;205,5;27;62,8;74,1;81,5;211,4;16;37,2;75,0;~100;195,0;
Olofström;Samtliga;125;71,2;85,6;211,5;60;48,0;85,0;86,7;240,4;65;52,0;58,5;84,6;184,8;
Olofström;Kommunal;125;71,2;85,6;211,5;60;48,0;85,0;86,7;240,4;65;52,0;58,5;84,6;184,8;
Orsa;Samtliga;83;55,4;71,1;190,2;46;55,4;56,5;71,7;205,4;37;44,6;54,1;70,3;170,9;
Orsa;Kommunal;83;55,4;71,1;190,2;46;55,4;56,5;71,7;205,4;37;44,6;54,1;70,3;170,9;
Orust;Samtliga;163;65,6;78,5;211,8;86;52,8;67,4;82,6;222,6;77;47,2;63,6;74,0;200,0;
Orust;Kommunal;155;64,5;78,1;209,9;82;52,9;67,1;82,9;222,0;73;47,1;61,6;72,6;196,7;
Orust;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Osby;Samtliga;143;69,9;78,3;216,0;70;49,0;71,4;78,6;231,2;73;51,0;68,5;78,1;200,8;
Osby;Kommunal;143;69,9;78,3;216,0;70;49,0;71,4;78,6;231,2;73;51,0;68,5;78,1;200,8;
