Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2002/03

;;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);
Ale;Samtliga;162;44,0;69,8;92,0;212,1;206;56,0;70,4;91,7;196,5;
Ale;Kommunal;162;44,0;69,8;92,0;212,1;206;56,0;70,4;91,7;196,5;
Alingsås;Samtliga;278;50,7;83,8;94,6;230,8;270;49,3;72,6;88,5;201,4;
Alingsås;Kommunal;261;49,9;83,5;94,3;229,7;262;50,1;72,1;88,2;200,5;
Alingsås;Enskild;..;..;88,2;100,0;248,2;..;..;..;..;..;
Alvesta;Samtliga;139;50,4;73,4;88,5;204,7;137;49,6;75,2;86,9;179,8;
Alvesta;Kommunal;139;50,4;73,4;88,5;204,7;137;49,6;75,2;86,9;179,8;
Aneby;Samtliga;50;47,2;88,0;100,0;226,1;56;52,8;71,4;85,7;186,2;
Aneby;Kommunal;50;47,2;88,0;100,0;226,1;56;52,8;71,4;85,7;186,2;
Arboga;Samtliga;75;43,9;76,0;~100;213,5;96;56,1;60,4;89,6;182,5;
Arboga;Kommunal;75;43,9;76,0;~100;213,5;96;56,1;60,4;89,6;182,5;
Arjeplog;Samtliga;25;58,1;76,0;~100;234,4;18;41,9;77,8;~100;218,6;
Arjeplog;Kommunal;25;58,1;76,0;~100;234,4;18;41,9;77,8;~100;218,6;
Arvidsjaur;Samtliga;40;39,2;77,5;~100;215,6;62;60,8;85,5;100,0;199,8;
Arvidsjaur;Kommunal;40;39,2;77,5;~100;215,6;62;60,8;85,5;100,0;199,8;
Arvika;Samtliga;190;53,5;81,6;94,2;230,4;165;46,5;73,3;92,7;200,0;
Arvika;Kommunal;190;53,5;81,6;94,2;230,4;165;46,5;73,3;92,7;200,0;
Askersund;Samtliga;74;52,1;63,5;93,2;204,0;68;47,9;61,8;91,2;201,2;
Askersund;Kommunal;74;52,1;63,5;93,2;204,0;68;47,9;61,8;91,2;201,2;
Avesta;Samtliga;131;46,3;80,9;95,4;223,0;152;53,7;75,0;93,4;193,7;
Avesta;Kommunal;131;46,3;80,9;95,4;223,0;152;53,7;75,0;93,4;193,7;
Bengtsfors;Samtliga;77;53,8;80,5;~100;212,4;66;46,2;80,3;~100;195,3;
