Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2001/02

;;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);
ALE;Samtliga;167;46,1;79,6;92,2;220,1;195;53,9;65,1;86,2;189,4;
ALE;Kommunal;167;46,1;79,6;92,2;220,1;195;53,9;65,1;86,2;189,4;
ALINGSÅS;Samtliga;225;44,9;78,7;92,4;227,5;276;55,1;76,1;91,7;204,7;
ALINGSÅS;Kommunal;225;44,9;78,7;92,4;227,5;276;55,1;76,1;91,7;204,7;
ALVESTA;Samtliga;137;50,7;80,3;87,6;212,8;133;49,3;66,2;85,7;170,4;
ALVESTA;Kommunal;137;50,7;80,3;87,6;212,8;133;49,3;66,2;85,7;170,4;
ANEBY;Samtliga;62;54,4;83,9;~100;215,5;52;45,6;78,8;86,5;182,6;
ANEBY;Kommunal;62;54,4;83,9;~100;215,5;52;45,6;78,8;86,5;182,6;
ARBOGA;Samtliga;88;48,9;65,9;92,0;218,3;92;51,1;55,4;94,6;185,3;
ARBOGA;Kommunal;88;48,9;65,9;92,0;218,3;92;51,1;55,4;94,6;185,3;
ARJEPLOG;Samtliga;25;49,0;100,0;100,0;268,8;26;51,0;92,3;~100;226,9;
ARJEPLOG;Kommunal;25;49,0;100,0;100,0;268,8;26;51,0;92,3;~100;226,9;
ARVIDSJAUR;Samtliga;40;51,9;90,0;~100;234,6;37;48,1;86,5;100,0;207,3;
ARVIDSJAUR;Kommunal;40;51,9;90,0;~100;234,6;37;48,1;86,5;100,0;207,3;
ARVIKA;Samtliga;173;54,4;78,0;96,5;223,7;145;45,6;67,6;88,3;198,4;
ARVIKA;Kommunal;173;54,4;78,0;96,5;223,7;145;45,6;67,6;88,3;198,4;
ASKERSUND;Samtliga;69;49,3;75,4;~100;214,7;71;50,7;64,8;88,7;194,1;
ASKERSUND;Kommunal;69;49,3;75,4;~100;214,7;71;50,7;64,8;88,7;194,1;
AVESTA;Samtliga;135;43,4;76,3;94,1;209,2;176;56,6;65,3;90,9;185,3;
AVESTA;Kommunal;135;43,4;76,3;94,1;209,2;176;56,6;65,3;90,9;185,3;
BENGTSFORS;Samtliga;61;45,5;68,9;~100;207,1;73;54,5;68,5;~100;192,8;
BENGTSFORS;Kommunal;61;45,5;68,9;~100;207,1;73;54,5;68,5;~100;192,8;
BERG;Samtliga;64;46,7;67,2;87,5;210,7;73;53,3;69,9;84,9;189,6;
BERG;Kommunal;64;46,7;67,2;87,5;210,7;73;53,3;69,9;84,9;189,6;
BJURHOLM;Samtliga;14;51,9;100,0;100,0;261,4;13;48,1;..;100,0;186,9;
BJURHOLM;Kommunal;14;51,9;100,0;100,0;261,4;13;48,1;..;100,0;186,9;
BJUV;Samtliga;83;45,4;74,7;92,8;205,3;100;54,6;67,0;81,0;175,1;
BJUV;Kommunal;68;46,9;75,0;92,6;203,6;77;53,1;68,8;84,4;176,8;
BJUV;Enskild;15;39,5;73,3;~100;213,0;23;60,5;60,9;69,6;169,3;
BODEN;Samtliga;191;52,5;88,0;93,7;228,9;173;47,5;79,8;86,1;204,2;
BODEN;Kommunal;191;52,5;88,0;93,7;228,9;173;47,5;79,8;86,1;204,2;
BOLLEBYGD;Samtliga;71;61,7;78,9;~100;212,2;44;38,3;81,8;~100;186,6;
BOLLEBYGD;Kommunal;71;61,7;78,9;~100;212,2;44;38,3;81,8;~100;186,6;
BOLLNÄS;Samtliga;152;47,5;78,9;88,8;200,1;168;52,5;73,8;89,3;184,7;
BOLLNÄS;Kommunal;152;47,5;78,9;88,8;200,1;168;52,5;73,8;89,3;184,7;
BORGHOLM;Samtliga;69;46,0;66,7;91,3;197,2;81;54,0;64,2;90,1;187,3;
BORGHOLM;Kommunal;69;46,0;66,7;91,3;197,2;81;54,0;64,2;90,1;187,3;
