Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2005/06

;;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);
Ale;Samtliga;197;45,3;78,2;88,8;219,0;238;54,7;65,1;85,3;192,3;
Ale;Kommunal;197;45,3;78,2;88,8;219,0;238;54,7;65,1;85,3;192,3;
Alingsås;Samtliga;294;50,8;86,4;92,2;230,2;285;49,2;80,3;92,6;207,5;
Alingsås;Kommunal;245;50,5;86,1;92,2;228,7;240;49,5;82,5;92,5;209,2;
Alingsås;Enskild;49;52,1;87,8;~100;237,9;45;47,9;68,2;~100;198,5;
Alvesta;Samtliga;134;49,4;91,0;96,3;221,5;137;50,6;78,8;90,5;186,7;
Alvesta;Kommunal;134;49,4;91,0;96,3;221,5;137;50,6;78,8;90,5;186,7;
Aneby;Samtliga;66;52,0;84,8;92,4;205,9;61;48,0;83,6;~100;200,4;
Aneby;Kommunal;66;52,0;84,8;92,4;205,9;61;48,0;83,6;~100;200,4;
Arboga;Samtliga;93;50,0;75,3;93,5;230,1;93;50,0;71,0;92,5;207,9;
Arboga;Kommunal;93;50,0;75,3;93,5;230,1;93;50,0;71,0;92,5;207,9;
Arjeplog;Samtliga;13;34,2;84,6;~100;244,6;25;65,8;88,0;~100;215,6;
Arjeplog;Kommunal;13;34,2;84,6;~100;244,6;25;65,8;88,0;~100;215,6;
Arvidsjaur;Samtliga;42;42,9;76,2;~100;217,7;56;57,1;82,1;91,1;179,2;
Arvidsjaur;Kommunal;42;42,9;76,2;~100;217,7;56;57,1;82,1;91,1;179,2;
Arvika;Samtliga;190;49,1;81,1;94,2;224,2;197;50,9;74,6;93,9;204,7;
Arvika;Kommunal;176;47,4;80,7;94,3;222,4;195;52,6;74,9;94,4;205,1;
Arvika;Enskild;..;..;85,7;~100;246,4;..;..;..;..;..;
Askersund;Samtliga;80;50,0;81,3;90,0;217,2;80;50,0;68,8;90,0;217,2;
Askersund;Kommunal;80;50,0;81,3;90,0;217,2;80;50,0;68,8;90,0;217,2;
Avesta;Samtliga;165;49,8;80,6;92,7;216,0;166;50,2;68,1;81,9;179,9;
Avesta;Kommunal;165;49,8;80,6;92,7;216,0;166;50,2;68,1;81,9;179,9;
Bengtsfors;Samtliga;61;42,1;77,0;~100;208,8;84;57,9;75,0;92,9;190,4;
Bengtsfors;Kommunal;61;42,1;77,0;~100;208,8;84;57,9;75,0;92,9;190,4;
Berg;Samtliga;76;53,9;76,3;90,8;204,0;65;46,1;67,7;87,7;191,5;
Berg;Kommunal;76;53,9;76,3;90,8;204,0;65;46,1;67,7;87,7;191,5;
Bjurholm;Samtliga;22;57,9;72,7;~100;220,2;16;42,1;87,5;~100;190,0;
Bjurholm;Kommunal;22;57,9;72,7;~100;220,2;16;42,1;87,5;~100;190,0;
Bjuv;Samtliga;80;45,7;72,5;87,5;209,5;95;54,3;62,1;84,2;181,4;
Bjuv;Kommunal;67;45,3;71,6;89,6;209,4;81;54,7;56,8;81,5;171,1;
Bjuv;Enskild;13;48,1;76,9;~100;210,0;14;51,9;92,9;100,0;240,4;
Boden;Samtliga;217;51,1;87,6;93,1;227,7;208;48,9;79,8;89,4;196,7;
Boden;Kommunal;217;51,1;87,6;93,1;227,7;208;48,9;79,8;89,4;196,7;
Bollebygd;Samtliga;58;49,2;84,5;~100;234,4;60;50,8;86,7;~100;215,5;
Bollebygd;Kommunal;58;49,2;84,5;~100;234,4;60;50,8;86,7;~100;215,5;
Bollnäs;Samtliga;189;49,2;83,1;93,1;212,9;195;50,8;76,4;86,7;181,3;
Bollnäs;Kommunal;189;49,2;83,1;93,1;212,9;195;50,8;76,4;86,7;181,3;
Borgholm;Samtliga;70;44,9;80,0;92,9;219,1;86;55,1;68,6;83,7;176,7;
Borgholm;Kommunal;70;44,9;80,0;92,9;219,1;86;55,1;68,6;83,7;176,7;
Borlänge;Samtliga;342;51,5;77,2;92,4;215,1;322;48,5;62,4;88,2;185,6;
Borlänge;Kommunal;332;50,9;79,5;93,7;217,9;320;49,1;62,5;88,4;185,9;
Borlänge;Enskild;..;..;.;..;..;..;..;..;..;..;
Borås;Samtliga;648;47,1;77,0;87,8;213,3;728;52,9;73,2;87,2;194,5;
Borås;Kommunal;617;47,2;77,0;87,7;213,6;689;52,8;72,9;86,9;193,9;
Borås;Enskild;31;44,3;77,4;~100;207,8;39;55,7;79,5;~100;205,3;
Botkyrka;Samtliga;556;51,8;66,9;84,2;208,7;517;48,2;63,2;82,4;186,0;
Botkyrka;Kommunal;460;50,7;65,9;81,5;202,0;448;49,3;61,4;80,6;180,3;
Botkyrka;Enskild;96;58,2;71,9;~100;240,5;69;41,8;75,4;~100;222,2;
Boxholm;Samtliga;40;46,5;80,0;~100;208,1;46;53,5;65,2;87,0;182,1;
Boxholm;Kommunal;40;46,5;80,0;~100;208,1;46;53,5;65,2;87,0;182,1;
Bromölla;Samtliga;83;49,4;86,7;91,6;226,9;85;50,6;74,1;82,4;207,4;
Bromölla;Kommunal;83;49,4;86,7;91,6;226,9;85;50,6;74,1;82,4;207,4;
Bräcke;Samtliga;47;42,7;80,9;~100;224,1;63;57,3;74,6;81,0;183,7;
Bräcke;Kommunal;47;42,7;80,9;~100;224,1;63;57,3;74,6;81,0;183,7;
Burlöv;Samtliga;106;49,8;74,5;89,6;210,9;107;50,2;69,2;87,9;194,7;
Burlöv;Kommunal;106;49,8;74,5;89,6;210,9;107;50,2;69,2;87,9;194,7;
Båstad;Samtliga;112;56,6;90,2;95,5;223,4;86;43,4;81,4;94,2;194,6;
Båstad;Kommunal;112;56,6;90,2;95,5;223,4;86;43,4;81,4;94,2;194,6;
